design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
legacy	MDD	MDD	EUR	global_slope	4308	8	2000	0.0950034746446889	1.70229527944733	0.2698650674662669	0.7600277971575112	no
legacy	MDD	MDD	full	baseline_thickness	8596	8	2000	0.0203745916808134	2.4571986133598958	0.06796601699150424	0.1629967334465072	no
legacy	MDD	MDD	full	slope_PC1	8596	8	2000	0.02667485572039839	2.2699327745542304	0.09345327336331834	0.21339884576318713	no
legacy	MDD	MDD	full	slope_PC2	8596	8	2000	0.09835075572737562	1.6551660270862758	0.3213393303348326	0.7868060458190049	no
legacy	MDD	MDD	full	slope_PC3	8596	8	2000	0.09763580938077403	1.7106011107868684	0.30684657671164417	0.7810864750461922	no
legacy	MDD	MDD	full	global_slope	8596	8	2000	0.013437868922231177	2.5697679078195135	0.046476761619190406	0.10750295137784942	no
legacy	ASD	ASD	EUR	baseline_thickness	4308	8	2000	0.0036244457162287547	2.9787595804872264	0.026486756621689155	0.028995565729830038	yes
legacy	ASD	ASD	EUR	slope_PC1	4308	8	2000	0.0737495873461972	1.793569550266194	0.31284357821089454	0.5899966987695776	yes
legacy	ASD	ASD	EUR	slope_PC2	4308	8	2000	0.2200971466200811	1.213904116239588	0.7341329335332334	1.0	yes
legacy	ASD	ASD	EUR	slope_PC3	4308	8	2000	0.03535469578050344	2.144143249781668	0.17341329335332334	0.2828375662440275	yes
legacy	ASD	ASD	EUR	global_slope	4308	8	2000	0.01685161923640244	2.486545171753601	0.07646176911544228	0.13481295389121953	yes
legacy	ASD	ASD	full	baseline_thickness	8596	8	2000	0.0002138627732823173	3.872520882363322	0.0014992503748125937	0.0017109021862585384	no
legacy	ASD	ASD	full	slope_PC1	8596	8	2000	0.02451826429587747	2.2988087028977553	0.12843578210894552	0.19614611436701976	no
legacy	ASD	ASD	full	slope_PC2	8596	8	2000	0.061112293815146615	1.8753869237292697	0.2893553223388306	0.4888983505211729	no
legacy	ASD	ASD	full	slope_PC3	8596	8	2000	0.017871649509659845	2.4287151695195117	0.09095452273863068	0.14297319607727876	no
legacy	ASD	ASD	full	global_slope	8596	8	2000	0.00028619339790512363	3.7146187899828025	0.0029985007496251873	0.002289547183240989	no
legacy	ALZ	ALZ	EUR	baseline_thickness	4308	8	2000	0.09037511501806171	1.8308522520258161	0.25337331334332835	0.7230009201444937	yes
legacy	ALZ	ALZ	EUR	slope_PC1	4308	8	2000	0.002663275333039444	3.0545191414980284	0.012993503248375811	0.02130620266431555	yes
legacy	ALZ	ALZ	EUR	slope_PC2	4308	8	2000	0.06044009150653288	1.904781730756363	0.2013993003498251	0.48352073205226304	yes
legacy	ALZ	ALZ	EUR	slope_PC3	4308	8	2000	0.025905895021057196	2.280025866646321	0.08495752123938032	0.20724716016845757	yes
legacy	ALZ	ALZ	EUR	global_slope	4308	8	2000	0.007588098875960878	2.7402007984003793	0.027486256871564217	0.060704791007687026	yes
legacy	ALZ	ALZ	full	baseline_thickness	8596	8	2000	0.11696068104852898	1.6697100851084763	0.34782608695652173	0.9356854483882319	no
legacy	ALZ	ALZ	full	slope_PC1	8596	8	2000	0.2314679684034029	1.2255477525867997	0.585207396301849	1.0	no
legacy	ALZ	ALZ	full	slope_PC2	8596	8	2000	0.11845806117727674	1.5961722992821163	0.35932033983008493	0.9476644894182139	no
legacy	ALZ	ALZ	full	slope_PC3	8596	8	2000	0.37463072397008357	0.917186785596728	0.815592203898051	1.0	no
legacy	ALZ	ALZ	full	global_slope	8596	8	2000	0.004662581454613104	2.846007343899598	0.022488755622188907	0.03730065163690483	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	baseline_thickness	4308	8	2000	0.010806059703190821	2.8237731400960167	0.03648175912043978	0.08644847762552657	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	slope_PC1	4308	8	2000	0.2267076906580807	1.2399881678085636	0.617191404297851	1.0	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	slope_PC2	4308	8	2000	0.22909788715932078	1.2644320543495624	0.6091954022988506	1.0	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	slope_PC3	4308	8	2000	0.11540150015341222	1.6101400442355072	0.38130934532733635	0.9232120012272977	no
legacy	ALZnoAPOE	ALZnoAPOE	EUR	global_slope	4308	8	2000	0.06767177708730285	1.8557669663788567	0.25787106446776614	0.5413742166984228	no
legacy	ALZnoAPOE	ALZnoAPOE	full	baseline_thickness	8596	8	2000	0.11488348360262005	1.6943711712887144	0.3853073463268366	0.9190678688209604	no
legacy	ALZnoAPOE	ALZnoAPOE	full	slope_PC1	8596	8	2000	0.2824442644479678	1.10782202340068	0.7206396801599201	1.0	no
legacy	ALZnoAPOE	ALZnoAPOE	full	slope_PC2	8596	8	2000	0.11887451933189279	1.5862626380520972	0.4012993503248376	0.9509961546551423	no
legacy	ALZnoAPOE	ALZnoAPOE	full	slope_PC3	8596	8	2000	0.2660260534921621	1.147031496117174	0.7301349325337332	1.0	no
legacy	ALZnoAPOE	ALZnoAPOE	full	global_slope	8596	8	2000	0.02553261214919442	2.250273121227404	0.11144427786106946	0.20426089719355536	no
