split,phenotype,defined_on,h2,r_MZ,r_DZ,n_MZ,n_DZ
27,top-10 h2 regions (mean),train (h2),0.421364,0.48337,0.272688,138,201
28,global mean slope,none,0.579534,0.532985,0.243217,123,213
28,slope PC1,train (PCA),0.862445,0.553912,0.122689,123,213
28,slope PC2,train (PCA),0.371697,0.424648,0.2388,123,213
28,slope PC3,train (PCA),0.680349,0.489957,0.149782,123,213
28,top-10 h2 regions (mean),train (h2),0.527242,0.544374,0.280753,123,213
29,global mean slope,none,0.264229,0.471213,0.339099,138,207
29,slope PC1,train (PCA),0.27548,0.404387,0.266647,138,207
29,slope PC2,train (PCA),0.142408,0.35465,0.283446,138,207
29,slope PC3,train (PCA),0.280373,0.396374,0.256188,138,207
29,top-10 h2 regions (mean),train (h2),0.521036,0.511677,0.251159,138,207
30,global mean slope,none,0.462974,0.491337,0.25985,139,205
30,slope PC1,train (PCA),0.628591,0.446873,0.132577,139,205
30,slope PC2,train (PCA),0.354767,0.473855,0.296471,139,205
30,slope PC3,train (PCA),0.567399,0.465637,0.181937,139,205
30,top-10 h2 regions (mean),train (h2),0.4177,0.343897,0.135047,139,205
31,global mean slope,none,0.434741,0.438072,0.220701,148,218
31,slope PC1,train (PCA),0.573136,0.363032,0.0764642,148,218
31,slope PC2,train (PCA),0.378927,0.342326,0.152862,148,218
31,slope PC3,train (PCA),0.372093,0.366643,0.180596,148,218
31,top-10 h2 regions (mean),train (h2),0.570298,0.418673,0.133524,148,218
32,global mean slope,none,0.353421,0.419876,0.243166,134,198
32,slope PC1,train (PCA),0.562999,0.471291,0.189791,134,198
32,slope PC2,train (PCA),0.127748,0.353023,0.289149,134,198
32,slope PC3,train (PCA),0.548689,0.489234,0.214889,134,198
32,top-10 h2 regions (mean),train (h2),0.17985,0.407596,0.317671,134,198
33,global mean slope,none,0.357505,0.462972,0.284219,146,208
33,slope PC1,train (PCA),0.114267,0.35986,0.302727,146,208
33,slope PC2,train (PCA),0.316231,0.431225,0.273109,146,208
33,slope PC3,train (PCA),0.0253939,0.353236,0.340539,146,208
33,top-10 h2 regions (mean),train (h2),0.1757,0.397764,0.309914,146,208
34,global mean slope,none,0.603716,0.484463,0.182605,135,207
34,slope PC1,train (PCA),0.474161,0.440068,0.202988,135,207
34,slope PC2,train (PCA),0.104836,0.356306,0.303888,135,207
34,slope PC3,train (PCA),0.509179,0.545206,0.290617,135,207
34,top-10 h2 regions (mean),train (h2),0.490082,0.403102,0.158061,135,207
35,global mean slope,none,0.525332,0.472862,0.210196,141,218
35,slope PC1,train (PCA),0.591911,0.355368,0.0594125,141,218
35,slope PC2,train (PCA),0.203012,0.371297,0.269791,141,218
35,slope PC3,train (PCA),0.503708,0.404632,0.152778,141,218
35,top-10 h2 regions (mean),train (h2),0.429886,0.415153,0.20021,141,218
36,global mean slope,none,0.471664,0.464937,0.229105,124,207
36,slope PC1,train (PCA),0.748152,0.487415,0.113339,124,207
36,slope PC2,train (PCA),0.499097,0.399938,0.15039,124,207
36,slope PC3,train (PCA),0.558205,0.514606,0.235504,124,207
36,top-10 h2 regions (mean),train (h2),0.426596,0.444804,0.231505,124,207
37,global mean slope,none,0.606151,0.511639,0.208563,129,200
37,slope PC1,train (PCA),0.378279,0.361418,0.172278,129,200
37,slope PC2,train (PCA),0.559559,0.499756,0.219977,129,200
37,slope PC3,train (PCA),0.289003,0.418217,0.273715,129,200
37,top-10 h2 regions (mean),train (h2),0.367945,0.426619,0.242646,129,200
38,global mean slope,none,0.435965,0.450319,0.232337,135,207
38,slope PC1,train (PCA),0.0679709,0.296664,0.262678,135,207
38,slope PC2,train (PCA),-0.0165954,0.294553,0.302851,135,207
38,slope PC3,train (PCA),0.255117,0.415198,0.287639,135,207
38,top-10 h2 regions (mean),train (h2),0.566573,0.438832,0.155545,135,207
39,global mean slope,none,0.504485,0.490823,0.238581,137,217
39,slope PC1,train (PCA),0.550105,0.411784,0.136732,137,217
39,slope PC2,train (PCA),0.407675,0.457242,0.253405,137,217
39,slope PC3,train (PCA),0.410075,0.467903,0.262865,137,217
39,top-10 h2 regions (mean),train (h2),0.53831,0.440631,0.171476,137,217
