method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.608068442863701	1.83166590582186	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.395520947193033	2.97483804118747	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.460993790814467	2.58007260933664	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.410017337629968	2.88300571786021	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.400140666666615	2.9452700069196	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.0819756691051129	6.70343592466816	3.0	8	0.655805352840903
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	pooled_stratumFE	all	8596	7198	0.0256805898316889	0.0106897659339241	0.0163123947960533			8	0.130499158368426
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	pooled_stratumFE	all	8596	7198	0.034468793042053	0.0108855586645811	0.0015487468888839			8	0.0123899751110712
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	pooled_stratumFE	all	8596	7198	0.0335214545849748	0.0112730449710788	0.0029520293998029			8	0.0236162351984234
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	pooled_stratumFE	all	8596	7198	0.0387609835387278	0.0114619282415149	0.0007237609758645			8	0.0057900878069167
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	pooled_stratumFE	all	8596	7198	0.0384811344675851	0.0116980109586211	0.0010078347420784			8	0.0080626779366279
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	pooled_stratumFE	all	8596	7198	0.0399329397340137	0.0117046185535385	0.0006487324130678			8	0.005189859304543
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	pooled_stratumFE	all	8596	7198	0.0205461410981839	0.0106780633424782	0.0543713803328629			8	0.434971042662903
