"label","region","view","x","y","group","subgroup"
"lh_AVI","AVI","lateral",176.684559603125,46.1749685,1,1
"lh_AVI","AVI","lateral",176.556257478125,45.9657435,1,1
"lh_AVI","AVI","lateral",176.443222259375,45.75471640625,1,1
"lh_AVI","AVI","lateral",176.345453946875,45.54188721875,1,1
"lh_AVI","AVI","lateral",176.262952540625,45.3272559375,1,1
"lh_AVI","AVI","lateral",176.195718040625,45.1108225625,1,1
"lh_AVI","AVI","lateral",176.128903040625,44.891447125,1,1
"lh_AVI","AVI","lateral",176.062507540625,44.669129625,1,1
"lh_AVI","AVI","lateral",175.996531540625,44.4438700625,1,1
"lh_AVI","AVI","lateral",175.930975040625,44.2156684375,1,1
"lh_AVI","AVI","lateral",175.859380228125,43.989312125,1,1
"lh_AVI","AVI","lateral",175.781747103125,43.764801125,1,1
"lh_AVI","AVI","lateral",175.698075665625,43.5421354375,1,1
"lh_AVI","AVI","lateral",175.608365915625,43.3213150625,1,1
"lh_AVI","AVI","lateral",175.518352790625,43.09624828125,1,1
"lh_AVI","AVI","lateral",175.428036290625,42.86693509375,1,1
"lh_AVI","AVI","lateral",175.337416415625,42.6333755,1,1
"lh_AVI","AVI","lateral",175.246493165625,42.3955695,1,1
"lh_AVI","AVI","lateral",175.166133384375,42.1591293125,1,1
"lh_AVI","AVI","lateral",175.096337071875,41.9240549375,1,1
"lh_AVI","AVI","lateral",175.037104228125,41.690346375,1,1
"lh_AVI","AVI","lateral",174.988434853125,41.458003625,1,1
"lh_AVI","AVI","lateral",174.939433478125,41.2248565625,1,1
"lh_AVI","AVI","lateral",174.890100103125,40.9909051875,1,1
"lh_AVI","AVI","lateral",174.840434728125,40.7561495,1,1
"lh_AVI","AVI","lateral",174.790437353125,40.5205895,1,1
"lh_AVI","AVI","lateral",174.744268415625,40.2901918125,1,1
"lh_AVI","AVI","lateral",174.701927915625,40.0649564375,1,1
"lh_AVI","AVI","lateral",174.663415853125,39.844883375,1,1
"lh_AVI","AVI","lateral",174.628732228125,39.629972625,1,1
"lh_AVI","AVI","lateral",174.585093103125,39.4127251875,1,1
"lh_AVI","AVI","lateral",174.532498478125,39.1931410625,1,1
"lh_AVI","AVI","lateral",174.470948353125,38.97122025,1,1
"lh_AVI","AVI","lateral",174.400442728125,38.74696275,1,1
"lh_AVI","AVI","lateral",174.331044915625,38.52793390625,1,1
"lh_AVI","AVI","lateral",174.262754915625,38.31413371875,1,1
"lh_AVI","AVI","lateral",174.195572728125,38.1055621875,1,1
"lh_AVI","AVI","lateral",174.129498353125,37.9022193125,1,1
"lh_AVI","AVI","lateral",174.096802051042,37.71911621875,1,1
"lh_AVI","AVI","lateral",174.097483821875,37.55625290625,1,1
"lh_AVI","AVI","lateral",174.131543665625,37.413629375,1,1
"lh_AVI","AVI","lateral",174.198981582292,37.291245625,1,1
"lh_AVI","AVI","lateral",174.216803853125,37.1775936875,1,1
"lh_AVI","AVI","lateral",174.185010478125,37.0726735625,1,1
"lh_AVI","AVI","lateral",174.103601457292,36.97648525,1,1
"lh_AVI","AVI","lateral",173.972576790625,36.88902875,1,1
"lh_AVI","AVI","lateral",173.871000103125,36.771360625,1,1
"lh_AVI","AVI","lateral",173.798871394792,36.623480875,1,1
"lh_AVI","AVI","lateral",173.756190665625,36.4453895,1,1
"lh_AVI","AVI","lateral",173.742957915625,36.2370865,1,1
"lh_AVI","AVI","lateral",173.718470415625,36.0288055625,1,1
"lh_AVI","AVI","lateral",173.682728165625,35.8205466875,1,1
"lh_AVI","AVI","lateral",173.635731165625,35.612309875,1,1
"lh_AVI","AVI","lateral",173.577479415625,35.404095125,1,1
