readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.039919	0.015256	0.071294	4308	-0.051692	0.017765	0.029095	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	-0.039522	0.015371	0.010169	4308	-0.044377	0.015926	0.0053541	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.011159	0.015339	0.46695	4308	-0.016393	0.015706	0.29664	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ASD -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.014945	0.015274	0.32791	4308	-0.018106	0.015751	0.25041	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	0.029753	0.014511	0.32314	4308	0.029584	0.017002	0.65538	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	0.026902	0.01459	0.065275	4308	0.015981	0.015219	0.29375	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	0.00611	0.014577	0.67513	4308	-0.0041689	0.015025	0.78144	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ASD -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	0.011118	0.014529	0.44419	4308	-0.0031753	0.015085	0.83329	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS C+T min-p permutation ALZ (legacy design)	baseline_thickness	EUR	CT	0.23538			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	baseline_thickness	full	CT	0.31084			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	global_slope	EUR	CT	0.063468			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	global_slope	full	CT	0.058971			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC1	EUR	CT	0.056972			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC1	full	CT	0.44978			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC2	EUR	CT	0.26187			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC2	full	CT	0.13693			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC3	EUR	CT	0.83508			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (legacy design)	slope_PC3	full	CT	0.1924			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	baseline_thickness	EUR	CT	0.17741			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	global_slope	EUR	CT	0.052974			4308	0.076962			4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	slope_PC1	EUR	CT	0.015992			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	slope_PC2	EUR	CT	0.1909			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ (matched design)	slope_PC3	EUR	CT	0.75662			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	baseline_thickness	EUR	CT	0.36182			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	global_slope	EUR	CT	0.22389			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	slope_PC1	EUR	CT	0.24438			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	slope_PC2	EUR	CT	0.27986			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP (matched design)	slope_PC3	EUR	CT	0.42779			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	baseline_thickness	EUR	CT	0.047476			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	global_slope	EUR	CT	0.27536			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	slope_PC1	EUR	CT	0.35532			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	slope_PC2	EUR	CT	0.32834			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_IGAP_noAPOE (matched design)	slope_PC3	EUR	CT	0.3978			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	baseline_thickness	EUR	CT	0.04048			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	global_slope	EUR	CT	0.15492			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	slope_PC1	EUR	CT	0.5917			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	slope_PC2	EUR	CT	0.46127			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZ_noAPOE (matched design)	slope_PC3	EUR	CT	0.84908			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	baseline_thickness	EUR	CT	0.035982			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	baseline_thickness	full	CT	0.33883			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	global_slope	EUR	CT	0.15992			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	global_slope	full	CT	0.14493			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC1	EUR	CT	0.54773			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC1	full	CT	0.58071			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC2	EUR	CT	0.3973			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC2	full	CT	0.12494			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC3	EUR	CT	0.85207			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ALZnoAPOE (legacy design)	slope_PC3	full	CT	0.28086			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	baseline_thickness	EUR	CT	0.046477			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	baseline_thickness	full	CT	0.0069965			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	global_slope	EUR	CT	0.14093			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	global_slope	full	CT	0.0044978			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC1	EUR	CT	0.57021			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC1	full	CT	0.089455			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC2	EUR	CT	0.94603			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC2	full	CT	0.28986			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC3	EUR	CT	0.98251			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (legacy design)	slope_PC3	full	CT	0.92854			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	baseline_thickness	EUR	CT	0.046477			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	global_slope	EUR	CT	0.14093			4308	0.26487			4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	slope_PC1	EUR	CT	0.57021			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	slope_PC2	EUR	CT	0.94603			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation ASD (matched design)	slope_PC3	EUR	CT	0.98251			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	baseline_thickness	EUR	CT	0.32584			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	global_slope	EUR	CT	0.44278			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	slope_PC1	EUR	CT	0.42929			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	slope_PC2	EUR	CT	0.098451			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation EA (matched design)	slope_PC3	EUR	CT	0.17341			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	baseline_thickness	EUR	CT	0.1999			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	baseline_thickness	full	CT	0.06047			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	global_slope	EUR	CT	0.46327			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	global_slope	full	CT	0.16742			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC1	EUR	CT	0.83358			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC1	full	CT	0.18241			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC2	EUR	CT	0.86907			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC2	full	CT	0.69165			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC3	EUR	CT	0.10445			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD (legacy design)	slope_PC3	full	CT	0.35332			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	baseline_thickness	EUR	CT	0.31484			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	global_slope	EUR	CT	0.46727			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	slope_PC1	EUR	CT	0.21539			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	slope_PC2	EUR	CT	0.64118			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_eur (matched design)	slope_PC3	EUR	CT	0.63618			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	baseline_thickness	full	CT	0.061969			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	global_slope	full	CT	0.26637			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	slope_PC1	full	CT	0.14043			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	slope_PC2	full	CT	0.66467			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation MDD_pooled (matched design)	slope_PC3	full	CT	0.49025			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	baseline_thickness	EUR	CT	0.63968			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	baseline_thickness	full	CT	0.5927			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	global_slope	EUR	CT	0.047476			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	global_slope	full	CT	0.005997			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC1	EUR	CT	0.072964			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC1	full	CT	0.003998			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC2	EUR	CT	0.43628			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC2	full	CT	0.17741			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC3	EUR	CT	0.37631			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ (legacy design)	slope_PC3	full	CT	0.93003			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	baseline_thickness	EUR	CT	0.48576			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	global_slope	EUR	CT	0.034983			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	slope_PC1	EUR	CT	0.0064968			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	slope_PC2	EUR	CT	0.048476			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_eur (matched design)	slope_PC3	EUR	CT	0.22639			4308					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	baseline_thickness	full	CT	0.53973			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	global_slope	full	CT	0.0089955			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	slope_PC1	full	CT	0.0069965			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	slope_PC2	full	CT	0.18791			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS C+T min-p permutation SCZ_pooled (matched design)	slope_PC3	full	CT	0.90005			8596					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists; legacy min-p was the ancestry-MISMATCHED design
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	0.027646	0.015697	0.62623	4308	0.030877	0.016029	0.43305	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.027573	0.015809	0.081215	4308	0.031687	0.016137	0.049638	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	0.025722	0.015877	0.10528	4308	0.028005	0.016202	0.083974	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS EA -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	0.016384	0.015853	0.30143	4308	0.018114	0.016175	0.26284	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	0.021144	0.015037	1	4308	0.036155	0.015373	0.14986	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	0.022152	0.014957	0.13868	4308	0.034455	0.015334	0.024704	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	0.020431	0.014996	0.17315	4308	0.029948	0.015345	0.051057	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS EA -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	0.020811	0.014983	0.16493	4308	0.024466	0.015342	0.11086	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.024227	0.015369	0.92017	4308	-0.016936	0.015875	1	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	-0.027098	0.015489	0.080278	4308	-0.025382	0.015959	0.11182	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.020702	0.015702	0.18743	4308	-0.014552	0.016134	0.36714	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.020722	0.015609	0.18439	4308	-0.01771	0.016045	0.26975	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.021187	0.014786	1	4308	-0.025653	0.015128	0.72015	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.0097539	0.014672	0.50623	4308	-0.011543	0.015169	0.44672	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.023985	0.014847	0.10629	4308	-0.022911	0.015288	0.13404	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_eur -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.016726	0.014757	0.25711	4308	-0.017211	0.0152	0.25756	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	CT	-0.014821	0.010774	1	8596	-0.013403	0.011122	1	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	PRSCS	-0.0091845	0.010868	0.39809	8596	-0.0077734	0.011221	0.48849	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	SBayesR	-0.0026109	0.011004	0.81246	8596	0.00034932	0.011364	0.97548	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	baseline_thickness	full	SBayesRC	-0.0027387	0.010892	0.80148	8596	-0.0013736	0.011243	0.90277	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	CT	-0.015769	0.010499	1	8596	-0.020375	0.010918	0.49647	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	PRSCS	-0.015127	0.010492	0.14943	8596	-0.018756	0.010886	0.084934	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	SBayesR	-0.023158	0.010593	0.02884	8596	-0.028377	0.010986	0.0098138	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS MDD_pooled -> full (beta SD/SD, p_adj)	global_slope	full	SBayesRC	-0.018172	0.010504	0.083658	8596	-0.021538	0.010891	0.048012	8082	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
