method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
PRSCS	SCZ25_META	raw	SCZ25META	prscs	slope_PC3	full	8596	7198	1350	1449	0.0044611779941821	0.0338937887214377	0.895299625852077	-0.0020218453001357	0.0115319622610156	0.86082896703126	-0.0064830232943178	0.0357661123095134	-0.181261615414473	0.856162233373594
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	baseline_thickness	EUR	4308	3601	691	726	0.0236825667066051	0.0397356826527309	0.551351856557814	0.0077464752841769	0.0166692223204248	0.642161953385599	-0.0159360914224282	0.0431008053476248	-0.369739991953687	0.71157623083712
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	baseline_thickness	full	8596	7198	1350	1449	-0.0063749738971593	0.02819543174087	0.821155395914485	-0.0015186064152076	0.0115708740569412	0.895586038021237	0.0048563674819516	0.0304380883428154	0.159549030387711	0.873236332346407
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	global_slope	EUR	4308	3601	691	726	-0.0330830619807872	0.0464466786444956	0.476511075881463	-0.0374213582248801	0.0153199801533619	0.0146290152484282	-0.0043382962440929	0.0489143072100288	-0.0886917650793889	0.929326877258768
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	global_slope	full	8596	7198	1350	1449	0.0240750415405384	0.0326360748437647	0.4608169721831	-0.0281535498842286	0.0109284611519154	0.0100101958497742	-0.052228591424767	0.0343851338505976	-1.51892942024593	0.128780262661785
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	slope_PC1	EUR	4308	3601	691	726	0.0375252960682503	0.0529406521312297	0.478656932133934	-0.0476128436606308	0.0158951200995759	0.0027604152711409	-0.0851381397288811	0.0552804199432457	-1.54011383806941	0.123532607248813
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	slope_PC1	full	8596	7198	1350	1449	0.0385750008562108	0.0356909007385147	0.27994465582097	-0.0453144028052058	0.0113683444327752	6.78721138457474e-05	-0.0838894036614166	0.0374255652243624	-2.24149997891837	0.0249937068920869
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	slope_PC2	EUR	4308	3601	691	726	-0.0145779212913017	0.0504696048298465	0.772778920627533	0.0199561772836697	0.0163376724118547	0.221986257444076	0.0345340985749714	0.0530544955227496	0.650917480878945	0.5150997564456
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	slope_PC2	full	8596	7198	1350	1449	-0.023678476215527	0.0354315978814099	0.504045823997371	0.0185744665974967	0.0115612102756083	0.108182363082219	0.0422529428130237	0.0372368057284911	1.13470911337313	0.256497217618244
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	slope_PC3	EUR	4308	3601	691	726	-0.0272657311480197	0.0462610608737171	0.555787997881842	-0.0028163688587634	0.0164219532984086	0.863840345361979	0.0244493622892563	0.0490972064905699	0.497978684264903	0.618499066313655
PRSCS	SCZ25_META	zanc	SCZ25META	prscs	slope_PC3	full	8596	7198	1350	1449	0.0057369134407281	0.0338671007147874	0.865507491134416	-0.0014696024194099	0.011503998166968	0.898352705250994	-0.007206515860138	0.0357334867315291	-0.201674018387338	0.840171575555493
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	baseline_thickness	EUR	4308	3601	691	726	0.0323357018776158	0.040273715867898	0.422286474072402	0.0179571138960068	0.0168152228378532	0.285633409620772	-0.014378587981609	0.0436687563193621	-0.329264883947102	0.741955484131735
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	baseline_thickness	full	8596	7198	1350	1449	0.0399327757386316	0.0595825658097158	0.502829026839559	0.0171834502725196	0.0257440876518183	0.504491462706752	-0.0227493254661119	0.0634445851906464	-0.358570008736788	0.719916786300635
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	global_slope	EUR	4308	3601	691	726	-0.0277343346323807	0.0470825200038042	0.555998628395455	-0.0437802273841939	0.015447328587719	0.0046210809171658	-0.0160458927518133	0.0495699450644539	-0.323702048306679	0.746163619962582
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	global_slope	full	8596	7198	1350	1449	-0.0111043135859984	0.0689235166740587	0.872026634223317	-0.0930009849100017	0.0243745139307646	0.000137036429935	-0.0818966713240032	0.0719443808721321	-1.1383331169332	0.254981410490152
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	slope_PC1	EUR	4308	3601	691	726	0.0159847309673838	0.0536593919464844	0.765867427254558	-0.0431213207799732	0.0160331040188507	0.0071909320543817	-0.059106051747357	0.0560200494357941	-1.05508746141147	0.291385326015879
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	slope_PC1	full	8596	7198	1350	1449	0.003847795017683	0.0753557074323481	0.959282604376387	-0.0886497053917981	0.025389567499177	0.0004830758858545	-0.0924975004094812	0.0783590256698933	-1.18043198749241	0.237828445938117
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	slope_PC2	EUR	4308	3601	691	726	0.0023088288188505	0.0511649465411506	0.964019458696387	0.0217354755344977	0.0164765423756619	0.187197224889971	0.0194266467156471	0.0537713398302291	0.361282548974647	0.717888237886428
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	slope_PC2	full	8596	7198	1350	1449	0.0185148573272115	0.0748318933024916	0.804614976661613	0.0356116956445337	0.0258067536636053	0.16764879205692	0.0170968383173222	0.0779538020921601	0.219320133957156	0.826400679047584
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	slope_PC3	EUR	4308	3601	691	726	-0.02714812212593	0.0469039871132176	0.562906508892861	-0.0128646055110795	0.0165631755485586	0.43738886495533	0.0142835166148504	0.0497637841962166	0.28702633542761	0.774092155495507
SBayesR	SCZ25_EUR	raw	SCZ25EUR	sbr	slope_PC3	full	8596	7198	1350	1449	0.0360547942856486	0.0715358016719759	0.614323215190935	-0.0028559663649417	0.0256665205642571	0.911403680802131	-0.0389107606505904	0.07476125850098	-0.520466902654941	0.602738190448454
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	baseline_thickness	EUR	4308	3601	691	726	0.0323357378613087	0.0402737163746054	0.422285963765296	0.0179571170264222	0.0168152228394224	0.285633325693017	-0.0143786208348865	0.0436687568044367	-0.329265632618734	0.741954918297411
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	baseline_thickness	full	8596	7198	1350	1449	0.0057903070923431	0.0314176438629475	0.853802701849571	0.0190009364175401	0.0116533373967332	0.103036449970394	0.013210629325197	0.0335098896792122	0.394230761475534	0.693410676519839
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	global_slope	EUR	4308	3601	691	726	-0.0277343482294701	0.0470825206202706	0.555998439946719	-0.0437802231428284	0.0154473285867712	0.0046210848762746	-0.0160458749133584	0.0495699456637016	-0.323701684529145	0.746163895399797
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	global_slope	full	8596	7198	1350	1449	0.01385325132776	0.0363677947588779	0.703313065768605	-0.0377284123416506	0.0110025459405618	0.0006091171173091	-0.0515816636694105	0.0379961586961801	-1.35754943234818	0.17460669790971
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	slope_PC1	EUR	4308	3601	691	726	0.0159847373144278	0.0536593926804539	0.765867340117369	-0.0431213187393142	0.016033104009506	0.0071909347571491	-0.059106056053742	0.0560200501500264	-1.05508752483175	0.291385297013218
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	slope_PC1	full	8596	7198	1350	1449	0.0014691314317185	0.0397692181276189	0.970536297217472	-0.0328518899949068	0.0114558259025176	0.0041469926307652	-0.0343210214266253	0.041386757831307	-0.829275430719126	0.406948570304383
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	slope_PC2	EUR	4308	3601	691	726	0.0023088288023769	0.0511649472398216	0.964019459443935	0.0217354820533316	0.0164765423663751	0.187197092417486	0.0194266532509546	0.053771340506969	0.361282665966583	0.717888150437836
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	slope_PC2	full	8596	7198	1350	1449	0.0159698493471562	0.0394852919184047	0.68593499419713	0.0108989351213785	0.0116445581937233	0.349321571390001	-0.0050709142257777	0.0411670144804766	-0.123179061920622	0.901965305455825
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	slope_PC3	EUR	4308	3601	691	726	-0.0271481378581942	0.0469039877348861	0.56290628784532	-0.0128646104251582	0.0165631755451554	0.437388689802416	0.0142835274330361	0.0497637847966021	0.287026549355453	0.774091991694006
SBayesR	SCZ25_EUR	zanc	SCZ25EUR	sbr	slope_PC3	full	8596	7198	1350	1449	-0.005688469389438	0.0377460190523683	0.880228424519542	0.0021568787819772	0.0115856261588479	0.852317910857334	0.0078453481714152	0.0394845351986461	0.198694200956032	0.842501960549263
SBayesR	SCZ25_META	raw	SCZ25META	sbr	baseline_thickness	EUR	4308	3601	691	726	0.039960543798538	0.038710946823295	0.30227192207041	0.0118154897813023	0.0166930942982624	0.479110646530555	-0.0281450540172358	0.0421969796652982	-0.666992145894782	0.504777150276215
