method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ25_MATCHED	matched	full	primary	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	global_slope	0p1	8596	7198		-0.03304115361533	0.0105066752003085	0.0016681882267542	0.0133455058140341
CT	SCZ25_MATCHED	matched	full	primary	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	slope_PC1	1	8596	7198		-0.0345201945851033	0.011003284810036	0.001711640177234	0.0136931214178726
CT	SCZ25_MATCHED	matched	full	primary	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	slope_PC2	1	8596	7198		0.0224534557517694	0.0111663286332918	0.0443784156788938	0.355027325431151
CT	SCZ25_MATCHED	matched	full	primary	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	slope_PC3	1e-5	8596	7198		0.015162330376061	0.0108724420451114	0.163184410696199	1.0
CT	SCZ25_MATCHED	matched	full	primary	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	baseline_thickness	0p5	8596	7198		0.0136322027477057	0.0109499833827102	0.213184063749542	1.0
CT	SCZ25_MATCHED	matched	EUR	n/a (composite read in EUR only = EUR weights)	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	slope_PC1	1	4308	3601		-0.0597853739275042	0.015434502947102	0.000109068978183	0.0008725518254647
CT	SCZ25_MATCHED	matched	EUR	n/a (composite read in EUR only = EUR weights)	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	global_slope	1	4308	3601		-0.050982996568288	0.0147719531766747	0.0005635297608936	0.004508238087149
CT	SCZ25_MATCHED	matched	EUR	n/a (composite read in EUR only = EUR weights)	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	slope_PC2	1	4308	3601		0.0452005244748418	0.0157687146921028	0.0041724504810533	0.0333796038484264
CT	SCZ25_MATCHED	matched	EUR	n/a (composite read in EUR only = EUR weights)	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	baseline_thickness	0p5	4308	3601		0.019131894825408	0.0156511493864677	0.221625520425194	1.0
CT	SCZ25_MATCHED	matched	EUR	n/a (composite read in EUR only = EUR weights)	raw	per-child ancestry-matched (EURlike<-EUR, cluster1<-AFR, cluster3<-EAS, cluster2<-META), z within cluster	slope_PC3	1e-5	4308	3601		0.0176503474953307	0.015476617267644	0.254162865110398	1.0
PRSCS	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	prscs	8596	7198	1085758.0	-0.0684927530673194	0.0194427412655122	0.0004293956869431	0.0004293956869431
PRSCS	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	prscs	8596	7198	1085758.0	-0.0550046901377027	0.0186020787660939	0.0031162516163784	0.0031162516163784
PRSCS	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	prscs	8596	7198	1085758.0	0.0237076000854485	0.0197288550903063	0.229525923482361	0.229525923482361
PRSCS	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	prscs	8596	7198	1085758.0	0.0067851099360402	0.0192496099500007	0.72448672911509	0.72448672911509
PRSCS	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	prscs	8596	7198	1085758.0	0.0001547923850218	0.0195580773307524	0.993685401160502	0.993685401160502
PRSCS	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	prscs	4308	3601	1085758.0	-0.0427111440709919	0.0153513079344745	0.0054242596073934	0.0054242596073934
PRSCS	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	prscs	4308	3601	1085758.0	-0.0405508928826929	0.0146732877132834	0.0057426659250051	0.0057426659250051
PRSCS	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	prscs	4308	3601	1085758.0	0.0169139887932032	0.0156776220041933	0.280713541485525	0.280713541485525
PRSCS	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	prscs	4308	3601	1085758.0	0.0161258888658005	0.0155188520800895	0.298809440366214	0.298809440366214
PRSCS	SCZ25_EUR	EUR	EUR	primary	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	prscs	4308	3601	1085758.0	-0.0027825249042348	0.0156149072897106	0.858577187792575	0.858577187792575
PRSCS	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC1	prscs	8596	7198	1085758.0	-0.0344462834571523	0.0109500441364824	0.0016626094165117	0.0016626094165117
PRSCS	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	prscs	8596	7198	1085758.0	-0.0281081095242008	0.0104789179777892	0.0073255256857714	0.0073255256857714
PRSCS	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC2	prscs	8596	7198	1085758.0	0.0110768451586366	0.0111112030199453	0.318839190090665	0.318839190090665
PRSCS	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	baseline_thickness	prscs	8596	7198	1085758.0	0.0105817548335765	0.0108644723518834	0.330095336376258	0.330095336376258
PRSCS	SCZ25_EUR	EUR	full	confounded	zanc	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	slope_PC3	prscs	8596	7198	1085758.0	0.0021112255840213	0.0110177477807505	0.848044303509246	0.848044303509246
PRSCS	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC1	prscs	8596	7198	1085655.0	-0.0376496802616192	0.0108673134636901	0.0005339889297953	0.0005339889297953
PRSCS	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	global_slope	prscs	8596	7198	1085655.0	-0.0231225368092515	0.01039679699103	0.0261750377677494	0.0261750377677494
PRSCS	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC2	prscs	8596	7198	1085655.0	0.0144157957334859	0.0110259299133946	0.191098382492155	0.191098382492155
PRSCS	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	baseline_thickness	prscs	8596	7198	1085655.0	-0.0022294037041045	0.0107432058050559	0.835610632412788	0.835610632412788
PRSCS	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC3	prscs	8596	7198	1085655.0	-0.0013536655299755	0.0109278145718938	0.901418521273563	0.901418521273563
PRSCS	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC1	prscs	4308	3601	1085655.0	-0.04057615568059	0.0152232876671225	0.0077210143534453	0.0077210143534453
PRSCS	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	global_slope	prscs	4308	3601	1085655.0	-0.0369942489794404	0.0145461274246737	0.0110194902306511	0.0110194902306511
PRSCS	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC2	prscs	4308	3601	1085655.0	0.0166709918916459	0.0155412108646595	0.283471134053599	0.283471134053599
PRSCS	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	baseline_thickness	prscs	4308	3601	1085655.0	0.0101343378870456	0.0153663303813627	0.509600031778943	0.509600031778943
PRSCS	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC3	prscs	4308	3601	1085655.0	-0.0055557729957496	0.0154723588258661	0.719555412675191	0.719555412675191
PRSCS	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	slope_PC1	prscs	8596	7198	1085655.0	-0.037662974000093	0.0108428247275297	0.0005163227500703	0.0005163227500703
PRSCS	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	global_slope	prscs	8596	7198	1085655.0	-0.0229298712637267	0.0103730190572721	0.0270957284844458	0.0270957284844458
PRSCS	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	slope_PC2	prscs	8596	7198	1085655.0	0.0145395065121682	0.0110008454317176	0.186314390746633	0.186314390746633
PRSCS	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	baseline_thickness	prscs	8596	7198	1085655.0	-0.0022147149458241	0.0107177253332085	0.836295633337466	0.836295633337466
PRSCS	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	slope_PC3	prscs	8596	7198	1085655.0	-0.0007288102303156	0.0109026839476294	0.946705227216546	0.946705227216546
SBayesR	SCZ25_EUR	EUR	full	confounded	raw	2025 SCZ EUR (MVP+PGC3+AoU+FinnGen)	global_slope	sbr	8596	7198	1076468.0	-0.084935181401682	0.0233218292677045	0.0002723276561256	0.0002723276561256
