method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	pooled_stratumFE	all	8596	7198	-0.0408919257590908	0.0113719399159548	0.0003252215951211			8	0.0026017727609693
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	pooled_stratumFE	all	8596	7198	-0.0077345974584422	0.0103676509989719	0.455669318301238			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	pooled_stratumFE	all	8596	7198	-0.0020233620613189	0.0103081674856976	0.844390112834384			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	EURanchor	4308	3601	-0.0339857127109932	0.0145900009014077	0.0198872363171935			8	0.159097890537548
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	EURanchor	4308	3601	-0.038725561320097	0.0146114091694181	0.0080716490887096			8	0.0645731927096771
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	EURanchor	4308	3601	-0.0422390201991117	0.0146539211182362	0.0039667694301871			8	0.0317341554414969
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	EURanchor	4308	3601	-0.0458401270471162	0.0146864492961837	0.0018134336442443			8	0.0145074691539549
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	EURanchor	4308	3601	-0.0509036788240853	0.0147715607716025	0.0005746170413483			8	0.0045969363307864
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	EURanchor	4308	3601	-0.050982997865227	0.0147719531526228	0.0005635295663598			8	0.0045082365308791
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	EURanchor	4308	3601	-0.0239967709943991	0.0145661062232667	0.0995440490405982			8	0.796352392324786
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	EURanchor	4308	3601	-0.0133789120506275	0.0145618314791802	0.358271768862814			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	EURlike	5665	4676	-0.0315215399829325	0.0127630528924149	0.0135516160855747			8	0.108412928684597
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	EURlike	5665	4676	-0.0329811725078735	0.0128452880419146	0.0102682305030082			8	0.0821458440240659
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	EURlike	5665	4676	-0.0361157076810291	0.0130224586882623	0.005567519642493			8	0.0445401571399444
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	EURlike	5665	4676	-0.0380194263024811	0.0130995249350923	0.0037187401290702			8	0.0297499210325622
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	EURlike	5665	4676	-0.0396477854264528	0.0132655500020556	0.0028136947663674			8	0.0225095581309395
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	EURlike	5665	4676	-0.0400772083630223	0.0132683733992475	0.0025354572971343			8	0.0202836583770748
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	EURlike	5665	4676	-0.0203642659362219	0.0127569922975923	0.110475365714024			8	0.883802925712195
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	EURlike	5665	4676	-0.0102298818217199	0.01271601904154	0.42115060870308			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	cluster1	1623	1397	0.004251612086351	0.0242594954623625	0.860901139301973			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	cluster1	1623	1397	-0.0211685026854413	0.0257641517342604	0.411413314340755			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	cluster1	1623	1397	-0.0552367334188523	0.0279706710189097	0.0484636531439745			8	0.387709225151796
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	cluster1	1623	1397	-0.0685988990425061	0.0291380157627315	0.0186803943512518			8	0.149443154810014
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	cluster1	1623	1397	-0.0551209154745681	0.0305167043453518	0.0710691081987204			8	0.568552865589763
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	cluster1	1623	1397	-0.0568386952248276	0.0305213039605321	0.0627520928945214			8	0.502016743156172
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	cluster1	1623	1397	0.0179708556741643	0.0241917944850194	0.457683497312326			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	cluster1	1623	1397	0.0256570979748367	0.0238567032254945	0.282331035339799			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	cluster2	928	824	0.0091289216268181	0.0318662495132114	0.774583474697252			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	cluster2	928	824	-0.0200103785138684	0.0323329809290006	0.536152918352948			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	cluster2	928	824	-0.0282421967114831	0.0347144441121545	0.416119670258471			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	cluster2	928	824	-0.0327060014565191	0.03640194945754	0.369183253749706			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	cluster2	928	824	-0.0236991382390052	0.0387384311332858	0.540848579106554			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	cluster2	928	824	-0.0195234058646124	0.0389696795306707	0.616505950705788			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	cluster2	928	824	0.0441298703878717	0.0319914698729472	0.168113354444455			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	cluster2	928	824	0.0306353720427645	0.0319622698070036	0.338076547861675			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	cluster3	380	329	-0.0147318518150056	0.0520538041720159	0.777329020042784			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	cluster3	380	329	-0.0642830889561193	0.0572979676881959	0.262637072536897			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	cluster3	380	329	-0.0298177021141146	0.0701055519295819	0.670850510523166			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	cluster3	380	329	-0.0222900309043005	0.0752583231600138	0.76726066659828			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	cluster3	380	329	-0.0520190025154315	0.0826333632989102	0.529404439978338			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	cluster3	380	329	-0.0402233837030939	0.0831489998628376	0.628852178027876			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	cluster3	380	329	-0.068321368226349	0.0510417938743467	0.181554859446248			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	cluster3	380	329	-0.0921971074932252	0.0495647260453538	0.0636951606807128			8	0.509561285445702
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.801091035864833	1.00066504343704	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.988051379309088	0.129684605086368	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.503714747590852	2.34627027408715	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.462955657100013	2.56896907628834	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.647884609534098	1.65098829821727	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.559145177781383	2.06441573612392	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.441675350944619	2.69149039034528	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.158786815266072	5.18432697632306	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	pooled_stratumFE	all	8596	7198	-0.0319829892948304	0.0108528991027081	0.0032183226762332			8	0.0257465814098656
