phenotype,x_lo,x_hi,y_lo,y_hi,count
global,-0.018475707023170113,-0.0182551191451344,-0.016128592643943066,-0.015765636067624517,2
global,-0.018475707023170113,-0.0182551191451344,-0.015765636067624517,-0.015402679491305969,2
global,-0.0182551191451344,-0.018034531267098686,-0.021209984712402742,-0.020847028136084196,1
global,-0.0182551191451344,-0.018034531267098686,-0.020847028136084196,-0.020484071559765643,2
global,-0.0182551191451344,-0.018034531267098686,-0.020484071559765643,-0.020121114983447097,1
global,-0.0182551191451344,-0.018034531267098686,-0.020121114983447097,-0.01975815840712855,5
global,-0.0182551191451344,-0.018034531267098686,-0.01975815840712855,-0.019395201830809998,21
global,-0.0182551191451344,-0.018034531267098686,-0.019395201830809998,-0.019032245254491452,31
global,-0.0182551191451344,-0.018034531267098686,-0.019032245254491452,-0.018669288678172906,63
global,-0.0182551191451344,-0.018034531267098686,-0.018669288678172906,-0.018306332101854353,78
global,-0.0182551191451344,-0.018034531267098686,-0.018306332101854353,-0.017943375525535807,88
global,-0.0182551191451344,-0.018034531267098686,-0.017943375525535807,-0.01758041894921726,76
global,-0.0182551191451344,-0.018034531267098686,-0.01758041894921726,-0.017217462372898708,61
global,-0.0182551191451344,-0.018034531267098686,-0.017217462372898708,-0.016854505796580162,38
global,-0.0182551191451344,-0.018034531267098686,-0.016854505796580162,-0.016491549220261616,32
global,-0.0182551191451344,-0.018034531267098686,-0.016491549220261616,-0.016128592643943066,12
global,-0.0182551191451344,-0.018034531267098686,-0.016128592643943066,-0.015765636067624517,6
global,-0.0182551191451344,-0.018034531267098686,-0.015765636067624517,-0.015402679491305969,1
global,-0.0182551191451344,-0.018034531267098686,-0.015402679491305969,-0.015039722914987421,3
global,-0.018034531267098686,-0.017813943389062975,-0.020484071559765643,-0.020121114983447097,1
global,-0.018034531267098686,-0.017813943389062975,-0.020121114983447097,-0.01975815840712855,3
global,-0.018034531267098686,-0.017813943389062975,-0.01975815840712855,-0.019395201830809998,6
global,-0.018034531267098686,-0.017813943389062975,-0.019395201830809998,-0.019032245254491452,17
global,-0.018034531267098686,-0.017813943389062975,-0.019032245254491452,-0.018669288678172906,33
global,-0.018034531267098686,-0.017813943389062975,-0.018669288678172906,-0.018306332101854353,50
