kind	disorder_result	phenotype	variable	type	n_genes	beta	beta_std	se	p	file
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_pool_not_prio	SET	354	0.12489	0.017215	0.10262	0.11181	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.16363	0.025499	0.058288	0.0025019	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_prio_finemap	SET	61	-0.10067	-0.0058075	0.12774	0.78468	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.12943	0.020169	0.052543	0.0068894	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_prio_rare	SET	7	0.74189	0.014519	0.39033	0.028682	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.14354	0.022368	0.053454	0.0036283	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_prio_smr	SET	44	-0.0065316	-0.00032015	0.13984	0.51863	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.17639	0.027487	0.058857	0.0013664	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_prioritised	SET	101	-0.12489	-0.0092602	0.10262	0.88819	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.17639	0.027487	0.058857	0.0013664	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_prioritised_pc	SET	101	-0.12489	-0.0092602	0.10262	0.88819	global_slope_sets_condST12pool.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_EUR	slope_PC1	PGC3_EUR	COVAR	18261	0.0087524	0.014085	0.0060063	0.14508	slope_PC1_on_PGC3_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_primary	slope_PC1	PGC3_primary	COVAR	18261	0.0081999	0.013279	0.0059309	0.16682	slope_PC1_on_PGC3_primary.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_EUR	slope_PC1	SCZ25_EUR	COVAR	18270	0.0072018	0.011537	0.0059727	0.22792	slope_PC1_on_SCZ25_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_META	slope_PC1	SCZ25_META	COVAR	18270	0.0057648	0.0091122	0.0059951	0.33628	slope_PC1_on_SCZ25_META.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_METAnaive	slope_PC1	SCZ25_METAnaive	COVAR	18270	0.0096179	0.015025	0.006115	0.11578	slope_PC1_on_SCZ25_METAnaive.gsa.out
gene-set marginal	gene sets	slope_PC1	PGC3_genesig	SET	704	0.029427	0.0056641	0.049521	0.27618	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.024251	-0.0051305	0.046418	0.69932	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ25_genesig	SET	777	0.071723	0.014473	0.043742	0.050547	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ25_genesig_new	SET	214	0.10049	0.010812	0.061712	0.051737	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ25_locus_pool	SET	1103	0.081531	0.019419	0.041237	0.024023	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ25_locus_pool_new	SET	302	0.1946	0.024812	0.061796	0.00082073	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.021823	-0.0034007	0.051168	0.66512	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ_pool_not_prio	SET	354	-0.0056299	-0.00077604	0.057429	0.53905	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ_prio_finemap	SET	61	-0.030106	-0.0017367	0.11214	0.60583	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ_prio_rare	SET	7	0.4046	0.0079181	0.3801	0.14357	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ_prio_smr	SET	44	-0.076773	-0.0037631	0.13386	0.71686	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ_prioritised	SET	101	-0.052752	-0.0039114	0.089212	0.72284	slope_PC1_sets.gsa.out
gene-set marginal	gene sets	slope_PC1	SCZ_prioritised_pc	SET	101	-0.052752	-0.0039114	0.089212	0.72284	slope_PC1_sets.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.045976	-0.0097266	0.051979	0.81178	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_genesig	SET	704	0.051501	0.0099129	0.055454	0.17653	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.068292	-0.014448	0.051148	0.90908	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ25_genesig	SET	777	0.098769	0.019931	0.048204	0.020241	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.037238	-0.0078779	0.047015	0.78582	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ25_genesig_new	SET	214	0.10838	0.011661	0.062512	0.041495	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.16611	-0.035141	0.063966	0.99529	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ25_locus_pool	SET	1103	0.18312	0.043614	0.056834	0.00063809	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.007745	-0.0016385	0.046706	0.56585	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ25_locus_pool_new	SET	302	0.19343	0.024662	0.062201	0.00093828	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.01913	-0.004047	0.054368	0.63752	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.010845	-0.00169	0.059931	0.5718	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.026477	-0.0056014	0.050373	0.70042	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ_pool_not_prio	SET	354	0.0070905	0.00097737	0.062321	0.45471	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.022576	-0.0047762	0.049005	0.67748	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ_prio_finemap	SET	61	-0.012624	-0.0007282	0.11839	0.54246	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.030708	-0.0064965	0.046764	0.74429	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ_prio_rare	SET	7	0.43515	0.008516	0.38295	0.12792	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.022157	-0.0046876	0.046586	0.68283	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ_prio_smr	SET	44	-0.071367	-0.0034981	0.13434	0.70237	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.017519	-0.0037063	0.048732	0.64039	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ_prioritised	SET	101	-0.042502	-0.0031514	0.09366	0.67501	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.017519	-0.0037063	0.048732	0.64039	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC1	SCZ_prioritised_pc	SET	101	-0.042502	-0.0031514	0.09366	0.67501	slope_PC1_sets_condPGC3pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.036601	-0.0057036	0.05449	0.74911	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	PGC3_genesig	SET	704	0.041604	0.008008	0.052736	0.21509	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.010845	-0.00169	0.059931	0.5718	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	PGC3_locus_pool	SET	858	-0.01913	-0.004047	0.054368	0.63752	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.055455	-0.0086417	0.054184	0.84694	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ25_genesig	SET	777	0.087333	0.017623	0.046325	0.02971	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.030946	-0.0048224	0.051451	0.72623	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ25_genesig_new	SET	214	0.10442	0.011235	0.062059	0.046235	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.081579	-0.012713	0.056873	0.92426	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ25_locus_pool	SET	1103	0.11026	0.02626	0.045841	0.0080885	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.028296	-0.0044094	0.051192	0.70977	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ25_locus_pool_new	SET	302	0.19596	0.024985	0.061847	0.00076773	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.054591	-0.0085072	0.089866	0.72823	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_pool_not_prio	SET	354	0.044739	0.0061669	0.10086	0.32868	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.01961	-0.003056	0.057288	0.63394	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_prio_finemap	SET	61	-0.010781	-0.00062192	0.12555	0.53422	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.029756	-0.0046369	0.051644	0.71774	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_prio_rare	SET	7	0.43458	0.0085048	0.38365	0.12867	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.015994	-0.0024924	0.052536	0.6196	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_prio_smr	SET	44	-0.067292	-0.0032983	0.13744	0.6878	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.0098526	-0.0015354	0.057849	0.56762	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_prioritised	SET	101	-0.044739	-0.0033172	0.10086	0.67132	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_locus_pool	SET	455	-0.0098526	-0.0015354	0.057849	0.56762	slope_PC1_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC1	SCZ_prioritised_pc	SET	101	-0.044739	-0.0033172	0.10086	0.67132	slope_PC1_sets_condST12pool.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_EUR	slope_PC2	PGC3_EUR	COVAR	18261	-0.0028709	-0.0046202	0.0060814	0.63688	slope_PC2_on_PGC3_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_primary	slope_PC2	PGC3_primary	COVAR	18261	-0.0069749	-0.011295	0.0060047	0.24543	slope_PC2_on_PGC3_primary.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_EUR	slope_PC2	SCZ25_EUR	COVAR	18270	0.00084331	0.001351	0.0060488	0.88912	slope_PC2_on_SCZ25_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_META	slope_PC2	SCZ25_META	COVAR	18270	-0.0022448	-0.0035483	0.0060714	0.71159	slope_PC2_on_SCZ25_META.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_METAnaive	slope_PC2	SCZ25_METAnaive	COVAR	18270	-0.00081608	-0.0012748	0.0061932	0.89517	slope_PC2_on_SCZ25_METAnaive.gsa.out
gene-set marginal	gene sets	slope_PC2	PGC3_genesig	SET	704	0.085096	0.016379	0.050145	0.04486	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.039449	0.0083458	0.047007	0.20068	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ25_genesig	SET	777	0.09258	0.018682	0.044295	0.018314	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ25_genesig_new	SET	214	0.051145	0.0055028	0.062501	0.2066	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ25_locus_pool	SET	1103	0.026796	0.0063823	0.041766	0.26058	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ25_locus_pool_new	SET	302	-0.022776	-0.002904	0.062602	0.642	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.039494	0.0061545	0.051817	0.22298	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ_pool_not_prio	SET	354	0.051559	0.0071071	0.058157	0.18767	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ_prio_finemap	SET	61	-0.041545	-0.0023966	0.11356	0.64276	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ_prio_rare	SET	7	0.31529	0.0061703	0.38494	0.20638	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ_prio_smr	SET	44	0.059733	0.0029278	0.13556	0.32974	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ_prioritised	SET	101	-0.004366	-0.00032372	0.090347	0.51927	slope_PC2_sets.gsa.out
gene-set marginal	gene sets	slope_PC2	SCZ_prioritised_pc	SET	101	-0.004366	-0.00032372	0.090347	0.51927	slope_PC2_sets.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.0044546	0.0009424	0.052636	0.46628	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_genesig	SET	704	0.082958	0.015968	0.056155	0.06981	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	-0.0022248	-0.00047067	0.051798	0.51713	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ25_genesig	SET	777	0.093461	0.01886	0.048816	0.027785	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.034188	0.0072328	0.047616	0.23638	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ25_genesig_new	SET	214	0.043903	0.0047236	0.06331	0.24402	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.035517	0.0075139	0.064801	0.29182	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ25_locus_pool	SET	1103	0.0050757	0.0012089	0.057576	0.46488	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.037996	0.0080384	0.047315	0.21098	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ25_locus_pool_new	SET	302	-0.017025	-0.0021707	0.063011	0.60649	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.028529	0.0060355	0.055057	0.30217	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.023122	0.0036032	0.060691	0.35161	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.027397	0.0057961	0.051011	0.29561	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ_pool_not_prio	SET	354	0.038397	0.0052927	0.063111	0.27147	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.050111	0.010601	0.049626	0.15631	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ_prio_finemap	SET	61	-0.08035	-0.0046351	0.11989	0.74864	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.035292	0.0074663	0.047358	0.22808	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ_prio_rare	SET	7	0.28017	0.0054831	0.38781	0.23502	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.037968	0.0080325	0.047177	0.21047	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ_prio_smr	SET	44	0.05047	0.0024738	0.13605	0.35533	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.044241	0.0093594	0.049351	0.18501	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ_prioritised	SET	101	-0.030251	-0.002243	0.094849	0.62511	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.044241	0.0093594	0.049351	0.18501	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC2	SCZ_prioritised_pc	SET	101	-0.030251	-0.002243	0.094849	0.62511	slope_PC2_sets_condPGC3pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.01051	0.0016377	0.055178	0.42447	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	PGC3_genesig	SET	704	0.0816	0.015706	0.053402	0.063263	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.023122	0.0036032	0.060691	0.35161	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	PGC3_locus_pool	SET	858	0.028529	0.0060355	0.055057	0.30217	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.0043084	0.00067139	0.054871	0.46871	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ25_genesig	SET	777	0.091367	0.018437	0.046912	0.02574	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.035419	0.0055195	0.052108	0.24834	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ25_genesig_new	SET	214	0.046643	0.0050184	0.062852	0.22902	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.03086	0.0048091	0.057606	0.29608	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ25_locus_pool	SET	1103	0.01593	0.0037942	0.046432	0.36577	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.040311	0.0062818	0.05186	0.2185	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ25_locus_pool_new	SET	302	-0.024719	-0.0031518	0.062653	0.65341	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.0053355	0.00083144	0.091007	0.47662	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_pool_not_prio	SET	354	0.046636	0.0064285	0.10214	0.32399	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.060189	0.0093794	0.058014	0.14976	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_prio_finemap	SET	61	-0.10086	-0.0058181	0.12714	0.78619	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.034371	0.0053561	0.052301	0.25554	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_prio_rare	SET	7	0.28066	0.0054926	0.38853	0.23504	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.036178	0.0056377	0.053203	0.24826	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_prio_smr	SET	44	0.038287	0.0018767	0.13918	0.39163	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.051972	0.008099	0.058583	0.18751	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_prioritised	SET	101	-0.046636	-0.0034579	0.10214	0.67601	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_locus_pool	SET	455	0.051972	0.008099	0.058583	0.18751	slope_PC2_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	slope_PC2	SCZ_prioritised_pc	SET	101	-0.046636	-0.0034579	0.10214	0.67601	slope_PC2_sets_condST12pool.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_EUR	slope_PC3	PGC3_EUR	COVAR	18261	0.0036714	0.0059083	0.0060174	0.54179	slope_PC3_on_PGC3_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_primary	slope_PC3	PGC3_primary	COVAR	18261	-0.00048575	-0.00078664	0.0059418	0.93485	slope_PC3_on_PGC3_primary.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_EUR	slope_PC3	SCZ25_EUR	COVAR	18270	-6.768e-05	-0.00010842	0.0059843	0.99098	slope_PC3_on_SCZ25_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_META	slope_PC3	SCZ25_META	COVAR	18270	-0.0086138	-0.013616	0.0060063	0.15156	slope_PC3_on_SCZ25_META.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_METAnaive	slope_PC3	SCZ25_METAnaive	COVAR	18270	0.00029732	0.00046447	0.0061272	0.9613	slope_PC3_on_SCZ25_METAnaive.gsa.out
gene-set marginal	gene sets	slope_PC3	PGC3_genesig	SET	704	-0.093499	-0.017997	0.04961	0.97025	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.08805	-0.018628	0.046501	0.97084	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ25_genesig	SET	777	-0.062112	-0.012534	0.043827	0.92178	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ25_genesig_new	SET	214	0.0037653	0.00040512	0.061836	0.47572	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ25_locus_pool	SET	1103	-0.032654	-0.0077774	0.041321	0.78531	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ25_locus_pool_new	SET	302	0.11111	0.014166	0.061929	0.036408	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ_locus_pool	SET	455	-0.054892	-0.008554	0.051264	0.85785	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ_pool_not_prio	SET	354	-0.021159	-0.0029166	0.057538	0.64346	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ_prio_finemap	SET	61	-0.060466	-0.0034881	0.11235	0.70478	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ_prio_rare	SET	7	0.17162	0.0033586	0.38084	0.32613	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ_prio_smr	SET	44	-0.19721	-0.0096664	0.1341	0.92929	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ_prioritised	SET	101	-0.11581	-0.0085865	0.089379	0.90245	slope_PC3_sets.gsa.out
gene-set marginal	gene sets	slope_PC3	SCZ_prioritised_pc	SET	101	-0.11581	-0.0085865	0.089379	0.90245	slope_PC3_sets.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_locus_pool	SET	858	-0.060955	-0.012895	0.052072	0.87911	slope_PC3_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	slope_PC3	PGC3_genesig	SET	704	-0.064233	-0.012364	0.055553	0.8762	slope_PC3_sets_condPGC3pool.gsa.out
