readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.015946	0.016598	0.33674	4308	0.012985	0.016932	0.4432	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	0.0029954	0.015829	0.84992	4308	-4.4742e-05	0.016138	0.99779	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.013011	0.015647	0.4057	4308	-0.018169	0.015977	0.25554	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.039075	0.016303	0.13265	4308	-0.038786	0.016719	0.16322	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.029802	0.015599	0.056143	4308	-0.025949	0.016116	0.10746	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.024825	0.014906	0.095893	4308	-0.011435	0.015405	0.45797	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.005298	0.014732	0.71915	4308	0.0043105	0.015246	0.7774	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.0341	0.015263	0.20422	4308	-0.038863	0.015631	0.10358	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.017883	0.015298	0.24246	4308	0.01127	0.015702	0.47296	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	0.0088717	0.015326	0.56272	4308	0.0013579	0.015724	0.93119	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
