method	trait_arm	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	BIP_eur	BIPeur	1	slope_PC1	within_stratum	EURanchor	4308	3601	0.021730923739972	0.0157093770353891	0.16664872615683			8	1.0
CT	BIP_eur	BIPeur	1e-5	slope_PC1	within_stratum	EURanchor	4308	3601	0.0382394451064059	0.0150876905707823	0.0113002428526965			8	0.0904019428215722
CT	BIP_eur	BIPeur	5e-8	slope_PC1	within_stratum	EURanchor	4308	3601	0.0225886417037306	0.0150283964385318	0.13290194485037			8	1.0
CT	BIP_eur	BIPeur	0p001	slope_PC1	within_stratum	EURlike	5665	4676	0.0189977282367874	0.0132361830611755	0.151263829341884			8	1.0
CT	BIP_eur	BIPeur	0p01	slope_PC1	within_stratum	EURlike	5665	4676	0.0286016621240236	0.0133919720832212	0.0327467237636972			8	0.261973790109578
CT	BIP_eur	BIPeur	0p05	slope_PC1	within_stratum	EURlike	5665	4676	0.0289812098442321	0.0138112853552134	0.0359200099961154			8	0.287360079968923
CT	BIP_eur	BIPeur	0p1	slope_PC1	within_stratum	EURlike	5665	4676	0.0302753527862085	0.0138853926214596	0.0292739711183456			8	0.234191768946765
CT	BIP_eur	BIPeur	0p5	slope_PC1	within_stratum	EURlike	5665	4676	0.013394492084506	0.0139967479984642	0.338625723272666			8	1.0
CT	BIP_eur	BIPeur	1	slope_PC1	within_stratum	EURlike	5665	4676	0.0141289855755639	0.0140031345230332	0.313027291560107			8	1.0
CT	BIP_eur	BIPeur	1e-5	slope_PC1	within_stratum	EURlike	5665	4676	0.0280469217589222	0.0132175578295292	0.0338889532345337			8	0.27111162587627
CT	BIP_eur	BIPeur	5e-8	slope_PC1	within_stratum	EURlike	5665	4676	0.0121396117439529	0.0131510496172186	0.356001567992684			8	1.0
CT	BIP_eur	BIPeur	0p001	slope_PC1	within_stratum	cluster1	1623	1397	0.0295181287740954	0.0244149278867753	0.226836862541822			8	1.0
CT	BIP_eur	BIPeur	0p01	slope_PC1	within_stratum	cluster1	1623	1397	-0.0114884317237051	0.0244670800839931	0.638745156627594			8	1.0
CT	BIP_eur	BIPeur	0p05	slope_PC1	within_stratum	cluster1	1623	1397	-0.0071610759987798	0.0253691451613476	0.777770296384373			8	1.0
CT	BIP_eur	BIPeur	0p1	slope_PC1	within_stratum	cluster1	1623	1397	-0.0151959482318244	0.0255840475408967	0.552624094968738			8	1.0
CT	BIP_eur	BIPeur	0p5	slope_PC1	within_stratum	cluster1	1623	1397	-0.0106173389202729	0.0259104955687605	0.682030855253487			8	1.0
CT	BIP_eur	BIPeur	1	slope_PC1	within_stratum	cluster1	1623	1397	-0.0088611440239442	0.0259695762615622	0.732989431385452			8	1.0
CT	BIP_eur	BIPeur	1e-5	slope_PC1	within_stratum	cluster1	1623	1397	0.0161619534489448	0.0244705122387238	0.509053079947435			8	1.0
CT	BIP_eur	BIPeur	5e-8	slope_PC1	within_stratum	cluster1	1623	1397	0.0089053925498958	0.0244772616874885	0.716040334350091			8	1.0
CT	BIP_eur	BIPeur	0p001	slope_PC1	within_stratum	cluster2	928	824	-0.0026518578330441	0.0326947602648943	0.935372574591672			8	1.0
CT	BIP_eur	BIPeur	0p01	slope_PC1	within_stratum	cluster2	928	824	-0.0025142778723526	0.0331769294460713	0.939607590860326			8	1.0
CT	BIP_eur	BIPeur	0p05	slope_PC1	within_stratum	cluster2	928	824	0.013431020928358	0.0333126114104522	0.6869091718978			8	1.0
CT	BIP_eur	BIPeur	0p1	slope_PC1	within_stratum	cluster2	928	824	0.007814100360249	0.033384896231775	0.814990081730388			8	1.0
CT	BIP_eur	BIPeur	0p5	slope_PC1	within_stratum	cluster2	928	824	0.00220556756477	0.0340080126203776	0.948304148705915			8	1.0
CT	BIP_eur	BIPeur	1	slope_PC1	within_stratum	cluster2	928	824	0.0052979914767279	0.0339417098813148	0.875995852232605			8	1.0
CT	BIP_eur	BIPeur	1e-5	slope_PC1	within_stratum	cluster2	928	824	-2.34686807091705e-05	0.0328699023343103	0.999430476698112			8	1.0
CT	BIP_eur	BIPeur	5e-8	slope_PC1	within_stratum	cluster2	928	824	-0.0639685081551243	0.0336600339990756	0.0576912494595255			8	0.461529995676204
CT	BIP_eur	BIPeur	0p001	slope_PC1	within_stratum	cluster3	380	329	-0.0310262391813325	0.0516880419929379	0.548731467704776			8	1.0
CT	BIP_eur	BIPeur	0p01	slope_PC1	within_stratum	cluster3	380	329	-0.0055454274304495	0.0543456115718164	0.918782606660775			8	1.0
CT	BIP_eur	BIPeur	0p05	slope_PC1	within_stratum	cluster3	380	329	-0.0731459310108681	0.0563525933985117	0.195133273817289			8	1.0
CT	BIP_eur	BIPeur	0p1	slope_PC1	within_stratum	cluster3	380	329	-0.090006517645125	0.0593454085595834	0.130270384992413			8	1.0
CT	BIP_eur	BIPeur	0p5	slope_PC1	within_stratum	cluster3	380	329	-0.12230047246687	0.0631837469390265	0.053735317926563			8	0.429882543412504
CT	BIP_eur	BIPeur	1	slope_PC1	within_stratum	cluster3	380	329	-0.125144798570255	0.0634030183494959	0.0492108168043228			8	0.393686534434582
CT	BIP_eur	BIPeur	1e-5	slope_PC1	within_stratum	cluster3	380	329	0.0436652130609555	0.0512625288412975	0.394899096607569			8	1.0
CT	BIP_eur	BIPeur	5e-8	slope_PC1	within_stratum	cluster3	380	329	0.0547484257486173	0.0518612584255937	0.291815249966982			8	1.0
CT	BIP_eur	BIPeur	0p001	slope_PC2	heterogeneity_PRSxStratum	all	8596	7198			0.643827842494184	1.66908854673602	3.0	8	1.0
CT	BIP_eur	BIPeur	0p01	slope_PC2	heterogeneity_PRSxStratum	all	8596	7198			0.0214846145531989	9.6807105904918	3.0	8	0.171876916425591
CT	BIP_eur	BIPeur	0p05	slope_PC2	heterogeneity_PRSxStratum	all	8596	7198			0.239101364432791	4.2156331440965	3.0	8	1.0
CT	BIP_eur	BIPeur	0p1	slope_PC2	heterogeneity_PRSxStratum	all	8596	7198			0.0944847696021687	6.38077839371908	3.0	8	0.755878156817349
CT	BIP_eur	BIPeur	0p5	slope_PC2	heterogeneity_PRSxStratum	all	8596	7198			0.0895851030317941	6.50196343722564	3.0	8	0.716680824254353
CT	BIP_eur	BIPeur	1	slope_PC2	heterogeneity_PRSxStratum	all	8596	7198			0.0989143653463525	6.27630751066317	3.0	8	0.79131492277082
CT	BIP_eur	BIPeur	1e-5	slope_PC2	heterogeneity_PRSxStratum	all	8596	7198			0.92799951398115	0.458080703912856	3.0	8	1.0
