var,x,density
slope_um_per_yr,-26.7012888654813,0.00438968233751368
slope_um_per_yr,-26.5908722477007,0.00475548700691274
slope_um_per_yr,-26.4804556299202,0.00510728495725357
slope_um_per_yr,-26.3700390121396,0.00544127152769266
slope_um_per_yr,-26.2596223943591,0.00573687011116591
slope_um_per_yr,-26.1492057765786,0.00596964682118789
slope_um_per_yr,-26.038789158798,0.00613635774208827
slope_um_per_yr,-25.9283725410175,0.00627904659210432
slope_um_per_yr,-25.8179559232369,0.00648143530808632
slope_um_per_yr,-25.7075393054564,0.00682735302664411
slope_um_per_yr,-25.5971226876759,0.00737003476179276
slope_um_per_yr,-25.4867060698953,0.0081167984078524
slope_um_per_yr,-25.3762894521148,0.009039103706879
slope_um_per_yr,-25.2658728343342,0.0101031974858762
slope_um_per_yr,-25.1554562165537,0.0112900488902378
slope_um_per_yr,-25.0450395987731,0.0126050633078951
slope_um_per_yr,-24.9346229809926,0.0140597604086552
slope_um_per_yr,-24.8242063632121,0.0156504607865067
slope_um_per_yr,-24.7137897454315,0.0173608647697957
slope_um_per_yr,-24.603373127651,0.0191898596340141
slope_um_per_yr,-24.4929565098704,0.021188654308708
slope_um_per_yr,-24.3825398920899,0.0234302356680161
slope_um_per_yr,-24.2721232743093,0.0259604548365458
slope_um_per_yr,-24.1617066565288,0.0287332686965911
slope_um_per_yr,-24.0512900387483,0.0316029987027194
slope_um_per_yr,-23.9408734209677,0.0343879518332445
slope_um_per_yr,-23.8304568031872,0.0369703810053975
slope_um_per_yr,-23.7200401854066,0.0394061393850139
slope_um_per_yr,-23.6096235676261,0.0418955490529648
slope_um_per_yr,-23.4992069498455,0.0446762122760564
slope_um_per_yr,-23.388790332065,0.0479166776723754
slope_um_per_yr,-23.2783737142845,0.0516475924600499
slope_um_per_yr,-23.1679570965039,0.0557656672175503
slope_um_per_yr,-23.0575404787234,0.0600974476662883
slope_um_per_yr,-22.9471238609428,0.0644993898371551
slope_um_per_yr,-22.8367072431623,0.0689396462315172
slope_um_per_yr,-22.7262906253818,0.0734702091177645
slope_um_per_yr,-22.6158740076012,0.0781773200284995
slope_um_per_yr,-22.5054573898207,0.0831361984236909
slope_um_per_yr,-22.3950407720401,0.0884025003999312
slope_um_per_yr,-22.2846241542596,0.0939835401676907
slope_um_per_yr,-22.174207536479,0.099846579661176
slope_um_per_yr,-22.0637909186985,0.10591508286552
slope_um_per_yr,-21.953374300918,0.112067219847855
slope_um_per_yr,-21.8429576831374,0.118157135426824
slope_um_per_yr,-21.7325410653569,0.124046542054352
slope_um_per_yr,-21.6221244475763,0.129637066840088
slope_um_per_yr,-21.5117078297958,0.134918743555692
slope_um_per_yr,-21.4012912120152,0.139926358862933
slope_um_per_yr,-21.2908745942347,0.144744371700125
slope_um_per_yr,-21.1804579764542,0.149539555142884
slope_um_per_yr,-21.0700413586736,0.154595572754751
slope_um_per_yr,-20.9596247408931,0.160295972630851
slope_um_per_yr,-20.8492081231125,0.166852478055619
slope_um_per_yr,-20.738791505332,0.174097302180558
slope_um_per_yr,-20.6283748875514,0.18148026041421
slope_um_per_yr,-20.5179582697709,0.188257767716528
slope_um_per_yr,-20.4075416519904,0.193799655026438
slope_um_per_yr,-20.2971250342098,0.19780585827944
slope_um_per_yr,-20.1867084164293,0.200362207932929
slope_um_per_yr,-20.0762917986487,0.201833936318918
slope_um_per_yr,-19.9658751808682,0.202489290583993
slope_um_per_yr,-19.8554585630877,0.202438058406768
slope_um_per_yr,-19.7450419453071,0.201628371694262
slope_um_per_yr,-19.6346253275266,0.199904964366366
slope_um_per_yr,-19.524208709746,0.197035099523796
slope_um_per_yr,-19.4137920919655,0.192907505645442
slope_um_per_yr,-19.3033754741849,0.187553324906078
slope_um_per_yr,-19.1929588564044,0.181206693969901
slope_um_per_yr,-19.0825422386239,0.174303439382074
slope_um_per_yr,-18.9721256208433,0.167369523559195
slope_um_per_yr,-18.8617090030628,0.160858826808527
slope_um_per_yr,-18.7512923852822,0.154990383244693
slope_um_per_yr,-18.6408757675017,0.149647895829765
slope_um_per_yr,-18.5304591497211,0.144538451236952
slope_um_per_yr,-18.4200425319406,0.139313276789374
slope_um_per_yr,-18.3096259141601,0.133699017422066
slope_um_per_yr,-18.1992092963795,0.127588158234897
slope_um_per_yr,-18.088792678599,0.121057985799515
