kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prioritised_pc	100	0.093821	0.086139	0.13804
forward	ALZ	global_slope	1lmm	ALZ	17772	-0.0044428	0.0074203	0.54936
forward	ALZ_noAPOE	global_slope	1lmm	ALZ_noAPOE	17689	-0.0036311	0.0075145	0.62895
forward	ASD	global_slope	1lmm	ASD	17727	0.00073963	0.0075279	0.92173
forward	EA	global_slope	1lmm	EA	17848	0.0048783	0.0064754	0.45124
forward	MDD_EUR	global_slope	1lmm	MDD_EUR	17806	0.003894	0.0060719	0.52133
forward	MDD_div	global_slope	1lmm	MDD_div	17747	0.00097778	0.0060236	0.87105
forward	PGC3_EUR	global_slope	1lmm	PGC3_EUR	17852	0.013168	0.0059506	0.02692
forward	PGC3_primary	global_slope	1lmm	PGC3_primary	17852	0.014679	0.0058693	0.012394
forward	SCZ25_EUR	global_slope	1lmm	SCZ25_EUR	17882	0.0089003	0.0059207	0.1328
forward	SCZ25_META	global_slope	1lmm	SCZ25_META	17883	0.011653	0.0059311	0.049469
forward	SCZ25_METAnaive	global_slope	1lmm	SCZ25_METAnaive	17882	0.011689	0.0060608	0.053795
gene-set	MDD sets	global_slope	1lmm	MDD_hc_expression	56	-0.014613	0.11494	0.55058
gene-set	MDD sets	global_slope	1lmm	MDD_hc_finemap	159	0.072083	0.073783	0.1643
gene-set	MDD sets	global_slope	1lmm	MDD_hc_protein	10	0.0023134	0.23579	0.49609
gene-set	MDD sets	global_slope	1lmm	MDD_highconf	212	0.050737	0.062773	0.20948
gene-set	MDD sets	global_slope	1lmm	MDD_pool	1849	0.0054978	0.026215	0.41694
gene-set	MDD sets	global_slope	1lmm	MDD_pool_not_hc	1637	-0.0036292	0.027284	0.55291
gene-set	SCZ sets	global_slope	1lmm	PGC3_genesig	700	0.054977	0.048755	0.12975
gene-set	SCZ sets	global_slope	1lmm	PGC3_locus_pool	852	0.071809	0.046221	0.060151
gene-set	SCZ sets	global_slope	1lmm	SCZ25_genesig	775	0.052644	0.043173	0.11136
gene-set	SCZ sets	global_slope	1lmm	SCZ25_genesig_new	214	0.051966	0.062788	0.20394
gene-set	SCZ sets	global_slope	1lmm	SCZ25_locus_pool	1103	0.08493	0.03991	0.016676
gene-set	SCZ sets	global_slope	1lmm	SCZ25_locus_pool_new	302	0.070205	0.058752	0.11607
gene-set	SCZ sets	global_slope	1lmm	SCZ_locus_pool	451	0.05623	0.050754	0.13397
gene-set	SCZ sets	global_slope	1lmm	SCZ_pool_not_prio	351	0.063997	0.055816	0.12579
gene-set	SCZ sets	global_slope	1lmm	SCZ_prio_finemap	61	0.018567	0.11196	0.43415
gene-set	SCZ sets	global_slope	1lmm	SCZ_prio_rare	7	0.26506	0.34591	0.22177
gene-set	SCZ sets	global_slope	1lmm	SCZ_prio_smr	43	-0.035516	0.12702	0.61011
gene-set	SCZ sets	global_slope	1lmm	SCZ_prioritised	100	0.0095238	0.086042	0.45593
gene-set	SCZ sets	global_slope	1lmm	SCZ_prioritised_pc	100	0.0095238	0.086042	0.45593
forward	ALZ	global_slope	perregion	ALZ	17772	-0.0016484	0.0073667	0.82294
forward	ALZ_noAPOE	global_slope	perregion	ALZ_noAPOE	17689	0.00028677	0.0074609	0.96934
forward	ASD	global_slope	perregion	ASD	17727	0.0028344	0.0074719	0.70444
forward	EA	global_slope	perregion	EA	17848	0.012305	0.0064312	0.055722
forward	MDD_EUR	global_slope	perregion	MDD_EUR	17806	0.0080824	0.0060278	0.17999
forward	MDD_div	global_slope	perregion	MDD_div	17747	0.0067705	0.0059798	0.25756
forward	PGC3_EUR	global_slope	perregion	PGC3_EUR	17852	0.013477	0.0059076	0.02255
forward	PGC3_primary	global_slope	perregion	PGC3_primary	17852	0.013894	0.0058271	0.017124
forward	SCZ25_EUR	global_slope	perregion	SCZ25_EUR	17882	0.0081989	0.0058795	0.16319
forward	SCZ25_META	global_slope	perregion	SCZ25_META	17883	0.011925	0.0058896	0.042903
forward	SCZ25_METAnaive	global_slope	perregion	SCZ25_METAnaive	17882	0.013901	0.0060182	0.020909
gene-set	MDD sets	global_slope	perregion	MDD_hc_expression	56	-0.021853	0.11417	0.57589
gene-set	MDD sets	global_slope	perregion	MDD_hc_finemap	159	0.061539	0.07329	0.20056
gene-set	MDD sets	global_slope	perregion	MDD_hc_protein	10	0.057907	0.23421	0.40236
gene-set	MDD sets	global_slope	perregion	MDD_highconf	212	0.037483	0.062354	0.27388
gene-set	MDD sets	global_slope	perregion	MDD_pool	1849	0.012139	0.026039	0.32055
gene-set	MDD sets	global_slope	perregion	MDD_pool_not_hc	1637	0.006068	0.027101	0.41142
gene-set	SCZ sets	global_slope	perregion	PGC3_genesig	700	0.12494	0.048419	0.0049413
gene-set	SCZ sets	global_slope	perregion	PGC3_locus_pool	852	0.11996	0.045905	0.0044898
gene-set	SCZ sets	global_slope	perregion	SCZ25_genesig	775	0.11134	0.042876	0.004711
gene-set	SCZ sets	global_slope	perregion	SCZ25_genesig_new	214	0.067175	0.062367	0.14073
gene-set	SCZ sets	global_slope	perregion	SCZ25_locus_pool	1103	0.10471	0.03964	0.0041314
gene-set	SCZ sets	global_slope	perregion	SCZ25_locus_pool_new	302	0.048447	0.058361	0.20324
gene-set	SCZ sets	global_slope	perregion	SCZ_locus_pool	451	0.093384	0.050411	0.031992
gene-set	SCZ sets	global_slope	perregion	SCZ_pool_not_prio	351	0.060797	0.055443	0.13642
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_finemap	61	0.10919	0.11121	0.16311
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_rare	7	0.53158	0.34358	0.060919
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_smr	43	0.10232	0.12617	0.20871
gene-set	SCZ sets	global_slope	perregion	SCZ_prioritised	100	0.12389	0.085461	0.073582
gene-set	SCZ sets	global_slope	perregion	SCZ_prioritised_pc	100	0.12389	0.085461	0.073582
