sample	outcome	score	adjust	beta	se	p	n	y_sd_beta
>=3 scans	external	grad_slope	+global+CT	-0.013979	0.009343	0.13459	6387	-0.016184
>=3 scans	external	grad_slope	+global+CT+QC	-0.01356	0.0093896	0.14869	6387	-0.015699
>=3 scans	external	grad_fit	base	-0.026794	0.010495	0.010684	6387	-0.031019
>=3 scans	external	grad_fit	+global	-0.032287	0.010793	0.0027773	6387	-0.037379
>=3 scans	external	grad_fit	+global+CT	-0.033012	0.010813	0.0022663	6387	-0.038219
>=3 scans	external	grad_fit	+global+CT+QC	-0.035803	0.011027	0.0011667	6387	-0.04145
>=3 scans	external	pls2_beyond_grad	base	0.0056915	0.0084183	0.49899	6387	0.0065891
>=3 scans	external	pls2_beyond_grad	+global	0.0065078	0.0084224	0.43972	6387	0.0075342
>=3 scans	external	pls2_beyond_grad	+global+CT	0.0078278	0.0088467	0.37625	6387	0.0090624
>=3 scans	external	pls2_beyond_grad	+global+CT+QC	0.007754	0.0088471	0.38079	6387	0.0089769
>=3 scans	external	ct_grad_slope	base	-0.0051608	0.0093702	0.58179	6387	-0.0059748
>=3 scans	external	ct_grad_slope	+global	-0.0087387	0.0095903	0.36219	6387	-0.010117
>=3 scans	external	glob_thin	base	0.015436	0.0093856	0.10004	6387	0.017871
>=3 scans	depress	grad_slope	base	0.0039025	0.0076733	0.61105	6384	0.0055791
>=3 scans	depress	grad_slope	+global	-0.0014857	0.0079918	0.85252	6384	-0.0021239
>=3 scans	depress	grad_slope	+global+CT	-0.0035835	0.0081881	0.66164	6384	-0.0051231
>=3 scans	depress	grad_slope	+global+CT+QC	-0.0033636	0.00824	0.68312	6384	-0.0048087
>=3 scans	depress	grad_fit	base	-0.013203	0.0097722	0.17667	6384	-0.018875
>=3 scans	depress	grad_fit	+global	-0.018806	0.0098977	0.057424	6384	-0.026886
>=3 scans	depress	grad_fit	+global+CT	-0.019085	0.0098976	0.05382	6384	-0.027285
>=3 scans	depress	grad_fit	+global+CT+QC	-0.02053	0.010163	0.043378	6384	-0.02935
>=3 scans	depress	pls2_beyond_grad	base	-0.00038851	0.0073117	0.95762	6384	-0.00055543
>=3 scans	depress	pls2_beyond_grad	+global	0.00055324	0.0073075	0.93965	6384	0.00079093
>=3 scans	depress	pls2_beyond_grad	+global+CT	0.0051276	0.0077362	0.50746	6384	0.0073305
>=3 scans	depress	pls2_beyond_grad	+global+CT+QC	0.005095	0.0077355	0.51012	6384	0.007284
>=3 scans	depress	ct_grad_slope	base	-0.012569	0.0081405	0.12259	6384	-0.017969
>=3 scans	depress	ct_grad_slope	+global	-0.017108	0.0083587	0.040683	6384	-0.024458
>=3 scans	depress	glob_thin	base	0.018349	0.008475	0.030384	6384	0.026232
>=3 scans	anxdisord	grad_slope	base	-0.0043378	0.0067738	0.52193	6384	-0.006737
>=3 scans	anxdisord	grad_slope	+global	-0.010607	0.0069904	0.12917	6384	-0.016474
>=3 scans	anxdisord	grad_slope	+global+CT	-0.016493	0.0072401	0.022722	6384	-0.025616
>=3 scans	anxdisord	grad_slope	+global+CT+QC	-0.016559	0.0072887	0.023092	6384	-0.025718
>=3 scans	anxdisord	grad_fit	base	-0.0025982	0.0089284	0.77105	6384	-0.0040353
>=3 scans	anxdisord	grad_fit	+global	-0.0076141	0.0091304	0.40432	6384	-0.011826
>=3 scans	anxdisord	grad_fit	+global+CT	-0.0067396	0.0091211	0.45997	6384	-0.010467
>=3 scans	anxdisord	grad_fit	+global+CT+QC	-0.0073436	0.0093597	0.43269	6384	-0.011405
>=3 scans	anxdisord	pls2_beyond_grad	base	-0.0049708	0.0066501	0.45477	6384	-0.0077202
>=3 scans	anxdisord	pls2_beyond_grad	+global	-0.0040386	0.0066572	0.54409	6384	-0.0062723
>=3 scans	anxdisord	pls2_beyond_grad	+global+CT	0.0016602	0.0069993	0.8125	6384	0.0025785
>=3 scans	anxdisord	pls2_beyond_grad	+global+CT+QC	0.001643	0.0069994	0.81441	6384	0.0025518
>=3 scans	anxdisord	ct_grad_slope	base	-0.0066507	0.0073103	0.36295	6384	-0.010329
>=3 scans	anxdisord	ct_grad_slope	+global	-0.010982	0.0075019	0.14322	6384	-0.017056
>=3 scans	anxdisord	glob_thin	base	0.018499	0.0074319	0.012804	6384	0.028731
>=3 scans	anxdep	grad_slope	base	-0.0052971	0.0075049	0.4803	6384	-0.0073656
>=3 scans	anxdep	grad_slope	+global	-0.011564	0.0077744	0.13689	6384	-0.01608
>=3 scans	anxdep	grad_slope	+global+CT	-0.018931	0.0080069	0.018065	6384	-0.026323
>=3 scans	anxdep	grad_slope	+global+CT+QC	-0.019968	0.0080598	0.01323	6384	-0.027766
>=3 scans	anxdep	grad_fit	base	0.00066652	0.0095545	0.94438	6384	0.00092679
>=3 scans	anxdep	grad_fit	+global	-0.0041215	0.0097955	0.67394	6384	-0.0057309
>=3 scans	anxdep	grad_fit	+global+CT	-0.0031138	0.0097899	0.75044	6384	-0.0043297
>=3 scans	anxdep	grad_fit	+global+CT+QC	-0.0013723	0.010022	0.89109	6384	-0.0019081
>=3 scans	anxdep	pls2_beyond_grad	base	-0.0029017	0.007289	0.69056	6384	-0.0040347
>=3 scans	anxdep	pls2_beyond_grad	+global	-0.0019823	0.0073	0.78597	6384	-0.0027564
>=3 scans	anxdep	pls2_beyond_grad	+global+CT	0.0058519	0.0076822	0.4462	6384	0.0081371
>=3 scans	anxdep	pls2_beyond_grad	+global+CT+QC	0.005955	0.0076798	0.4381	6384	0.0082804
>=3 scans	anxdep	ct_grad_slope	base	-0.011255	0.0080654	0.16289	6384	-0.015649
>=3 scans	anxdep	ct_grad_slope	+global	-0.015712	0.0082596	0.057144	6384	-0.021847
>=3 scans	anxdep	glob_thin	base	0.018132	0.0081478	0.026053	6384	0.025213
>=3 scans	withdep	grad_slope	base	0.014938	0.0072987	0.04069	6388	0.022834
>=3 scans	withdep	grad_slope	+global	0.0098083	0.0076077	0.19731	6388	0.014993
>=3 scans	withdep	grad_slope	+global+CT	0.0097765	0.007808	0.21053	6388	0.014944
>=3 scans	withdep	grad_slope	+global+CT+QC	0.011757	0.0078378	0.13359	6388	0.017972
>=3 scans	withdep	grad_fit	base	-0.009871	0.009151	0.28073	6388	-0.015089
>=3 scans	withdep	grad_fit	+global	-0.015982	0.0093103	0.086058	6388	-0.02443
>=3 scans	withdep	grad_fit	+global+CT	-0.016092	0.00932	0.084233	6388	-0.024599
>=3 scans	withdep	grad_fit	+global+CT+QC	-0.021096	0.0095424	0.027054	6388	-0.032247
>=3 scans	withdep	pls2_beyond_grad	base	-0.0034685	0.0071525	0.62773	6388	-0.0053019
