label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_FFC,-0.6395,-0.4556,-0.8843,-0.1921,-0.4019,-0.1919,0.7509,-0.5376,-0.7993,0.2448,-0.2632,-0.6803,-0.6636,-0.2539,0.2681,-0.6315,-0.5349,-0.3475,-0.3411,-0.3675,-0.3582,-0.009714,0.977,18.35,mid
lh_A1,-1.347,2.513,1.438,0.5685,1.232,0.1838,2.047,1.11,-0.4088,-1.222,-2.157,1,-0.7175,0.001906,1.919,2.577,2.343,2.074,1.054,1.183,1.732,-1.392,-2.006,20.64,mid
lh_PSL,-0.9676,-1.573,-0.8672,0.6538,0.1017,-1.342,-0.7039,-1.116,-1.474,0.3631,0.4149,0.4182,0.7344,0.2123,-0.9904,-0.8886,-1.111,-0.6932,-1.156,-0.9254,-0.853,0.8103,1.438,18.71,mid
lh_SFL,0.391,-0.0426,0.2176,-0.5156,-0.976,-0.2083,-0.3357,0.4295,0.3634,-1.429,-0.2211,1.11,0.6583,-0.06214,-0.5481,-1.008,-1.326,-1.229,-1.601,-1.644,-1.377,-1.765,-0.7967,19.67,mid
lh_PCV,0.5663,0.2535,-0.6738,-0.367,-0.3334,0.007612,0.4853,0.6284,0.2784,-0.2732,-0.3354,-0.05261,-0.5626,-0.6541,0.4198,0.02887,0.0237,-0.05555,-0.1406,-0.05445,-0.1076,0.5074,0.318,23.9,fast
lh_STV,-0.431,-0.147,0.2846,0.5732,-0.002846,-0.6705,-0.6577,-0.426,-0.4584,0.0135,-0.2702,0.7132,1.454,0.6627,-0.407,0.339,0.4848,0.7076,0.2309,0.1428,0.2327,0.4821,1.218,20.36,mid
lh_7Pm,-1.772,-1.144,-0.9224,1.302,0.6372,-2.257,-0.646,-1.965,-2.063,0.05038,0.6996,1.761,1.334,0.1765,-1.144,1.845,1.542,1.192,0.7169,0.4482,0.8671,1.034,0.9955,28.98,fast
lh_7m,-0.7316,0.2331,-1.924,-1.243,-1.222,-1.046,0.4033,0.3075,-0.5418,-1.018,-0.366,-0.2793,-1.812,-1.826,-0.1455,-0.3722,-0.8264,-1.152,-1.263,-1.3,-1.239,0.1176,-0.26,27,fast
lh_POS1,-1.194,-1.066,-1.485,1.128,1.217,-0.6476,-0.3814,-1.541,-1.631,0.2197,0.008442,0.433,1.05,0.5451,-1.002,-0.2908,-0.1422,-0.1026,-0.046,-0.3519,0.0617,0.7166,0.9464,24.66,fast
lh_23d,0.8228,0.2117,-1.077,-0.04491,0.2793,-0.6003,-1.859,1.038,1.007,-0.005757,0.322,0.04384,0.656,0.385,-1.452,-0.3631,-0.2779,-0.3846,-0.2954,-0.6026,-0.3903,0.4916,0.2308,32.05,fast
lh_d23ab,1.902,0.9713,-0.4167,-0.8803,-0.3409,1.446,0.5578,2.766,1.919,-0.3834,-0.5497,-0.9215,-1.416,-0.9066,0.9318,0.7318,0.3511,0.4473,-0.3044,0.1384,0.1316,0.5656,-0.5312,31.49,fast
lh_31pv,-1.392,-1.409,-3.001,0.5079,0.2493,-2.66,-3.26,-1.234,-1.472,-0.4943,0.3455,0.7751,0.8879,-0.5685,-3.725,-2.149,-2.055,-2.141,-1.698,-2.256,-2.189,1.196,0.978,26.81,fast
lh_5mv,0.6987,0.9365,-0.6266,0.9277,1.593,0.5845,0.5716,1.458,0.4138,0.8768,0.3585,0.02369,-0.08306,0.271,0.5133,0.6516,0.6498,0.9586,0.08586,0.5638,0.7454,1.017,0.0007263,26.87,fast
lh_23c,0.2732,0.1198,-0.2149,-0.0607,0.326,-0.3078,-0.4787,0.6548,0.2769,-0.02062,0.06866,0.07077,0.5725,0.3627,-0.3644,-1.225,-1.049,-0.875,-0.7321,-0.6492,-0.4584,0.4681,-0.102,25.68,fast
lh_5L,0.3472,-1.203,-0.6899,-1.168,-1.225,-0.3604,0.1961,-0.7697,-0.2985,-1.427,-1.876,-0.06065,-0.7281,-0.7388,0.3347,-0.9262,-0.9232,-0.8565,-0.8845,-1.122,-1.082,-0.08016,-0.377,27.13,fast
lh_24dd,0.1023,2.376,0.08567,-0.2584,0.1289,0.3314,1.273,1.621,0.785,-0.8469,-0.8469,1.041,0.321,0.5536,1.22,0.8541,0.7912,0.7594,-0.02196,0.3882,0.482,-1.194,-1.227,18.13,slow
lh_24dv,0.6445,0.5017,-0.8765,-0.4069,-0.1629,0.5946,0.1008,0.3898,0.9296,-0.2949,-0.9755,-0.7518,0.2281,0.9622,0.1603,-0.9947,-0.9886,-0.8873,-0.5356,-0.3667,-0.569,-0.114,-1.022,20.62,mid
lh_7AL,0.242,-0.8605,0.1252,-1.011,-1.179,-0.8122,-0.4298,-0.4226,0.01515,-0.2805,0.07921,0.007573,-1.295,-1.597,0.1007,-0.4372,-0.2948,-0.2223,-0.4656,-0.5191,-0.4722,0.1358,0.2987,22.47,mid
lh_SCEF,-0.06366,0.8064,-0.3749,0.4033,0.3569,-0.5623,-0.2477,-0.3518,0.1742,-1.084,-0.4484,1.376,1.675,1.376,-0.6136,0.1871,-0.03554,-0.1892,0.05693,-0.2358,-0.1169,-1.293,-0.7075,16.91,slow
lh_6ma,-0.5566,-0.2111,0.6565,1.812,0.9739,0.4553,0.761,-0.5031,-1.128,-0.2894,-0.162,1.343,2.518,2.744,0.112,0.09908,0.265,0.5211,0.4525,0.6193,0.8477,-1.047,-0.1946,15.01,slow
lh_7Am,1.399,-0.6576,-0.1731,0.6291,0.2323,0.05478,0.8571,-0.08116,0.08483,-0.4381,-0.7073,0.7417,0.5808,-0.1977,1.219,1.202,1.297,1.569,1.03,1.27,1.484,-0.01681,0.002917,27.7,fast
lh_7PC,-0.2139,-0.734,0.07213,-0.9992,-1.692,-0.269,1.03,-0.8872,-0.5443,-1.744,-2.223,0.5786,-0.02027,-0.8243,1.093,0.2592,-0.02032,0.08291,-0.3054,-0.4013,-0.143,-0.7225,-0.6643,19.81,mid
lh_LIPv,-1.786,-2.363,-1.339,-0.9176,-1.443,-1.902,-0.581,-2.099,-2.02,-1.368,-0.3735,0.6953,-0.7237,-1.495,-1.482,-1.619,-1.694,-1.907,-2.039,-2.326,-2.335,-0.8554,0.2515,18.26,mid
lh_VIP,1.097,0.2945,0.6516,0.01399,0.04588,0.3481,1.296,0.8152,0.3577,-0.6667,-0.4657,0.6457,0.07004,-0.748,1.401,0.7214,0.5875,1.221,0.03385,0.6635,1.146,-0.1395,-0.2429,24.19,fast
lh_MIP,0.4854,0.2292,0.09974,-0.8363,-0.4215,0.25,0.7978,1.094,0.3054,-0.6786,-0.02704,0.41,-1.545,-2.027,0.8493,0.04537,-0.1238,0.01168,-0.4834,-0.1234,-0.1185,-0.1456,-0.282,21.31,mid
lh_1,-1.034,-0.09545,1.072,-0.06184,-0.1603,-1.181,0.6934,-0.5015,-0.9691,-1.66,-1.216,2.112,0.492,-0.9296,0.5993,1.145,1.032,1.017,-0.2156,-0.002023,0.3604,-1.488,-0.9438,16.33,slow
lh_2,0.5915,0.07445,-0.6419,0.4658,0.3291,-0.08417,-0.3359,0.8871,0.1767,0.2685,0.5338,0.7817,-0.03413,-1.057,-0.1747,-0.1752,-0.08141,0.2063,0.03554,0.08011,0.1362,-0.01246,0.5989,20.78,mid
lh_3a,-0.7148,1.907,0.836,-1.022,-0.577,-0.4623,2.055,1.216,0.09611,-1.821,-1.778,1.274,-1.42,-1.11,1.669,1.385,1.227,0.8895,-0.9973,-0.2026,0.3018,-2.434,-2.437,17.18,slow
lh_6d,0.2013,1.028,0.3037,-1.781,-1.989,0.1414,1.911,0.8732,-6.99e-05,-2.76,-2.115,1.194,0.003022,-0.4954,1.542,-0.5779,-1.04,-0.7212,-2.212,-1.419,-1.269,-2.807,-2.124,0.1359,slow
lh_6mp,-0.371,0.633,0.08098,-1.638,-2.173,-0.7742,0.2718,0.1637,-0.03124,-2.454,-1.857,1.256,0.5723,-0.008333,-0.03749,-1.148,-1.304,-1.312,-2.18,-1.817,-1.886,-2.33,-1.728,10.08,slow
lh_p24pr,-0.1636,-1.092,-1.324,-0.7444,-0.8549,-0.656,-0.9908,-0.9389,-0.207,-0.6662,-0.5041,-0.1822,0.9895,0.7719,-1.231,-1.813,-1.634,-1.699,-1.279,-1.347,-1.448,-0.02103,-0.631,28.77,fast
lh_33pr,2.203,0.07917,1.945,-3.198,-1.991,2.623,1.281,1.5,2.433,-1.387,-2.127,-2.221,-1.838,-0.6972,2.011,-1.243,-1.402,-1.474,-1.237,-1.034,-1.288,-1.945,-2.775,11.02,slow
lh_a24pr,1.525,0.06898,0.3491,-1.127,-0.4833,1.52,0.5183,0.5152,1.43,-0.4342,-1.26,-1.42,-0.09477,0.8808,0.795,-0.7074,-0.62,-0.7014,-0.3199,-0.1185,-0.2049,-0.6415,-1.901,27.18,fast
lh_p32pr,-0.1044,-0.2258,-1.69,1.181,1.294,-0.08761,-1.182,0.1219,-0.5043,0.01449,0.4983,0.5564,1.659,1.752,-1.932,-2.287,-2.112,-1.835,-0.4838,-0.6789,-1.189,0.6192,-0.03245,20.46,mid
lh_a24,1.677,-0.4274,-0.1222,-0.9935,-0.51,1.144,-1.832,-0.5688,1.527,0.7197,0.06313,-1.86,-0.4675,0.246,-0.6572,-0.9459,-0.8043,-0.8177,0.03881,-0.09143,-0.3286,1.083,-1.131,22.8,fast
lh_d32,1.348,0.8946,1.08,0.5986,1.219,2.013,0.1704,0.7933,1.302,1.211,1.409,-0.3782,0.3,0.7204,0.5941,0.405,0.8523,0.8987,1.388,1.452,1.349,0.7188,-0.2507,23.46,fast
lh_8BM,-0.618,0.218,-0.8474,0.7345,0.7927,-0.7281,-0.7511,-0.7289,-0.7608,-0.106,0.7259,0.9475,1.227,1.181,-1.073,-1.556,-1.196,-0.9695,-0.4602,-0.4738,-0.5723,0.5364,0.2752,24.13,fast
lh_p32,2.695,1.397,1.391,1.757,1.909,1.627,-0.6735,1.246,2.274,1.786,1.139,-0.008171,1.727,0.9556,0.872,2.05,2.731,2.852,3.031,3.18,3.098,1.265,-0.09866,26.11,fast
lh_10r,-0.4774,-1.473,-1.201,0.7998,0.7668,-0.492,-1.047,-1.706,-1.089,0.5822,0.2998,-0.1612,0.8841,0.8022,-1.215,-1.135,-0.9258,-0.9152,0.1816,-0.04684,-0.2449,2.101,1.099,31.45,fast
lh_8Av,0.3962,1.309,1.131,0.1437,-0.002737,0.09599,0.2896,0.8482,0.6232,-0.6859,0.6432,1.329,0.5117,-0.3653,0.4437,0.2599,0.3249,0.1052,0.2846,0.2111,0.3631,-0.949,-0.2918,19.74,mid
lh_8Ad,-0.3989,-0.4275,-0.7506,-0.5069,-0.6396,-0.2286,0.6237,-0.3688,-0.6555,-0.4904,1.02,0.4296,-0.3464,-0.4085,-0.1178,-0.9302,-0.9851,-1.086,-0.6376,-0.8324,-0.8762,-0.04746,0.3,15.15,slow
lh_9m,0.6298,0.3714,0.7509,0.4129,0.4388,0.7392,-0.04252,0.2037,0.5603,0.6403,1.148,-0.02915,0.5209,0.4091,0.2733,0.1535,0.1913,0.4445,0.4809,0.5625,0.6105,0.8398,0.3621,28.93,fast
lh_8BL,-1.095,-0.2357,0.3609,-1.423,-1.944,0.224,0.9379,-0.4126,-0.9573,-1.267,-0.18,-0.09426,-0.2948,-0.1403,0.5847,-0.9939,-0.983,-1.039,-1.016,-1.125,-1.195,-0.5971,-0.2629,25.4,fast
lh_9p,0.03006,0.5131,-0.6227,-0.795,-1.234,-0.7912,-0.6057,-0.2202,0.5323,-0.1694,1.178,0.2275,-0.6629,-0.9202,-0.474,-0.4865,-0.8291,-0.8411,-0.8498,-1.214,-1.013,0.04617,0.3456,19.38,mid
lh_8C,-0.3783,2.126,0.8939,0.3547,0.3007,-0.652,-0.9192,1.013,0.7846,-0.07209,1.283,1.332,0.4818,0.2668,-0.4186,0.663,0.8116,0.5143,0.6445,0.3442,0.2241,0.4736,0.3863,16.74,slow
lh_44,-1.632,2.792,2.152,0.3695,-0.231,-1.169,-1.714,1.528,0.5022,1.345,2.018,0.1385,-0.1408,0.553,-1.041,0.3285,0.1005,0.363,-0.01984,-0.3075,-0.5109,0.1494,0.5895,14.8,slow
lh_45,-1.016,0.3247,0.6812,0.8745,0.6382,-0.5528,0.2634,0.05973,-0.9025,0.04059,1.177,0.9945,1.234,1.056,-0.0008979,0.5944,0.6104,0.6407,0.6146,0.635,0.5276,0.4427,1.065,21.9,mid
lh_47l,-0.8127,0.0904,0.4519,0.6555,0.2634,-0.7159,-0.08182,-0.6034,-0.5654,-0.3115,0.4291,0.9282,1.222,1.227,-0.1393,0.7067,0.468,0.3805,0.7882,0.8357,0.4665,0.5117,0.7801,23.1,fast
