outcome	brain	adj_global	model	beta	se	p	n	n_cases	y_sd_beta	source
anxdep	global_thin	False	base	-0.0042863	0.0092203	0.64202	8715		-0.0054208	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	y3	0.0046543	0.009808	0.63511	8069		0.0058801	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	late	0.011565	0.0085978	0.17858	8185		0.015977	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	change	0.015125	0.0074288	0.041746	8184		0.020896	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	trajectory	0.002098	0.0014196	0.13944	8553		0.017428	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	base	-0.010164	0.0070612	0.15004	8715		-0.016556	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	y3	0.016518	0.0087251	0.058336	8070		0.023466	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	late	0.016182	0.0079178	0.04098	8190		0.024511	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	change	0.021576	0.0072056	0.0027511	8189		0.032681	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	trajectory	0.0047232	0.0013452	0.00044603	8552		0.042088	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	base	-0.0017523	0.0079375	0.82528	8715		-0.0026179	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	y3	0.001399	0.0083351	0.8667	8070		0.0021042	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	late	0.0023076	0.0076072	0.76163	8183		0.0036738	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	change	0.0031231	0.0066999	0.64112	8182		0.0049721	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	trajectory	-0.00037843	0.0012712	0.76594	8552		-0.0034376	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	base	-0.010924	0.0083496	0.19076	8715		-0.015437	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	y3	-0.00064032	0.0080644	0.93671	8068		-0.00097655	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	late	0.0052965	0.006846	0.43913	8182		0.009462	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	change	0.0098881	0.0058372	0.09027	8181		0.017665	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	trajectory	0.0017722	0.0011911	0.13679	8552		0.017375	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	base	0.0083	0.0080991	0.30545	8715		0.01211	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	y3	0.0085439	0.0083067	0.30369	8070		0.012673	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	late	0.0095429	0.0073488	0.19409	8184		0.01584	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	change	0.0077789	0.0065206	0.23288	8183		0.012912	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	trajectory	0.0012269	0.001261	0.33057	8553		0.011883	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	base	-0.0015722	0.010031	0.87545	8715		-0.0018258	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	y3	0.013421	0.010239	0.18995	8070		0.015801	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	late	0.0055698	0.0093896	0.55306	8189		0.0071115	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	change	0.0079746	0.0075248	0.28925	8188		0.010182	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	trajectory	0.0021914	0.001406	0.11909	8554		0.017991	7.0 p/mh_p_cbcl.tsv
rulebreak	global_thin	False	base	0.0065773	0.0074744	0.37887	8715		0.010328	7.0 p/mh_p_cbcl.tsv
rulebreak	global_thin	False	y3	-0.0018685	0.0077932	0.81052	8069		-0.0029055	7.0 p/mh_p_cbcl.tsv
rulebreak	global_thin	False	late	0.021153	0.0077578	0.0063978	8183		0.033803	7.0 p/mh_p_cbcl.tsv
rulebreak	global_thin	False	change	0.018905	0.0067643	0.0051933	8182		0.030211	7.0 p/mh_p_cbcl.tsv
rulebreak	global_thin	False	trajectory	0.0035472	0.0012558	0.0047318	8553		0.033456	7.0 p/mh_p_cbcl.tsv
aggressive	global_thin	False	base	0.011905	0.010558	0.2595	8715		0.01327	7.0 p/mh_p_cbcl.tsv
aggressive	global_thin	False	y3	0.0044758	0.010589	0.67253	8069		0.0051266	7.0 p/mh_p_cbcl.tsv
aggressive	global_thin	False	late	0.010133	0.0091133	0.26617	8193		0.013386	7.0 p/mh_p_cbcl.tsv
aggressive	global_thin	False	change	0.0054035	0.007472	0.46958	8192		0.0071381	7.0 p/mh_p_cbcl.tsv
aggressive	global_thin	False	trajectory	0.00031348	0.0014864	0.83297	8554		0.0024874	7.0 p/mh_p_cbcl.tsv
totprob	global_thin	False	base	-0.0014396	0.012042	0.90484	8715		-0.0014006	7.0 p/mh_p_cbcl.tsv
totprob	global_thin	False	y3	0.0070478	0.013399	0.5989	8069		0.0064669	7.0 p/mh_p_cbcl.tsv
totprob	global_thin	False	late	0.012426	0.012946	0.33712	8188		0.011588	7.0 p/mh_p_cbcl.tsv
totprob	global_thin	False	change	0.01681	0.010144	0.097505	8187		0.015675	7.0 p/mh_p_cbcl.tsv
totprob	global_thin	False	trajectory	0.002923	0.0018198	0.10822	8553		0.018648	7.0 p/mh_p_cbcl.tsv
internal	global_thin	False	base	-0.0052561	0.010644	0.62145	8715		-0.0058315	7.0 p/mh_p_cbcl.tsv
internal	global_thin	False	y3	0.0099628	0.011753	0.39661	8069		0.010598	7.0 p/mh_p_cbcl.tsv
internal	global_thin	False	late	0.014978	0.010763	0.16402	8190		0.016743	7.0 p/mh_p_cbcl.tsv
internal	global_thin	False	change	0.019694	0.0090707	0.029919	8189		0.022014	7.0 p/mh_p_cbcl.tsv
internal	global_thin	False	trajectory	0.0027869	0.0016703	0.095218	8554		0.019634	7.0 p/mh_p_cbcl.tsv
external	global_thin	False	base	0.012145	0.011349	0.28457	8715		0.012561	7.0 p/mh_p_cbcl.tsv
external	global_thin	False	y3	0.0012768	0.011618	0.91249	8069		0.0013277	7.0 p/mh_p_cbcl.tsv
external	global_thin	False	late	0.019119	0.010562	0.070252	8186		0.021929	7.0 p/mh_p_cbcl.tsv
external	global_thin	False	change	0.014183	0.0085497	0.09715	8185		0.016267	7.0 p/mh_p_cbcl.tsv
external	global_thin	False	trajectory	0.0018862	0.0016397	0.25002	8554		0.013463	7.0 p/mh_p_cbcl.tsv
depress	global_thin	False	base	0.0032123	0.0079669	0.6868	8715		0.0048294	7.0 p/mh_p_cbcl.tsv
depress	global_thin	False	y3	0.013	0.0092338	0.15916	8069		0.0175	7.0 p/mh_p_cbcl.tsv
depress	global_thin	False	late	0.021014	0.0086659	0.015311	8182		0.029754	7.0 p/mh_p_cbcl.tsv
depress	global_thin	False	change	0.02133	0.0077196	0.0057256	8181		0.030201	7.0 p/mh_p_cbcl.tsv
depress	global_thin	False	trajectory	0.003092	0.0014096	0.028268	8552		0.025998	7.0 p/mh_p_cbcl.tsv
anxdisord	global_thin	False	base	-0.0094549	0.0084244	0.26173	8715		-0.012926	7.0 p/mh_p_cbcl.tsv
anxdisord	global_thin	False	y3	0.0037425	0.0090345	0.67869	8069		0.0051771	7.0 p/mh_p_cbcl.tsv
anxdisord	global_thin	False	late	0.011252	0.0077946	0.14886	8186		0.017331	7.0 p/mh_p_cbcl.tsv
anxdisord	global_thin	False	change	0.016191	0.0067982	0.017236	8185		0.024937	7.0 p/mh_p_cbcl.tsv
anxdisord	global_thin	False	trajectory	0.0026476	0.0012959	0.041047	8553		0.024017	7.0 p/mh_p_cbcl.tsv
somaticpr	global_thin	False	base	0.00047896	0.0071637	0.94669	8715		0.00079093	7.0 p/mh_p_cbcl.tsv
somaticpr	global_thin	False	y3	-1.6682e-05	0.0073263	0.99818	8070		-2.8343e-05	7.0 p/mh_p_cbcl.tsv
somaticpr	global_thin	False	late	0.0009364	0.0066138	0.88741	8193		0.0017219	7.0 p/mh_p_cbcl.tsv
somaticpr	global_thin	False	change	0.00062558	0.0059118	0.91573	8192		0.0011503	7.0 p/mh_p_cbcl.tsv
somaticpr	global_thin	False	trajectory	-0.00056882	0.0011469	0.61991	8554		-0.0057288	7.0 p/mh_p_cbcl.tsv
adhd	global_thin	False	base	-0.0035778	0.0095005	0.70648	8715		-0.0043992	7.0 p/mh_p_cbcl.tsv
adhd	global_thin	False	y3	0.0062995	0.0094888	0.50676	8070		0.007968	7.0 p/mh_p_cbcl.tsv
adhd	global_thin	False	late	-0.0020347	0.0084889	0.81057	8192		-0.0028753	7.0 p/mh_p_cbcl.tsv
adhd	global_thin	False	change	0.0013353	0.0068341	0.8451	8191		0.0018869	7.0 p/mh_p_cbcl.tsv
adhd	global_thin	False	trajectory	0.0011951	0.0013047	0.35969	8554		0.010512	7.0 p/mh_p_cbcl.tsv
opposit	global_thin	False	base	0.016895	0.0082044	0.039466	8715		0.023959	7.0 p/mh_p_cbcl.tsv
opposit	global_thin	False	y3	0.0063426	0.0083123	0.44544	8069		0.009254	7.0 p/mh_p_cbcl.tsv
opposit	global_thin	False	late	0.010648	0.0071026	0.13385	8193		0.017922	7.0 p/mh_p_cbcl.tsv
opposit	global_thin	False	change	0.0033607	0.0059992	0.57534	8192		0.0056569	7.0 p/mh_p_cbcl.tsv
opposit	global_thin	False	trajectory	-0.00047153	0.0011914	0.69227	8554		-0.0046326	7.0 p/mh_p_cbcl.tsv
conduct	global_thin	False	base	0.01052	0.0080658	0.19212	8715		0.01531	7.0 p/mh_p_cbcl.tsv
conduct	global_thin	False	y3	-0.0017914	0.0080663	0.82425	8069		-0.0026676	7.0 p/mh_p_cbcl.tsv
conduct	global_thin	False	late	0.013567	0.0075135	0.070974	8187		0.022248	7.0 p/mh_p_cbcl.tsv
conduct	global_thin	False	change	0.0097429	0.0064789	0.13264	8186		0.015978	7.0 p/mh_p_cbcl.tsv
conduct	global_thin	False	trajectory	0.0015557	0.0012356	0.208	8554		0.014887	7.0 p/mh_p_cbcl.tsv
pfactor	global_thin	False	base	-0.0021081	0.027684	0.9393	8715		-0.00090695	7.0 p/mh_p_cbcl.tsv
pfactor	global_thin	False	y3	0.024372	0.029076	0.40191	8068		0.010431	7.0 p/mh_p_cbcl.tsv
pfactor	global_thin	False	late	0.046012	0.027306	0.091975	8163		0.020756	7.0 p/mh_p_cbcl.tsv
pfactor	global_thin	False	change	0.051428	0.021714	0.017864	8162		0.023199	7.0 p/mh_p_cbcl.tsv
pfactor	global_thin	False	trajectory	0.0079057	0.0039575	0.045753	8549		0.023927	7.0 p/mh_p_cbcl.tsv
totprob_clin	global_thin	False	clinical_logit	0.066587	0.047595	0.1618	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	global_thin	False	clinical_logit	0.009904	0.033983	0.77072	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	global_thin	False	clinical_logit	-0.0083291	0.060519	0.89053	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	global_thin	False	clinical_logit	0.059068	0.033478	0.077666	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	global_thin	False	ksads_logit	0.0063036	0.03629	0.8621	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	global_thin	False	ksads_logit	0.10826	0.040253	0.0071587	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	global_thin	False	ksads_logit	0.030581	0.055663	0.58273	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	False	base	0.002088	0.0085481	0.80702	8715		0.0026406	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	False	y3	-0.0072495	0.0087202	0.40578	8069		-0.0091589	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	False	late	-0.011815	0.0076875	0.12433	8185		-0.016322	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	False	change	-0.011658	0.0065756	0.076234	8184		-0.016106	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	False	trajectory	-0.0010363	0.0012284	0.3989	8553		-0.008608	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	False	base	0.0011045	0.0064346	0.86371	8715		0.0017992	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	False	y3	-0.0069291	0.0076612	0.36576	8070		-0.0098438	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	False	late	-0.0021527	0.007214	0.7654	8190		-0.0032607	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	False	change	-0.0025153	0.0065246	0.69986	8189		-0.0038099	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	False	trajectory	0.00062383	0.0012006	0.60336	8552		0.0055589	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	False	base	-0.0046488	0.0073672	0.52803	8715		-0.0069453	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	False	y3	-0.0063542	0.0073651	0.38828	8070		-0.009557	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	False	late	-0.016069	0.0067105	0.016638	8183		-0.025583	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	False	change	-0.014582	0.0059967	0.015031	8182		-0.023215	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	False	trajectory	-0.0011282	0.0011424	0.32338	8552		-0.010248	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	False	base	-0.0053987	0.0076142	0.47831	8715		-0.0076288	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	False	y3	-0.0092959	0.0073105	0.20352	8068		-0.014177	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	False	late	-0.010306	0.0061101	0.091656	8182		-0.018411	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	False	change	-0.0073497	0.0053285	0.1678	8181		-0.01313	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	False	trajectory	-0.0003706	0.0011011	0.73644	8552		-0.0036335	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	False	base	-0.0030505	0.0074362	0.68165	8715		-0.0044506	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	False	y3	-0.00060783	0.0074582	0.93505	8070		-0.00090157	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	False	late	-0.0059281	0.0066485	0.37259	8184		-0.0098398	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	False	change	-0.0038075	0.0056524	0.50056	8183		-0.0063199	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	False	trajectory	5.6655e-05	0.0010764	0.95802	8553		0.00054872	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	False	base	0.01228	0.0094547	0.19399	8715		0.014261	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	False	y3	0.0052082	0.0094775	0.58264	8070		0.0061316	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	False	late	0.00082103	0.0086163	0.92409	8189		0.0010483	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	False	change	-0.0058641	0.0069673	0.39998	8188		-0.0074873	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	False	trajectory	-0.0021276	0.0012959	0.10064	8554		-0.017467	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	False	base	-0.0014376	0.0068513	0.8338	8715		-0.0022574	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	False	y3	-0.0055779	0.0070259	0.42725	8069		-0.0086738	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	False	late	0.0023842	0.0068296	0.72702	8183		0.00381	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	False	change	0.0035107	0.0060192	0.55972	8182		0.0056102	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	False	trajectory	0.0012257	0.0011386	0.28171	8553		0.01156	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	False	base	0.005989	0.009615	0.53336	8715		0.0066759	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	False	y3	-0.0075045	0.0097007	0.43916	8069		-0.0085956	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	False	late	-0.0045921	0.0084349	0.58616	8193		-0.0060662	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	False	change	-0.0072946	0.0067666	0.28102	8192		-0.0096362	7.0 p/mh_p_cbcl.tsv
aggressive	pls2_proj	False	trajectory	-0.00040968	0.0013193	0.75617	8554		-0.0032507	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	False	base	0.0029199	0.011056	0.7917	8715		0.0028409	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	False	y3	-0.0144	0.012084	0.23339	8069		-0.013213	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	False	late	-0.015578	0.01177	0.18566	8188		-0.014527	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	False	change	-0.015985	0.0091983	0.082235	8187		-0.014906	7.0 p/mh_p_cbcl.tsv
totprob	pls2_proj	False	trajectory	-0.0012286	0.0016319	0.45152	8553		-0.0078383	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	False	base	0.0023092	0.0097562	0.8129	8715		0.002562	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	False	y3	-0.010892	0.010362	0.29316	8069		-0.011586	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	False	late	-0.014952	0.0095514	0.11747	8190		-0.016714	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	False	change	-0.015361	0.0080211	0.055485	8189		-0.017171	7.0 p/mh_p_cbcl.tsv
internal	pls2_proj	False	trajectory	-0.0010947	0.0014527	0.45109	8554		-0.0077125	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	False	base	0.0048386	0.010433	0.6428	8715		0.0050042	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	False	y3	-0.0075671	0.010635	0.47676	8069		-0.0078687	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	False	late	-0.0035593	0.0096501	0.71225	8186		-0.0040823	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	False	change	-0.0054781	0.0077432	0.47927	8185		-0.006283	7.0 p/mh_p_cbcl.tsv
external	pls2_proj	False	trajectory	2.8694e-05	0.0014914	0.98465	8554		0.00020481	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	False	base	0.00055046	0.0072205	0.93923	8715		0.00082756	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	False	y3	-0.013405	0.0082376	0.10367	8069		-0.018045	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	False	late	-0.0068974	0.0076213	0.36546	8182		-0.0097661	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	False	change	-0.0060733	0.0067167	0.36588	8181		-0.0085992	7.0 p/mh_p_cbcl.tsv
depress	pls2_proj	False	trajectory	-0.00023055	0.0012142	0.84941	8552		-0.0019386	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	False	base	-0.0021994	0.0078755	0.78004	8715		-0.0030068	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	False	y3	-0.0020214	0.0080179	0.80096	8069		-0.0027962	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	False	late	-0.010743	0.006927	0.12092	8186		-0.016547	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	False	change	-0.0087965	0.0059469	0.13909	8185		-0.013549	7.0 p/mh_p_cbcl.tsv
anxdisord	pls2_proj	False	trajectory	-0.00029871	0.0011307	0.79163	8553		-0.0027096	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	False	base	-0.008846	0.0066305	0.18216	8715		-0.014608	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	False	y3	-0.0059043	0.0065497	0.36734	8070		-0.010032	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	False	late	-0.011815	0.0058773	0.044406	8193		-0.021725	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	False	change	-0.008604	0.0053083	0.10505	8192		-0.015821	7.0 p/mh_p_cbcl.tsv
somaticpr	pls2_proj	False	trajectory	-0.00048359	0.0010402	0.64201	8554		-0.0048704	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	False	base	0.0084882	0.0088295	0.33638	8715		0.010437	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	False	y3	0.0054624	0.0088466	0.53693	8070		0.0069091	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	False	late	-0.00066067	0.007811	0.93259	8192		-0.00093362	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	False	change	-0.0050153	0.0063201	0.42745	8191		-0.0070874	7.0 p/mh_p_cbcl.tsv
adhd	pls2_proj	False	trajectory	-0.0014257	0.0011912	0.23138	8554		-0.012541	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	False	base	0.0086146	0.0075876	0.25623	8715		0.012216	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	False	y3	-0.0069472	0.0076614	0.36452	8069		-0.010136	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	False	late	4.4266e-06	0.0066337	0.99947	8193		7.451e-06	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	False	change	-0.0041388	0.0054972	0.45152	8192		-0.0069665	7.0 p/mh_p_cbcl.tsv
opposit	pls2_proj	False	trajectory	-0.00027697	0.0010726	0.79624	8554		-0.0027211	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	False	base	0.0026048	0.0073732	0.72388	8715		0.0037907	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	False	y3	-0.0017352	0.0073145	0.81248	8069		-0.0025839	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	False	late	-0.00088773	0.0067132	0.8948	8187		-0.0014558	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	False	change	-0.0016312	0.0057023	0.77483	8186		-0.0026751	7.0 p/mh_p_cbcl.tsv
conduct	pls2_proj	False	trajectory	-0.00020144	0.001108	0.85574	8554		-0.0019277	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	False	base	0.0017369	0.024953	0.94451	8715		0.00074727	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	False	y3	-0.021046	0.025565	0.41036	8068		-0.0090079	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	False	late	-0.028821	0.02405	0.23077	8163		-0.013001	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	False	change	-0.026049	0.018803	0.16594	8162		-0.011751	7.0 p/mh_p_cbcl.tsv
pfactor	pls2_proj	False	trajectory	-0.00097958	0.0034265	0.77497	8549		-0.0029648	7.0 p/mh_p_cbcl.tsv
totprob_clin	pls2_proj	False	clinical_logit	-0.0010294	0.040435	0.97969	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	pls2_proj	False	clinical_logit	-0.0087123	0.030528	0.77535	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	pls2_proj	False	clinical_logit	-0.014567	0.051737	0.77827	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	pls2_proj	False	clinical_logit	-0.015356	0.029717	0.60534	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	pls2_proj	False	ksads_logit	-0.024571	0.032568	0.45056	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	pls2_proj	False	ksads_logit	0.029689	0.0368	0.4198	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	pls2_proj	False	ksads_logit	-0.074907	0.049757	0.13221	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	True	base	0.002542	0.0085963	0.76745	8715		0.0032148	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	True	y3	-0.007763	0.0087753	0.37634	8069		-0.0098076	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	True	late	-0.013109	0.0077227	0.08961	8185		-0.01811	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	True	change	-0.013309	0.0065867	0.043322	8184		-0.018386	7.0 p/mh_p_cbcl.tsv
anxdep	pls2_proj	True	trajectory	-0.0012567	0.00123	0.30692	8553		-0.010439	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	True	base	0.0021377	0.0064695	0.74107	8715		0.0034821	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	True	y3	-0.0085609	0.007731	0.26814	8070		-0.012162	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	True	late	-0.0038028	0.0072578	0.6003	8190		-0.0057602	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	True	change	-0.0047131	0.0065549	0.47213	8189		-0.007139	7.0 p/mh_p_cbcl.tsv
withdep	pls2_proj	True	trajectory	0.00016052	0.0012006	0.89364	8552		0.0014304	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	True	base	-0.0045253	0.0073926	0.54045	8715		-0.0067607	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	True	y3	-0.0065509	0.0074259	0.37769	8070		-0.0098529	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	True	late	-0.01648	0.0067331	0.014384	8183		-0.026236	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	True	change	-0.015057	0.0060185	0.012357	8182		-0.023972	7.0 p/mh_p_cbcl.tsv
somatic	pls2_proj	True	trajectory	-0.0011031	0.0011476	0.33646	8552		-0.01002	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	True	base	-0.0043625	0.0076327	0.56762	8715		-0.0061646	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	True	y3	-0.0093297	0.0073698	0.20554	8068		-0.014229	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	True	late	-0.010957	0.0061504	0.074817	8182		-0.019575	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	True	change	-0.0084283	0.0053582	0.11573	8181		-0.015057	7.0 p/mh_p_cbcl.tsv
social	pls2_proj	True	trajectory	-0.00055125	0.0011031	0.61728	8552		-0.0054046	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	True	base	-0.0039184	0.0074602	0.59941	8715		-0.005717	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	True	y3	-0.0014217	0.0075195	0.85004	8070		-0.0021087	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	True	late	-0.0069474	0.0067	0.29977	8184		-0.011532	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	True	change	-0.0046277	0.0056867	0.41578	8183		-0.0076813	7.0 p/mh_p_cbcl.tsv
thought	pls2_proj	True	trajectory	-6.4888e-05	0.0010786	0.95203	8553		-0.00062846	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	True	base	0.012577	0.0095061	0.18582	8715		0.014606	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	True	y3	0.0039922	0.0095302	0.67529	8070		0.0047001	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	True	late	0.00027511	0.0086743	0.9747	8189		0.00035126	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	True	change	-0.0067263	0.0070039	0.33687	8188		-0.0085882	7.0 p/mh_p_cbcl.tsv
attention	pls2_proj	True	trajectory	-0.0023693	0.0013008	0.068549	8554		-0.019452	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	True	base	-0.0021144	0.0068842	0.75874	8715		-0.0033201	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	True	y3	-0.0054578	0.0070888	0.44135	8069		-0.0084871	7.0 p/mh_p_cbcl.tsv
rulebreak	pls2_proj	True	late	0.00030502	0.0068743	0.96461	8183		0.00048744	7.0 p/mh_p_cbcl.tsv
