label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_7m,2.77469,-0.0269963,50.7162,-2.04869,1.28124,-0.260952,association,Posterior_Cingulate
lh_8Ad,2.70439,-0.0151497,-12.7353,-2.91719,-0.0616636,0.30109,association,Dorsolateral_Prefrontal
lh_8Av,2.96934,-0.0197406,-15.9412,-18.9445,0.0939365,-0.292834,association,Dorsolateral_Prefrontal
lh_8BL,3.27516,-0.0253951,-25.3825,-13.2581,-0.393402,-0.263895,association,Dorsolateral_Prefrontal
lh_8BM,3.25042,-0.0241341,-27.6604,12.8693,-0.302781,0.276188,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_8C,2.68735,-0.0167436,-8.65554,11.4858,0.237464,0.387725,association,Dorsolateral_Prefrontal
lh_9-46d,2.50781,-0.0226716,-1.00312,7.99084,-0.205744,0.350561,association,Dorsolateral_Prefrontal
lh_9a,2.70912,-0.0232046,-12.2739,40.0135,-0.198649,1.47316,association,Dorsolateral_Prefrontal
lh_9m,3.09514,-0.0289288,-38.5967,21.5501,-0.895001,0.363464,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_9p,2.81494,-0.0193836,-29.2697,4.53185,-0.398069,0.346828,association,Dorsolateral_Prefrontal
lh_A1,2.68638,-0.0206392,92.5321,-33.5119,1.65139,-2.01302,auditory,Early_Auditory
lh_A4,3.11443,-0.0163167,-2.29231,14.7251,0.289165,1.33986,auditory,Auditory_Association
lh_A5,3.23819,-0.0203861,-10.0318,14.5275,-0.239209,1.06523,auditory,Auditory_Association
lh_AAIC,3.76303,-0.0157817,-164.999,-14.9679,,,auditory,Insular_and_Frontal_Opercular
lh_AIP,2.43562,-0.022248,22.4047,8.1811,0.867618,0.712809,association,Superior_Parietal
lh_AVI,2.98901,-0.0203092,-30.5523,5.45408,-0.733992,0.361394,auditory,Insular_and_Frontal_Opercular
lh_DVT,2.42599,-0.0249859,53.6713,-2.54764,1.16893,-0.46209,association,Posterior_Cingulate
lh_EC,2.44045,-0.00942134,-70.1979,-74.3018,-1.24921,-2.63237,association,Medial_Temporal
lh_FEF,2.71436,-0.00357333,-5.08624,-30.383,0.368128,-0.605317,sensorimotor,Premotor
lh_FFC,2.88755,-0.0183536,13.9504,1.41348,0.242502,0.980555,visual,Ventral_Stream_Visual
lh_FOP1,3.05089,-0.0169773,-37.4382,-6.90378,,,sensorimotor,Posterior_Opercular
lh_FOP2,2.77795,-0.0193248,-55.9849,-11.9203,,,auditory,Insular_and_Frontal_Opercular
lh_FOP3,2.67358,-0.0140493,-40.6266,-0.394497,-1.01572,-0.48484,auditory,Insular_and_Frontal_Opercular
lh_FOP4,2.943,-0.0155748,-48.5099,-7.94246,-0.94216,-0.0429287,auditory,Insular_and_Frontal_Opercular
lh_FOP5,2.64764,-0.0173669,,,,,auditory,Insular_and_Frontal_Opercular
lh_FST,2.56471,-0.0202854,38.6965,21.534,1.03204,1.0996,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_IFJa,2.66666,-0.0163824,6.99724,9.47822,,,association,Inferior_Frontal
lh_IFJp,2.62906,-0.0121112,-28.422,-18.2594,,,association,Inferior_Frontal
lh_IFSa,2.61544,-0.0231055,-7.67259,42.9698,-0.00776582,0.870521,association,Inferior_Frontal
lh_IFSp,2.64782,-0.0197344,9.81732,17.8416,0.512682,0.743701,association,Inferior_Frontal
lh_IP0,2.42674,-0.0223717,54.3335,20.7341,1.14751,0.675677,association,Inferior_Parietal
lh_IP1,2.49155,-0.0234181,35.4002,3.38312,1.18664,0.614343,association,Inferior_Parietal
lh_IP2,2.49221,-0.0225296,20.7467,3.63446,0.784298,0.694965,association,Inferior_Parietal
lh_IPS1,2.34606,-0.0246,75.2538,-32.3326,1.41622,-1.25222,visual,Dorsal_Stream_Visual
lh_Ig,2.88059,-0.0223589,-5.55726,38.9074,-0.105145,1.07906,auditory,Insular_and_Frontal_Opercular
lh_LBelt,2.62268,-0.0136122,19.5312,-54.5505,,,auditory,Early_Auditory
lh_LIPd,2.37171,-0.0218024,50.301,-10.0979,,,association,Superior_Parietal
lh_LIPv,2.33006,-0.0182607,27.2843,-11.7712,1.15483,0.252415,association,Superior_Parietal
lh_LO1,2.30932,-0.017035,101.191,-16.0157,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_LO2,2.72968,-0.019828,72.0236,-0.518285,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_LO3,2.53471,-0.02074,34.9994,14.6286,1.15882,0.92301,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_MBelt,2.75639,-0.0167452,53.5396,-13.8497,1.1301,-0.442279,auditory,Early_Auditory
lh_MI,3.28206,-0.0243944,-88.5148,28.3925,-1.80147,-0.582666,auditory,Insular_and_Frontal_Opercular
lh_MIP,2.35505,-0.0213063,51.1774,-2.19759,1.13342,-0.283009,association,Superior_Parietal
lh_MST,2.43535,-0.0162854,75.0111,-2.02674,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_MT,2.50736,-0.0168827,111.692,-76.1595,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_OFC,2.43133,-0.0220834,-56.4637,30.6265,-1.38138,0.591579,association,Orbital_and_Polar_Frontal
lh_OP1,2.87705,-0.0196157,-0.216716,-26.837,,,sensorimotor,Posterior_Opercular
