gene	PLS1	PLS2	C1	C3
SPRED1	-5.40379	1.30394	-0.727831	0.00207146
SPRN	-7.71205	5.88668	-0.630761	0.528191
SPRR2G	-11.4423	0.34527	-0.754111	0.261953
SPRTN	3.91535	0.248298	0.378761	-0.0258354
SPRY1	-7.95804	-0.324297	-0.571139	-0.0194013
SPRY4	0.264104	2.80778	0.114594	0.0860575
SPSB1	5.18515	-1.16596	0.514383	-0.44243
SPSB3	8.32445	4.19607	0.438866	0.323047
SPTB	8.7427	-0.561707	0.569288	-0.0831886
SPTBN4	14.7664	2.94885	0.737682	0.250392
SPTBN5	4.81206	1.11911	0.517352	-0.182588
SPTSSA	-2.60747	-1.22085	-0.555323	-0.422458
SPTSSB	18.9914	3.31362	0.911473	0.149244
SQLE	-13.8744	-3.0114	-0.770832	-0.0454888
SQOR	-6.41728	-4.73951	-0.580866	-0.222148
SRA1	9.20138	2.27244	0.781778	0.186731
SRARP	4.6577	-0.856906	0.600313	-0.00872705
SRD5A1	-7.2796	-2.74113	-0.46548	-0.198358
SRD5A3	-4.80103	-2.47189	-0.622205	0.000660421
SREBF1	-0.576758	-1.31414	-0.431679	-0.396353
SREK1	5.90025	1.86585	0.28094	-0.0592733
SREK1IP1	-4.19049	1.07417	-0.631723	0.0220751
SRFBP1	9.67891	-0.814409	0.762987	-0.078076
SRGAP1	-3.41663	-0.382222	-0.68514	-0.45777
SRGAP2	3.30544	-1.69441	0.439307	-0.292604
SRGN	-0.374642	-5.91347	0.0777646	-0.428138
SRI	-5.05272	1.11242	-0.521526	-0.03648
SRM	-12.2589	1.02605	-0.831004	0.0122484
SRP14-AS1	2.42711	-1.13064	0.218619	-0.317255
SRP9	-7.69845	-1.12357	-0.572105	-0.0705844
SRPK1	8.52297	1.88696	0.731671	0.313193
SRPRA	1.80688	-0.30957	0.519716	0.154426
SRPX	-1.11591	-2.17479	-0.117867	-0.54236
SRR	-9.84023	-0.173043	-0.625313	0.0315874
SRRD	-9.0221	0.939077	-0.749112	0.246762
SRRM1	5.06156	-0.109389	0.31413	-0.10801
