gene	PLS1	PLS2	C1	C3
GGT5	2.07297	-1.86402	0.488025	-0.217515
GGT6	2.61237	0.294861	0.151463	0.0173181
GGT7	3.55033	-1.41982	0.567599	0.0248687
GGTA1P	-11.8022	-2.45248	-0.679847	-0.376612
GGTLC1	5.76083	1.54092	0.511466	0.17632
GHDC	5.34372	2.99552	0.532453	0.248758
GHR	-4.75769	1.25678	-0.755686	0.0616269
GHRL	-3.88761	-2.57722	-0.412022	-0.133148
GHRLOS	6.38421	1.2025	0.726177	0.083943
GIGYF1	9.28799	0.67097	0.612789	-0.113794
GIGYF2	10.2625	2.91662	0.682803	-0.027427
GINS2	-3.67938	-0.783949	-0.489973	-0.0956307
GIPC1	1.78916	-0.898998	0.443242	-0.0564588
GIT2	9.14517	-3.04466	0.768976	-0.188556
GJA1	-5.64021	3.02315	-0.738611	-0.0506423
GJB1	3.28943	-4.00445	0.385508	-0.40786
GJB5	-2.69979	-2.29936	0.13785	0.429372
GJC1	7.00471	-0.0776369	0.684719	-0.125581
GJC2	2.99393	-3.74298	0.421416	-0.39715
GK	6.43076	2.99059	0.709789	0.175443
GK3P	6.84322	5.0093	0.63008	0.248399
GK5	2.50699	-4.36026	0.174452	-0.372561
GLA	2.8731	-0.633743	0.433606	-0.0237269
GLB1L3	8.11025	1.38837	0.706319	0.135026
GLCCI1	13.3513	2.03456	0.87886	0.164631
GLCE	-6.47453	2.05365	-0.42056	0.442045
GLDC	-5.60907	0.251784	-0.665064	-0.273583
GLDN	3.00144	-2.54765	0.311578	-0.381757
GLG1	-2.41651	-0.515496	-0.502335	-0.266596
GLI1	-3.55803	3.6303	-0.723161	-0.0961318
GLI3	-4.93923	1.18011	-0.65063	-0.241609
GLIPR1	9.55647	3.58097	0.792183	0.264351
GLIS1	8.68697	1.36263	0.594773	0.0998363
GLIS3	3.34592	6.49432	0.10148	0.375456
GLMN	8.10814	0.863537	0.687264	0.11848
GLO1	-10.5068	-1.8431	-0.620077	-0.00287062
GLOD4	-8.97245	2.64496	-0.87617	0.0646644
GLP2R	-7.59585	-0.0609993	-0.609559	0.0581709
GLRA2	-11.6565	-0.267396	-0.924725	0.0367228
GLRA3	-12.9147	10.0397	-0.834615	0.234276
GLRX	1.31121	-1.08493	0.598412	0.229154
GLRX2	6.08056	-0.923882	0.794191	-0.049475
GLRX3	0.754254	-5.22698	0.444076	-0.14405
GLS	9.51731	0.519039	0.557363	-0.0546274
GLS2	9.95362	-0.117405	0.867382	0.191569
GLT8D1	-0.38322	-0.0618897	-0.334282	-0.102075
GLT8D2	-8.76444	1.32997	-0.832798	0.203018
GLUD1	-4.47187	0.535909	-0.689651	-0.206731
GLUD2	-9.10747	1.0834	-0.789863	-0.119238
GM2A	7.01895	-2.63602	0.400429	-0.51807
GMFB	-17.0745	0.8166	-0.885286	0.13752
GMFG	-16.813	-3.38868	-0.824186	-0.177026
GMIP	-9.82396	-3.32905	-0.720033	-0.325787
GMNN	4.43494	0.784411	0.202316	-0.267096
GMPR	4.34899	-4.57763	0.564599	-0.46785
GMPR2	0.993987	-1.2689	0.41705	-0.0153032
GMPS	2.3341	-0.73869	0.393149	-0.0149947
GNA12	-5.45174	-0.547963	-0.630098	-0.304343
GNA14	0.938134	-0.95936	0.511566	-0.149607
GNA15	-1.19008	1.08558	0.0120353	0.235302
GNAI2	-8.93976	-0.983707	-0.642369	-0.205292
GNAL	0.70915	-4.83927	-0.0664091	-0.341854
GNAO1	-11.9765	-0.227656	-0.774675	0.158126
GNAQ	-7.47996	1.92682	-0.57723	0.245655
GNAS	6.91402	-0.451644	0.820415	0.0123688
GNAZ	-6.36599	3.26511	-0.611176	0.26165
GNB1L	-4.66275	3.50087	-0.41098	0.635695
GNB2	-17.9564	2.40296	-0.872043	0.163001
GNB3	7.60978	0.612557	0.637988	0.0800423
GNB4	-10.5611	-0.209019	-0.831855	-0.206999
GNG10	-7.09747	-0.0612785	-0.800897	-0.0440899
GNG11	2.16154	-0.526015	0.381305	-0.321293
GNG12	-4.68568	0.0547515	-0.682178	-0.21339
GNG13	1.22419	7.50781	0.242933	0.586288
GNG2	-9.56591	-1.79861	-0.891936	0.01701
GNG4	-12.3193	2.19342	-0.922264	-0.0365802
GNG7	3.64401	-3.8134	0.613073	-0.22602
GNL1	13.4921	1.65366	0.834156	0.114491
GNL2	2.8628	0.382502	0.429785	0.102453
GNLY	4.02331	-1.27	0.406492	-0.156414
GNPDA2	5.1779	1.22536	0.579191	0.306188
GNPTAB	-13.4434	1.36013	-0.873095	0.163651
GNRH1	8.20018	1.3612	0.751153	-0.22584
GOLGA1	4.40724	2.42617	0.340175	-0.247482
GOLGA2P7	8.98791	0.106814	0.627807	-0.0291422
GOLGA6L10	6.24403	2.51733	0.377671	-0.0810387
GOLGA6L17P	2.98981	1.24004	0.0769883	-0.271761
GOLGA7B	4.20682	-0.918867	0.586353	-0.0727634
GOLGA8A	5.96745	2.56567	0.29177	0.0975521
GOLGB1	-7.72196	1.73824	-0.663527	0.145142
GOLM1	-8.77073	3.22659	-0.878074	0.0196005
GOLPH3	10.1992	-0.158486	0.715428	0.00860421
GOLPH3L	-3.897	2.93313	-0.447371	0.152992
GOLT1A	-8.05993	1.14606	-0.859495	-0.079954
GON4L	6.8365	0.226227	0.558492	-0.0381508
GON7	3.17897	-1.95693	0.25644	-0.276206
GOPC	7.23629	5.85841	0.543011	0.344317
GOSR2	-9.52204	0.205002	-0.824502	0.113745
GOT1	0.868875	-0.68312	0.471228	0.219426
