gene	dCT + CT|DK	dCT alone|DK	CT + dCT + T1T2 + dT1T2|DK	dCT + CT|HCP	dCT alone|HCP
ANGPTL8	4.94342	5.71753	4.72395	5.12754	5.55722
ANK1	-0.66657	1.35133	-0.728107	-1.62064	0.242569
ANK3	1.1247	-0.818548	1.25375	1.59821	0.203145
ANKDD1A	-0.553851	-1.34301	0.441645	0.993791	0.774185
ANKFY1	-2.18822	0.0793093	-1.23222		
ANKH	0.0636294	1.62661	0.795664	-0.0766793	0.948816
ANKHD1	-0.52325	0.77983	-0.407794		
ANKLE2	3.81261	0.688844	3.03889	1.5776	0.271238
ANKMY2	1.73602	2.20267	1.36328		
ANKRA2	-0.383688	-1.54059	-1.05127	-0.801607	-1.00924
ANKRD10	-0.400452	-0.962292	-0.416398		
ANKRD12	2.80799	1.99162	2.61365		
ANKRD13A	-5.53583	-0.605429	-3.75098	-3.56712	-1.91735
ANKRD13C	2.39345	2.64551	3.84192		
ANKRD16	-1.93549	0.333832	-3.06713	-1.45149	-1.03762
ANKRD18A	-5.32754	-2.46356	-3.44065	-5.42111	-5.19868
ANKRD18B	-2.31972	-1.16407	-2.12203	-1.33035	-1.28543
ANKRD18CP	-5.14318	-2.60016	-4.68848	-1.93258	-1.61575
ANKRD18DP	-0.696296	0.701731	0.799233	0.902578	1.45085
ANKRD19P	-0.0161293	-1.69472	0.498782	0.0950654	-0.760045
ANKRD2	1.84811	2.22705	1.92245	-0.423244	-0.17903
ANKRD20A11P	-3.09919	-3.19283	-4.15388	-2.37492	-2.35811
ANKRD20A12P	-3.53858	-0.855903	-1.69232	-0.871437	-0.168891
ANKRD20A4-ANKRD20A20P	-3.5461	-0.321963	-1.92026	-1.00011	-0.0447662
ANKRD20A5P	-1.05768	-1.70596	-3.0003	-2.04102	-2.27406
ANKRD20A8P	-0.132657	1.62374	0.562399	1.75731	2.65053
ANKRD20A9P	-2.97823	-0.69181	-1.96159	-0.759062	0.0215149
ANKRD23	-1.125	0.711401	0.14761		
ANKRD24	5.84233	5.7395	4.7581	6.2347	7.15503
ANKRD26	-0.816129	0.866686	-1.60944	1.01396	1.69795
ANKRD27	2.65658	2.9263	5.8311	1.79964	1.86973
ANKRD28	5.79545	3.56144	6.46173	3.54163	3.42039
ANKRD29	-1.80246	0.621382	-3.49482	-3.30069	-1.12077
ANKRD30B	6.53678	2.44576	6.05529	5.53018	3.61413
ANKRD30BL	2.01501	0.115828	1.32221	3.73758	2.57081
ANKRD30BP2	1.95431	0.0199984	2.21468	1.75303	0.846709
ANKRD33B	1.64552	2.56564	0.776787	2.04996	2.56723
ANKRD34C	2.36642	2.90343	3.16891	2.78836	3.0516
ANKRD36B	-2.26234	-1.58385	-4.20746		
ANKRD36BP1	-1.54166	-0.51547	-2.31856		
ANKRD36BP2	-2.04988	-2.105	-3.39467	0.566625	0.720462
