label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_V1,1.83674,-0.00919467,125.004,-15.113,2.12011,-1.90591,visual,Primary_Visual
lh_V2,2.03186,-0.0197938,102.954,-15.5876,2.04986,-1.48774,visual,Early_Visual
lh_V3,2.2418,-0.019677,106.073,-4.75481,2.03484,-1.29937,visual,Early_Visual
lh_V3A,2.25424,-0.0196771,96.673,3.57447,1.92001,-0.46184,visual,Dorsal_Stream_Visual
lh_V3B,2.27406,-0.017952,90.3972,-43.4971,,,visual,Dorsal_Stream_Visual
lh_V3CD,2.43751,-0.0208039,78.2237,-23.9908,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_V4,2.34288,-0.0180068,74.221,-6.16835,1.62756,-0.480772,visual,Early_Visual
lh_V4t,2.69139,-0.0190505,70.5469,20.7203,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_V6,2.23104,-0.0193757,43.0949,34.6502,,,visual,Dorsal_Stream_Visual
lh_V6A,2.53049,-0.0232938,,,,,visual,Dorsal_Stream_Visual
lh_V7,2.42566,-0.0223922,87.23,7.54515,,,visual,Dorsal_Stream_Visual
lh_V8,2.61015,-0.0173912,52.6742,-10.9541,,,visual,Ventral_Stream_Visual
lh_VIP,2.60741,-0.0241941,39.7452,-0.904027,0.994613,-0.243781,association,Superior_Parietal
lh_VMV1,2.56741,-0.0192869,54.0632,3.245,1.25355,0.27371,visual,Ventral_Stream_Visual
lh_VMV2,2.44376,-0.0195622,49.8704,7.3065,,,visual,Ventral_Stream_Visual
lh_VMV3,2.62653,-0.0211122,31.5734,0.654876,0.790039,0.658477,visual,Ventral_Stream_Visual
lh_VVC,2.96972,-0.0207678,-11.5756,7.4671,-0.235584,1.32694,visual,Ventral_Stream_Visual
lh_a10p,2.46865,-0.0270605,-10.65,30.9091,,,association,Orbital_and_Polar_Frontal
lh_a24,2.95242,-0.022802,-78.166,21.9657,-1.78344,-1.13557,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_a24pr,3.06836,-0.0271829,-63.8465,-15.0333,-1.40209,-1.9079,association,Anterior_Cingulate_and_Medial_Prefrontal
