gene	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	U_ds25_thinning	rank_ds25	decile_ds25
RNF112	5.5804	5.7223		0.015621	284	10
TMEM121	5.9876	5.7212		0.0208	285.5	10
PAH	6.0119	5.7212	5.4466	0.016486	285.5	10
RPRM	5.7311	5.7114	5.5913	0.021804	287	10
GTF2H3	5.8709	5.7096		0.015215	288	10
SLITRK5	5.9075	5.697		0.02178	289	10
HTR1E	5.8888	5.6962	5.4523	0.023051	290	10
RAPH1	5.923	5.6957	5.4421	0.016629	291	10
KLHL26	6.1571	5.6952		0.019077	292	10
ATP6V1C1	5.9774	5.6935	5.2543	0.010113	293	10
KY	5.7317	5.6902	5.7003	0.017971	294	10
OSTF1	5.7109	5.688	5.6966	0.017492	295	10
OPN3	5.5483	5.6807	5.8972	0.012946	296	10
MCTP1	5.9718	5.6782	5.2562	0.014231	297	10
NDEL1	5.7603	5.6748	5.5801	0.021879	298	10
ZDHHC21	5.7906	5.672	5.5847	0.018039	299	10
ACTN2	5.9065	5.6663	5.3255	0.023488	300	10
FTCD	5.7605	5.665	5.479	0.02017	301	10
NAP1L5	5.7042	5.6612		0.020065	302	10
GSG1	5.6446	5.6503	5.8016	0.010647	303	10
TSNAXIP1	5.4646	5.6392	5.7576	0.014783	304	10
TTC33	5.4577	5.6355	5.7136	0.01243	305	10
SYT16	5.8836	5.6345	5.4574	0.02134	306	10
SYT5	5.7525	5.632	5.4903	0.018315	307	10
CD6	5.8194	5.6296	5.3843	0.015602	308	10
KCNE2	5.8444	5.6238		0.017888	309	10
RETREG1	5.7047	5.6116	5.4073	0.021111	310	10
PRKAR2B	5.6566	5.6054	5.5098	0.017722	311	10
LOC105377621	5.6289	5.6011		0.016818	312	10
MAP4	5.9416	5.5994	5.0783	0.015184	313	10
CNNM4	5.6212	5.5982	5.5407	0.020242	314	10
PNMA5	5.8238	5.5948		0.019242	315	10
PPID	5.9987	5.5938		0.01505	316	10
ASH2L	5.9185	5.5883	5.2129	0.012988	317	10
GULP1	5.8201	5.5882	5.5355	0.019266	318	10
