label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_3a,-1.02,1.045,-0.09521,-1.403,-1.116,-0.837,1.263,0.6688,-0.2785,-2.097,-1.744,0.8927,-1.418,-1.309,0.7112,-0.1867,-0.4934,-0.5897,-1.834,-1.329,-1.022,-2.171,-2.437,17.18,slow
lh_6d,0.2054,1.167,0.4972,-0.9798,-1.259,-0.05115,1.503,0.6501,-0.04998,-2.071,-1.495,1.25,0.3862,-0.2261,1.21,-0.2009,-0.5401,-0.1333,-1.408,-0.7297,-0.4727,-2.322,-2.124,0.1359,slow
lh_6mp,-0.4605,0.2491,-0.3458,-1.14,-1.78,-1.077,-0.01505,-0.4579,-0.2903,-2.166,-1.401,1.108,0.5767,0.006665,-0.4563,-1.423,-1.698,-1.644,-2.35,-2.121,-1.985,-1.91,-1.728,10.08,slow
lh_6v,-0.1966,0.3579,0.4408,-0.4541,-1.186,-0.5172,0.2562,-1.072,-0.1484,-0.9278,-0.8678,0.7941,0.7066,1.229,0.2273,-0.3593,-0.1387,-0.08118,-1.06,-0.7685,-0.5072,-1.303,,7.299,slow
lh_p24pr,0.105,-1.02,-1.144,-0.1163,-0.3027,-0.71,-0.8435,-0.7994,-0.1103,-0.1967,0.05259,-0.01328,1.073,1.005,-1.092,-1.119,-1.087,-1.178,-0.8922,-0.7946,-0.82,0.01971,-0.631,28.77,fast
lh_33pr,2.114,0.002363,1.744,-2.508,-1.613,2.237,0.9788,1.347,2.228,-1.29,-1.69,-1.928,-1.273,-0.4816,1.744,-1.081,-1.216,-1.256,-1.038,-0.8608,-1.004,-1.765,-2.775,11.02,slow
lh_a24pr,1.532,-0.1246,0.1126,-0.9481,-0.4521,1.514,0.4283,0.3786,1.372,-0.5185,-1.061,-1.276,-0.009193,0.8769,0.6887,-0.8214,-0.7505,-0.8253,-0.5607,-0.3966,-0.388,-0.8537,-1.901,27.18,fast
lh_p32pr,-0.3998,-1.014,-2.399,0.509,0.3878,-0.5681,-1.315,-0.5354,-0.768,-0.3747,0.1916,0.2241,1.006,1.405,-2.238,-3.028,-2.93,-2.687,-1.52,-1.91,-2.025,0.4202,-0.03245,20.46,mid
lh_a24,1.623,-0.2499,0.07551,-0.4786,-0.1429,1.144,-1.477,-0.2431,1.509,0.8452,0.2994,-1.533,0.001204,0.5128,-0.4406,-0.5459,-0.3708,-0.4097,0.1537,0.2511,0.1159,0.9742,-1.131,22.8,fast
lh_d32,1.166,0.6306,0.9266,0.3899,0.8866,1.718,-0.00446,0.6864,1.153,1.022,1.125,-0.4282,0.2319,0.5924,0.3778,0.3967,0.6604,0.7042,1.228,1.129,1.076,0.5761,-0.2507,23.46,fast
lh_8BM,-0.3372,0.3229,-0.4149,0.7364,0.7439,-0.524,-0.5923,-0.375,-0.4955,0.09602,0.7622,0.8463,1.166,1.148,-0.8321,-0.876,-0.5885,-0.3965,-0.2826,-0.1965,-0.04694,0.4863,0.2752,24.13,fast
lh_p32,1.932,0.6826,0.5892,1.096,1.031,0.7957,-0.9736,0.479,1.559,1.457,1.081,-0.2072,1.243,0.6925,0.07917,1.01,1.527,1.708,1.913,2.073,1.894,1.341,-0.09866,26.11,fast
lh_10r,-0.3678,-1.357,-0.8668,0.6274,0.6,-0.3472,-0.9637,-1.455,-0.8432,0.6324,0.3763,-0.2782,0.7305,0.7348,-1.085,-0.991,-0.7195,-0.7732,0.1044,-0.1823,-0.1528,1.944,1.099,31.45,fast
lh_47m,-0.1955,0.4348,-0.1599,0.9549,1.11,0.534,0.6734,0.7773,-0.1525,-0.1426,-0.03205,0.197,0.2472,1.02,0.3028,0.6081,0.4739,0.3316,0.2707,0.4461,0.3133,0.048,,24.96,fast
lh_8Av,0.2194,0.7952,0.7065,-0.3504,-0.5114,0.09307,0.03339,0.4677,0.4542,-1.062,0.2843,0.976,0.2043,-0.6122,0.01702,-0.673,-0.5557,-0.6962,-0.432,-0.532,-0.5674,-0.7159,-0.2918,19.74,mid
lh_8Ad,-0.1728,-0.319,-0.4193,-0.4048,-0.5482,0.06649,0.6041,0.0007469,-0.348,-0.4224,0.8463,0.3401,-0.2209,-0.3253,0.07493,-0.7976,-0.6949,-0.799,-0.6355,-0.6958,-0.649,-0.1102,0.3,15.15,slow
lh_9m,0.3893,0.1609,0.5058,0.2927,0.2272,0.4337,-0.227,-0.005099,0.3576,0.6,1.023,-0.1056,0.4242,0.292,-0.01424,0.01579,0.08561,0.2621,0.4579,0.4312,0.3757,0.8144,0.3621,28.93,fast
lh_8BL,-1.053,-0.3403,0.3966,-1.041,-1.584,-0.1185,0.6507,-0.1568,-0.8805,-1.069,-0.1368,-0.1023,-0.1624,-0.1221,0.4184,-0.8357,-0.7448,-0.9604,-0.883,-0.9856,-1.117,-0.501,-0.2629,25.4,fast
