gene	DK_PLS2_matchedX	DK_PLS1_dCTonly_matchedX
ATP5F1A	0.355025	1.37459
ATP5F1B	1.2975	1.86975
ATP5F1D	0.889639	1.1626
ATP5ME	-1.82788	-2.58207
ATP6AP1	3.65574	2.31982
ATP6V0A2	0.246066	1.81736
ATP6V0A4	-3.10265	-3.60979
ATP6V0D1	2.19525	1.30446
ATP6V0E1	-3.64047	-4.08394
ATP6V0E2	-0.261242	-1.27125
ATP6V0E2-AS1	-1.23388	-2.09297
ATP6V1A	2.7134	1.89532
ATP6V1C1	5.02492	0.281046
ATP6V1C2	1.42306	1.44425
ATP6V1E1	1.52713	-0.0148377
ATP6V1E2	-1.98551	-0.666519
ATP6V1H	0.541352	-1.27211
ATP7B	-1.14952	-2.17092
ATP8A1	1.32053	0.536435
ATP8A2	0.599282	-1.48104
ATP8B1	1.89929	2.22053
ATP8B2	-1.47904	0.884132
ATP9A	4.96427	1.25386
ATPAF1	-4.05057	-3.02082
ATPAF2	-4.66648	0.253321
ATRNL1	2.7629	2.8792
ATRX	1.18508	1.03171
ATXN1	4.42184	5.26449
ATXN10	-0.392464	-1.79116
ATXN2L	0.733534	2.05014
ATXN3	0.788478	1.94991
ATXN7	-0.595495	0.969563
ATXN7L2	0.812834	1.87633
ATXN7L3	3.24443	3.21406
AUNIP	-1.33065	-1.54321
AUTS2	-1.90141	-0.871759
AVEN	0.184853	0.0246261
AVIL	-0.772986	-0.371597
AVL9	4.05261	0.627828
AVPI1	4.2079	4.45323
AXIN2	1.81179	1.64898
AZGP1	-2.33212	-0.0859794
AZIN1	0.472147	-1.06889
AZIN1-AS1	0.693513	-0.924629
B2M	-6.27047	-4.18325
B3GALNT1	3.01509	-0.203026
B3GALNT2	-1.99206	0.527324
B3GALT2	1.29328	0.864334
B3GALT5-AS1	-1.29458	-2.22137
B3GALT6	3.36508	-0.787872
B3GAT1	0.591655	-0.835318
B3GAT2	-1.63579	-1.71178
B3GLCT	-2.78023	-1.37483
B3GNT2	2.69525	0.30911
B3GNT4	2.90764	0.0206109
B3GNT5	-3.94835	-3.72587
B3GNT9	-3.51121	-1.27794
B4GALT1	-2.50145	-2.89772
B4GALT2	2.89474	-0.178922
B4GALT3	3.18377	0.117665
B4GALT5	5.19404	0.802429
B4GALT6	-1.10495	0.891529
B4GAT1	4.51943	1.13253
B9D1	1.89869	-1.11901
BAALC	3.41537	0.996302
BAAT	3.38277	3.42071
BABAM2	3.55595	-0.266795
BACE1	0.36259	0.632929
BACE2	-3.01731	-1.11725
BACH2	0.720566	1.97451
BAD	4.33684	1.92666
BAG2	1.86179	0.00295434
BAG3	-4.18189	-4.55358
BAG5	5.28161	4.45264
BAHCC1	0.98534	1.98446
BAIAP2	2.75496	-0.357716
BAIAP2L2	4.1436	2.8469
BAIAP3	4.45425	0.156048
BAK1	0.256519	1.53975
BAMBI	-1.79889	-2.13706
BANK1	2.20102	0.596146
BARD1	-2.77868	-2.08713
BASP1-AS1	2.45229	2.98325
BATF3	5.07254	-0.576847
BAZ1B	2.76668	3.54524
BAZ2B	-0.362383	0.540553
BBC3	4.07197	2.24196
BBOX1	-1.05656	-1.72966
BBS10	4.07909	4.60142
BBS4	-2.03413	-2.7883
BBS7	-1.83807	1.05512
