gene	dCT + CT|DK	dCT alone|DK	NSPN PLS2	AHBA C3	AHBA C1	snRNAseq PC1	snRNAseq PC1 (U01)	dCT + CT|HCP	dCT alone|HCP
AC116334.1			-3.22861						
AC116655.15			-0.755254						
AC117392.3			3.0205						
AC117460.2			1.27825						
AC120024.1			3.18544						
AC120045.5			-4.86831						
AC120114.2			2.10193						
AC125232.1			-3.17164						
AC126544.1			-3.81222						
AC128683.1			-5.32233						
AC130416.1			-3.01756						
AC130416.2			-0.200682						
AC130454.1			-2.85303						
AC130686.2			1.33791						
AC131238.1			-1.08916						
AC132186.2			-0.149889						
AC132812.1			-1.32463						
AC133485.2			-7.0483						
AC134312.1			0.966396						
AC134982.1			1.82407						
AC135050.2			2.13698						
AC135178.1			-0.706373						
AC135457.2			3.2088						
AC135457.3			4.03368						
AC135592.2			-4.69335						
AC135731.1			-4.08288						
AC135983.8			-1.90199						
AC135995.5			-4.60872						
AC136443.1			-5.52477						
AC136604.1			-2.69311						
AC136632.1			4.03777						
AC138028.2			-2.75277						
AC138472.2			0.09508						
AC138894.3			4.68026						
AC138951.4			-2.37204						
AC139099.1			-6.00176						
AC139768.2			-2.01788						
AC140481.7			-4.89597						
AC141586.5			-1.80106						
AC144830.1			-2.4672						
AC145098.2			-7.09514						
AC147055.1			2.50455						
AC152006.2			3.62154						
AC174470.1			0.791611						
AC183087.2			-4.56475						
AC217771.1			-0.015308						
AC217773.2			-3.41884						
AC226150.1			-1.83073						
AC233723.1			-2.50164						
ACAA1	-1.16552	-2.03155	-3.07823			0.000970248	0.003196		
ACAA2	-1.17792	-2.10825	-3.55298			-0.000635364	-0.000305278		
ACACA	0.520657	0.576473	3.75617						
ACACB			-0.020097			-0.0144727	-0.00108542		
ACAD10			-3.45897			-0.000940682	0.00291998		
ACAD11			-1.90926			-6.60506e-06	1.02714e-05		
ACAD8			-1.67671			0.000827734	0.00215057		
ACAD9			-1.80684			0.00158545	0.00313393		
ACADL	1.21385	-0.829404	-0.002707	-0.0871907	-0.775234	0.000782979	0.00077791	1.07686	0.0781359
ACADM	-2.41838	-0.441764	-0.98328			0.00415702	0.00688565		
ACADS	1.35175	-0.243231	2.21077	-0.0637896	-0.468646	-0.000413454	0.000321936	2.5693	1.96858
ACADSB	-0.254562	1.42459	-5.57982	-0.211225	0.468628	0.000240708	0.00461781	0.926053	1.94319
ACADVL	0.0864878	-2.11292	-2.03944			0.000504564	0.00700142		
ACAN	-2.02379	0.229682	-2.4808	-0.26536	0.902666	5.72103e-05	0.000346929	-6.64969	-2.14817
ACAP1			-4.7155						
ACAP2	-0.875275	0.704473	-3.07144			0.00195552	0.0154459		
ACAP3	-0.640976	-1.09461	-2.7137	0.141286	-0.266916	0.00935825	0.0104533	0.71961	0.482519
ACAT1			0.72355			0.00322313	0.00330196		
ACAT2	2.11348	0.630501	3.55993	0.138622	-0.538292	0.0021563	-0.00470061	-0.99408	-2.28689
ACBD3			-1.33651			0.00226633	0.00438752		
ACBD4			-1.62591			0.000497132	0.00123462		
ACBD5	-7.23123	-2.49525	-5.77067			0.000386148	0.00318095		
ACBD6			1.26647						
ACBD7	-1.65351	-2.35537	-4.00575			-0.000619836	-2.54736e-05		
