gene,C1,C2,C3
AFAP1L2,0.1001345872446398,0.2293687989984058,0.1956058307657361
AFDN,-0.4127348928934305,0.0996674301437972,-0.5303562466500621
AFDN-DT,-0.2169314955901902,0.0866878142995272,-0.6194947820119312
AFF1,0.6241386087056491,-0.1830802284830951,-0.3819110386739143
AFF2,-0.492381626806,-0.1483406165872078,-0.0410934428281643
AFTPH,0.7376608553022935,-0.01230555846736,0.2026394437381925
AGA,-0.5570116429887106,0.2853920522017915,-0.3812250499325548
AGAP1,-0.1505973639876604,-0.7225233368532195,-0.0674327771504475
AGAP2,-0.7383329724572422,-0.1900976576713051,0.0545471017330744
AGAP3,-0.5555457470041651,0.0346507525327248,0.0999882575041358
AGFG2,-0.312469075702504,0.1179586426340528,-0.3092436736943879
AGK,0.2323856643798638,-0.2362758414279612,0.335367313503683
AGMAT,-0.0895216209765442,0.7662938384916084,0.0057062277668063
AGO1,0.9290306515096282,-0.1499448897324842,0.0244540117543247
AGO3,0.4677709352079554,-0.3372002898728173,-0.3583816147781529
AGO4,0.3033542838643435,-0.7097543244927176,0.1786495923052294
AGPAT2,-0.6042406083340964,0.2746418273538952,0.3531913465968374
AGPAT3,0.729551470652309,0.3145920499651063,0.0643141950762655
AHCY,-0.6216731766734385,0.1073658877687849,-0.0170413584039372
AHI1,0.8392570091339,-0.3580792968733917,0.1174301594992075
