gene,gene_original,PLS1_z,PLS2_z
BEND5,BEND5,-2.675581,7.129524
MUCL1,MUCL1,-2.790001,7.125627
KLHL17,KLHL17,6.204108,7.118271
TAF5,TAF5,0.06802,7.102306
CMAHP,CMAH,-1.097266,7.098448
PPP1R14C,PPP1R14C,-6.769247,7.097382
E2F1,E2F1,-0.212668,7.084589
KHDC1,KHDC1,-6.990094,7.067635
SH2D5,SH2D5,-13.311967,7.049174
LRRK1,LRRK1,-3.147613,7.041199
IGSF21,IGSF21,-3.231455,7.039799
TMEM115,TMEM115,-3.946214,7.039028
KIAA0232,KIAA0232,4.307676,7.038648
ATP6V0B,ATP6V0B,-6.577744,7.022176
CABYR,CABYR,-12.141985,7.020047
GTPBP2,GTPBP2,-0.132586,6.999081
RP11-364B6.1,RP11-364B6.1,2.847503,6.998023
MKRN2,MKRN2,1.435151,6.993525
ZNF57,ZNF57,2.103247,6.987568
GEMIN6,GEMIN6,-4.99492,6.986757
ALPL,ALPL,-10.288638,6.979246
OPRM1,OPRM1,-12.375279,6.978462
KBTBD8,KBTBD8,4.860447,6.970387
CPNE9,CPNE9,6.758644,6.967601
LRRC9,LRRC9,1.296847,6.9676
FIBP,FIBP,-5.647634,6.966129
KIAA1107,KIAA1107,10.734129,6.964756
ELL2,ELL2,7.008085,6.957341
SOHLH1,SOHLH1,9.564025,6.955983
ANKRD24,ANKRD24,4.987226,6.948601
ZNF627,ZNF627,-3.882646,6.944802
SLC25A10,SLC25A10,-2.608272,6.924661
MMP23A,MMP23A,-5.440268,6.92398
ADTRP,C6orf105,-12.628572,6.909633
SERINC3,SERINC3,-6.574502,6.902689
AP001816.1,AP001816.1,-11.161285,6.878952
ZNF365,ZNF365,8.011158,6.878841
TNFRSF18,TNFRSF18,-5.95821,6.873161
RDH12,RDH12,-4.324775,6.857316
AFAP1L1,AFAP1L1,0.900715,6.851144
PRR3,PRR3,0.250007,6.846416
RNF123,RNF123,-4.380976,6.842719
MYO5B,MYO5B,-3.477397,6.839828
FGFBP2,FGFBP2,-3.6067,6.834795
ADAMTS3,ADAMTS3,-15.068303,6.817549
PLCB1,PLCB1,13.648011,6.816164
IFIT1,IFIT1,-1.272764,6.812259
KCTD9P2,KCTD9P2,-6.637052,6.803678
LOC644242,LOC644242,-1.05013,6.802673
RIMS3,RIMS3,2.403662,6.801575
LOC100129781,LOC100129781,0.171205,6.800413
LOC100288263,LOC100288263,0.297706,6.796505
SENP2,SENP2,-6.177104,6.796069
CTD-2536I1.1,CTD-2536I1.1,-14.746819,6.792783
DEDD2,DEDD2,-7.447047,6.779888
POPDC3,POPDC3,-0.871147,6.774438
STAT4,STAT4,7.564516,6.756905
PLXNA1,PLXNA1,-13.598382,6.756288
C1orf74,C1orf74,-8.05553,6.755474
SLC39A3,SLC39A3,-9.550237,6.747586
METTL13,METTL13,-1.376358,6.738607
CALCB,CALCB,0.122131,6.735223
PTK2B,PTK2B,-2.907952,6.727741
KY,KY,0.595732,6.720152
HTR3B,HTR3B,-6.866562,6.709658
OCEL1,OCEL1,3.884703,6.704955
