method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	raw	BIPeur	0p001	slope_PC2	EUR	4308	3601	691	726	0.0012217213856899	0.0496270868102472	0.980366128714976	0.0282726966457842	0.0164143876854295	0.0850800018058612	0.0270509752600942	0.0522795699649072	0.517429184636603	0.604856591137622
CT	BIP_eur	raw	BIPeur	0p01	slope_PC2	EUR	4308	3601	691	726	0.0265255116687586	0.0504120397876308	0.598922009117955	0.0424698138386048	0.0165627986030705	0.0103837959992183	0.0159443021698462	0.0530768990754432	0.300400031795058	0.763872039434162
CT	BIP_eur	raw	BIPeur	0p05	slope_PC2	EUR	4308	3601	691	726	-0.0078999495991778	0.0531177226272338	0.881810234980592	0.0407074249569739	0.0167989201901051	0.0154349032402972	0.0486073745561517	0.0557318268651756	0.872165462541554	0.383118118007502
CT	BIP_eur	raw	BIPeur	0p1	slope_PC2	EUR	4308	3601	691	726	-0.0182601866781883	0.0534539318346454	0.732742849945169	0.0444956833333032	0.0168578411251427	0.0083406070018699	0.0627558700114915	0.0560671302556869	1.11929877140673	0.26301269979098
CT	BIP_eur	raw	BIPeur	0p5	slope_PC2	EUR	4308	3601	691	726	-0.0304187219341863	0.0543323158830506	0.575738787117273	0.0346303895670285	0.017010013769868	0.0418378556215313	0.0650491115012148	0.056953042689532	1.14215340268679	0.253390260994073
CT	BIP_eur	raw	BIPeur	1	slope_PC2	EUR	4308	3601	691	726	-0.0443708304331388	0.054400628314978	0.414969647649259	0.0356854657925369	0.0170133445553107	0.0360214285017828	0.0800562962256757	0.0570171817641912	1.40407318896905	0.16029705645408
CT	BIP_eur	raw	BIPeur	1e-5	slope_PC2	EUR	4308	3601	691	726	0.0539366464476447	0.0499859590830465	0.280917062075911	0.0210643542711319	0.0164220513060702	0.199688967241765	-0.0328722921765128	0.0526017263441829	-0.624928010183987	0.532018307655814
CT	BIP_eur	raw	BIPeur	5e-8	slope_PC2	EUR	4308	3601	691	726	0.0461049153042452	0.0486161433923574	0.343257520455656	0.0033672872162936	0.0163825793568182	0.837161753983221	-0.0427376280879516	0.0512967301953305	-0.833145269205521	0.404762805257943
CT	BIP_eur	raw	BIPeur	0p001	slope_PC2	full	8596	7198	1350	1449	-0.016766334373879	0.0347014822384549	0.629048345761578	0.0147346521248411	0.0116887898566699	0.207501987281216	0.0315009864987202	0.0366232460579271	0.860136385750595	0.38971386610969
CT	BIP_eur	raw	BIPeur	0p01	slope_PC2	full	8596	7198	1350	1449	-0.0252043285450868	0.0357579025793413	0.480998879427693	0.0178507302212509	0.0118736939917432	0.132784625271276	0.0430550587663377	0.0376867085811955	1.14244677731875	0.253268356939145
