method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	prscs	4308	3601	1052950	-0.0128790944998973	0.0156966546507621	0.411979209709643	0.411979209709643
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	prscs	4308	3601	1052950	0.0092511094201179	0.0146993594574537	0.529151783408187	0.529151783408187
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	prscs	4308	3601	1052950	0.0044475051969529	0.0153952977989457	0.772682752067844	0.772682752067844
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	prscs	8596	7198	1052950	-0.010193925876684	0.0111384856507188	0.360114679770236	0.360114679770236
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	prscs	8596	7198	1052950	0.0039847887028318	0.0109843513696744	0.716786577772148	0.716786577772148
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	prscs	8596	7198	1052950	0.0023567494423654	0.0110427298216321	0.831003979952149	0.831003979952149
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	prscs	8596	7198	1052950	-0.0013473961572068	0.0105084680679806	0.897978005400815	0.897978005400815
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	prscs	8596	7198	1052950	-3.427576870508e-05	0.0108780413054442	0.99748601262583	0.99748601262583
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC3	prscs	8596	7198	1084421	0.0150356929642343	0.0128952255221811	0.243652593517353	0.243652593517353
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	global_slope	prscs	8596	7198	1084421	0.0139457807012999	0.0122714310035328	0.255804466905409	0.255804466905409
