method	trait	arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	baseline_thickness	full	8082	6789	1250	1339	0.0204829040409884	0.0448137324111995	0.647694967368899	-0.016692555049853	0.0192317277823408	0.385441234161072	-0.0371754590908413	0.0481808616488266	-0.771581449949987	0.440362364492913
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	global_slope	EUR	4116	3447	655	686	-0.0358895398569858	0.0509719917110242	0.481563976695317	-0.0197723167940567	0.016201817147237	0.222407560010772	0.0161172230629291	0.0531734746387986	0.303106448702319	0.761808739839094
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	global_slope	full	8082	6789	1250	1339	-0.0305669424983627	0.0553221579516145	0.580664846089723	-0.0242123911463533	0.0181684264034008	0.182688027069093	0.00635455135200945	0.0577922819641347	0.109955017106835	0.912445049673609
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	slope_PC1	EUR	4116	3447	655	686	0.0320900934898262	0.0546142777127954	0.556984432952931	0.0164320631782252	0.016740218854006	0.3263736971061	-0.015658030311601	0.0568098417998844	-0.275621790441825	0.782838571366117
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	slope_PC1	full	8082	6789	1250	1339	0.0179503687370644	0.057906168712662	0.756609269140231	0.044542774150391	0.0187415778617943	0.0174975917560026	0.0265924054133266	0.0604188980176973	0.440133903229043	0.659840128118179
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	slope_PC2	EUR	4116	3447	655	686	0.0379216916629423	0.0531001067204338	0.475333161467109	0.00154228844823441	0.0172298048997629	0.928679657682408	-0.0363794032147079	0.0554886983148027	-0.655618248752522	0.51206978092436
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	slope_PC2	full	8082	6789	1250	1339	0.0131852843415315	0.0573594553215292	0.818220686595892	0.0216965947328559	0.0191962445503341	0.258410307172456	0.00851131039132442	0.0600167893949523	0.141815489917564	0.887225748548646
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0122612438479233	0.0515597131048856	0.812104233579121	-0.00214937110214902	0.0171949837216943	0.900531357976309	0.0101118727457743	0.0540078431430144	0.187229708822064	0.851480532418562
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	slope_PC3	full	8082	6789	1250	1339	0.030466652152543	0.0567399615704347	0.591378937783313	-0.0352083028965361	0.0188759210005025	0.0621906659613119	-0.0656749550490791	0.0593381005543019	-1.10679233806917	0.268383721643462
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	baseline_thickness	EUR	4116	3447	655	686	0.043345815910348	0.0396450946779217	0.27461002191677	-0.00711695312917669	0.0176867699939953	0.687422823727341	-0.0504627690395247	0.0429772779290485	-1.17417322527578	0.240325648176411
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	baseline_thickness	full	8082	6789	1250	1339	-0.000816553010120967	0.0303311346488034	0.978526453626836	0.00212833746246777	0.0120268809884669	0.85954112984334	0.00294489047258874	0.0325937882852979	0.0903512794159336	0.928008071665656
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	global_slope	EUR	4116	3447	655	686	-0.0358895291761508	0.0509719913654229	0.481564104141836	-0.0197723189914287	0.0162018171546475	0.222407508839174	0.0161172101847221	0.0531734742853752	0.303106208524633	0.761808922869251
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	global_slope	full	8082	6789	1250	1339	-0.0121967864210324	0.037456291544927	0.744748991339651	-0.0151562766835744	0.0113493516000079	0.181781030552684	-0.00295949026254201	0.0391125886193945	-0.0756659266749352	0.939684884825377
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	slope_PC1	EUR	4116	3447	655	686	0.0320900564573041	0.0546142773646619	0.55698488546019	0.016432062684292	0.0167402188625459	0.326373711892484	-0.015657993773012	0.0568098414431301	-0.275621148999097	0.782839064088033
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	slope_PC1	full	8082	6789	1250	1339	0.00828417397508931	0.039198184803008	0.832648885189961	0.0253986147857259	0.01170861603536	0.0301013782542643	0.0171144408106365	0.0408837221693849	0.41861258962014	0.675499287175995
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	slope_PC2	EUR	4116	3447	655	686	0.0379216619782193	0.0531001063811396	0.475333504106018	0.00154228996112005	0.0172298049080364	0.928679587942617	-0.0363793720170992	0.0554886979663316	-0.655617690636259	0.51207014011687
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	slope_PC2	full	8082	6789	1250	1339	0.0140111023396194	0.038827928527949	0.718257499869241	0.0142199103255865	0.0119917262335119	0.235739226447162	0.000208807985967091	0.0406101703600026	0.00514176582161665	0.995897482512569
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0122612285287575	0.0515597127598018	0.812104462703017	-0.00214936930445386	0.0171949837293726	0.900531440781703	0.0101118592243037	0.054007842789233	0.18722945968728	0.851480727745594
PRSCS	SCZ	pooled	zanc	SCZpooled	prscs	slope_PC3	full	8082	6789	1250	1339	0.0133299401984775	0.0384194307466276	0.728670634379076	-0.0129924604353283	0.0117932411175701	0.270637911880254	-0.0263224006338058	0.0401619745723132	-0.655406038027618	0.512206364995061
PRSCS	SCZ	EUR	raw	SCZeur	prscs	baseline_thickness	EUR	4116	3447	655	686	0.0347856180203195	0.0411911047232795	0.398675016716612	0.00563641636323649	0.0179185490247472	0.753116389639959	-0.029149201657083	0.0443789521265864	-0.656824919478448	0.511293499116082
PRSCS	SCZ	EUR	raw	SCZeur	prscs	baseline_thickness	full	8082	6789	1250	1339	0.0338217262931407	0.0641750269733036	0.598261900189696	-0.0151337390008104	0.0287188334138222	0.598236395825686	-0.0489554652939511	0.0682251657034421	-0.7175572941332	0.473030297557881
PRSCS	SCZ	EUR	raw	SCZeur	prscs	global_slope	EUR	4116	3447	655	686	-0.0580747629894261	0.0528900957457271	0.272507226447613	-0.0238055098128681	0.0164058751323205	0.146863549532134	0.034269253176558	0.0549885461072175	0.623207114982442	0.533148426763417
PRSCS	SCZ	EUR	raw	SCZeur	prscs	global_slope	full	8082	6789	1250	1339	-0.0965559274572738	0.0791167032806011	0.222482438006722	-0.0391648000428517	0.0272036679154745	0.15000211201933	0.0573911274144222	0.0820976944703637	0.699058941723871	0.484515196268789
PRSCS	SCZ	EUR	raw	SCZeur	prscs	slope_PC1	EUR	4116	3447	655	686	0.0813667689053255	0.0566176600603924	0.151078131026683	0.0203246676205958	0.0169504923710571	0.230592081749929	-0.0610421012847297	0.0587115058407257	-1.03969571910362	0.298481290111757
PRSCS	SCZ	EUR	raw	SCZeur	prscs	slope_PC1	full	8082	6789	1250	1339	0.0959625164169415	0.0827869492926216	0.246570175699199	0.0675060757267866	0.0280665278830724	0.0161900105746685	-0.0284564406901549	0.0858208250743098	-0.331579668052775	0.740206674348757
PRSCS	SCZ	EUR	raw	SCZeur	prscs	slope_PC2	EUR	4116	3447	655	686	0.0600223928252773	0.055099676651963	0.276319873854876	0.0106358641119712	0.0174485759474854	0.542197831198245	-0.0493865287133062	0.0573773260668305	-0.860732489621127	0.389385394679372
PRSCS	SCZ	EUR	raw	SCZeur	prscs	slope_PC2	full	8082	6789	1250	1339	0.0502415731159396	0.0820447007958613	0.540378802462608	0.0312700875612236	0.0287407441395916	0.276631151359122	-0.0189714855547159	0.085251248608924	-0.222536160634368	0.82389652678097
PRSCS	SCZ	EUR	raw	SCZeur	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0368433224414858	0.0535004938317743	0.491280476061751	-0.0044723821150794	0.0174161600280248	0.797353383339395	0.0323709403264064	0.0558363294196337	0.579746925753752	0.562085293441413
PRSCS	SCZ	EUR	raw	SCZeur	prscs	slope_PC3	full	8082	6789	1250	1339	0.00663100421807148	0.0811706755729339	0.934902194203434	-0.0578622253146482	0.0282607479736634	0.0406536532118729	-0.0644932295327197	0.0843050726641237	-0.764998208229586	0.444272611571352
PRSCS	ASD	pooled	raw	ASD	prscs	baseline_thickness	EUR	4116	3447	655	686	-0.067330552701156	0.0393569309412132	0.0875656818134096	-0.0396608073742524	0.0173439837455662	0.0222720135233566	0.0276697453269036	0.0428519007117757	0.645706371649927	0.5184695333831
PRSCS	ASD	pooled	raw	ASD	prscs	baseline_thickness	full	8082	6789	1250	1339	-0.0336122774718972	0.0314151662305285	0.284836541881026	-0.0167408624028266	0.0129272030829863	0.195360098170111	0.0168714150690706	0.0338783097168378	0.49800049678055	0.618483692037266
PRSCS	ASD	pooled	raw	ASD	prscs	global_slope	EUR	4116	3447	655	686	0.0165818195120989	0.0507692230708496	0.744043833055605	0.0156362570743259	0.0159213675401567	0.326123675023394	-0.00094556243777303	0.0530968697013455	-0.0178082520323994	0.985791821634793
PRSCS	ASD	pooled	raw	ASD	prscs	global_slope	full	8082	6789	1250	1339	0.0301252951743535	0.0388014411553749	0.437629740429538	0.00247884416208113	0.0122345563872061	0.839445873596852	-0.0276464510122724	0.0406146942004366	-0.680700705903019	0.496060889589696
PRSCS	ASD	pooled	raw	ASD	prscs	slope_PC1	EUR	4116	3447	655	686	-0.00282421377317595	0.0544124229543493	0.958618576395279	0.00324806556648559	0.0164561401485099	0.843544489098397	0.00607227933966155	0.0567362041622784	0.107026534984495	0.91476792878321
