section	readout	atlas	construction	trait	method	estimate	se	p	n	note	source
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	perregion	baseline_thickness	SBayesR	0.016248	0.015313	0.28873	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	1lmm	baseline_thickness	SBayesRC	0.018667	0.015341	0.22374	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	perregion	baseline_thickness	SBayesRC	0.019182	0.015321	0.21065	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	1lmm	baseline_thickness	PRSCSX	0.0065527	0.015364	0.66977	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	perregion	baseline_thickness	PRSCSX	0.0070021	0.015345	0.64818	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	1lmm	baseline_thickness	CT	0.029058	0.010895	0.061331	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	perregion	baseline_thickness	CT	0.02915	0.010884	0.059334	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	1lmm	baseline_thickness	PRSCS	0.010255	0.010876	0.34572	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	perregion	baseline_thickness	PRSCS	0.010582	0.010864	0.3301	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	1lmm	baseline_thickness	SBayesR	0.016909	0.010937	0.12211	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	hcp	perregion	baseline_thickness	SBayesR	0.017402	0.010925	0.11124	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
