atlas	phenotype	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	n
hcp	baseline_thickness	ALZ_noAPOE	EUR	SBayesR	raw	0.0064542519543998	0.0153248696623654	0.673657914989468	0.0060726413403752	0.0153440749049937	0.692298377942377	4308
hcp	baseline_thickness	ALZ_noAPOE	EUR	SBayesRC	raw	0.0040837269165826	0.0153339061899618	0.790005513066131	0.0040751241646781	0.0153531048450649	0.790693506442948	4308
hcp	baseline_thickness	ALZ_IGAP	EUR	CT	raw	0.0294603883991578	0.0168105464847229	0.638082727238834	0.0288959269340225	0.0168319555583676	0.688805840189101	4308
hcp	baseline_thickness	ALZ_IGAP	EUR	PRSCS	raw	0.0054731965945874	0.016062922372851	0.733319945732268	0.005140704388507	0.0160831781314857	0.749262613487234	4308
hcp	baseline_thickness	ALZ_IGAP	EUR	SBayesR	raw	-0.0099437943656281	0.0154074384611924	0.518709651666578	-0.0099505229001345	0.0154269524182432	0.518955988648866	4308
hcp	baseline_thickness	ALZ_IGAP	EUR	SBayesRC	raw	-0.0121267527534675	0.0154267926006183	0.431862003907874	-0.0123444590503678	0.0154463287209404	0.424228195337335	4308
hcp	baseline_thickness	ALZ_IGAP_noAPOE	EUR	CT	raw	-0.0330786536842378	0.0153007890506235	0.245452802032724	-0.0327574247484825	0.0153201344219873	0.260458282774905	4308
hcp	baseline_thickness	ALZ_IGAP_noAPOE	EUR	PRSCS	raw	0.0108293368865512	0.0165962475870207	0.514102555815723	0.0102834684708449	0.0166171709861236	0.536050732685144	4308
hcp	baseline_thickness	ALZ_IGAP_noAPOE	EUR	SBayesR	raw	-0.0008092066883529	0.015827525219419	0.959227062204231	-0.0009396131877008	0.0158473224283047	0.952722607183038	4308
hcp	baseline_thickness	ALZ_IGAP_noAPOE	EUR	SBayesRC	raw	-0.0144360070459518	0.0156446770766229	0.356193333210122	-0.0145823413375177	0.0156642492162914	0.351941418271067	4308
hcp	baseline_thickness	EA	EUR	CT	raw	0.0276457347372346	0.0156972536789436	0.626230681710942	0.0281303907117121	0.0157168833924641	0.588428183363642	4308
hcp	baseline_thickness	EA	EUR	PRSCS	raw	0.027572997895668	0.0158094004675606	0.0812154614976089	0.0276790298815566	0.0158293684458466	0.0804341592689199	4308
hcp	baseline_thickness	EA	EUR	SBayesR	raw	0.0257223357105901	0.015876716839609	0.105278394540568	0.0258166127390724	0.0158968618795463	0.104448218759734	4308
hcp	baseline_thickness	EA	EUR	SBayesRC	raw	0.0163841503468742	0.0158530634615435	0.301428178090324	0.0167976390038726	0.0158730477915968	0.290001686328647	4308
hcp	global_slope	SCZ_pooled	full	CT	zanc	-0.0352611323686751	0.0104185688877654	0.0057324275086441	-0.0364015938262458	0.0103136504517916	0.0033498443672785	8596
hcp	global_slope	SCZ_pooled	full	PRSCS	zanc	-0.0218500360371561	0.0104631580289875	0.0368031340540675	-0.0253108520067116	0.0103564557325611	0.0145479950609675	8596
hcp	global_slope	SCZ_pooled	full	SBayesR	zanc	-0.0301711922659106	0.0105234276932567	0.0041537120893622	-0.027486382276921	0.0104205855754636	0.0083629727824986	8596
hcp	global_slope	SCZ_pooled	full	SBayesRC	zanc	-0.0286732731608555	0.0104381357620831	0.006027885499105	-0.0298537785824545	0.0103357894962969	0.0038824466076851	8596
hcp	global_slope	MDD_pooled	full	CT	zanc	-0.0157686160694888	0.0104989736941967	1.0	-0.0281488336573383	0.0104401351956449	0.0562236304905409	8596
hcp	global_slope	MDD_pooled	full	PRSCS	zanc	-0.0151267954682759	0.0104924347695842	0.149429344879222	-0.024395782266989	0.0103841181925082	0.0188309378382163	8596
hcp	global_slope	MDD_pooled	full	SBayesR	zanc	-0.0231578001199007	0.0105933946783323	0.0288399061686733	-0.0305746548597554	0.0104762053085691	0.0035272472990538	8596
hcp	global_slope	MDD_pooled	full	SBayesRC	zanc	-0.0181721882056631	0.0105038031088883	0.083657951237256	-0.0248086913844519	0.0103920244559121	0.0169965706974108	8596
hcp	global_slope	SCZ_eur	EUR	CT	raw	-0.0396020949161512	0.0147761016022898	0.059110282977032	-0.0389833787470186	0.0146264368051695	0.0617900892528436	4308
hcp	global_slope	SCZ_eur	EUR	PRSCS	raw	-0.029370817594446	0.0147483757018074	0.0464968566913613	-0.0273950089564393	0.0146014646830129	0.0607031397478027	4308
hcp	global_slope	SCZ_eur	EUR	SBayesR	raw	-0.0338011058948604	0.0148073873215179	0.0224977910622555	-0.0262847768162816	0.0146697967009292	0.07324615711681	4308
hcp	global_slope	SCZ_eur	EUR	SBayesRC	raw	-0.0332320210815465	0.0147059644663818	0.0238880044691322	-0.0263969429355137	0.014569465891206	0.0700915951031619	4308
hcp	global_slope	MDD_eur	EUR	CT	raw	-0.0211871033028112	0.0147855417402584	1.0	-0.0332852163334211	0.0144456455787515	0.170106426306838	4308
hcp	global_slope	MDD_eur	EUR	PRSCS	raw	-0.0097538906987177	0.0146722671563918	0.506225865897377	-0.0293900706069658	0.0145281545331927	0.0431414864642899	4308
hcp	global_slope	MDD_eur	EUR	SBayesR	raw	-0.0239848919263909	0.0148471189378411	0.106289079205898	-0.0425081032649169	0.0146883046216672	0.0038241230623733	4308
hcp	global_slope	MDD_eur	EUR	SBayesRC	raw	-0.0167258512549457	0.0147572464068054	0.257113380446008	-0.0343906874227015	0.0146021115555803	0.0185614331306551	4308
hcp	global_slope	ASD	EUR	CT	raw	0.0297528417723459	0.0145110609699964	0.323137083426448	-0.0102194382596048	0.014348141605467	1.0	4308
hcp	global_slope	ASD	EUR	PRSCS	raw	0.0269017455395421	0.0145898857446734	0.0652747078540737	0.0053377413036595	0.01446185777618	0.712079133430415	4308
hcp	global_slope	ASD	EUR	SBayesR	raw	0.0061100468134239	0.0145773468744475	0.675130606617342	-0.002685353310948	0.0144487577076581	0.852568820423686	4308
hcp	global_slope	ASD	EUR	SBayesRC	raw	0.0111181104238717	0.0145294243419172	0.444187734496988	-0.0002724675365683	0.0144086853929972	0.984913857974603	4308
hcp	global_slope	ALZ	EUR	CT	raw	-0.0371156780594471	0.0145614157236558	0.0867348983213868	-0.0448562277013558	0.0143888899911881	0.0146982306031955	4308
hcp	global_slope	ALZ	EUR	PRSCS	raw	-0.0311621570706033	0.0145242162000302	0.0319689127512413	-0.0413430348582721	0.0143767760191853	0.0040526754787125	4308
hcp	global_slope	ALZ	EUR	SBayesR	raw	-0.0164108952002257	0.0145440063399559	0.259233546669761	-0.0333358998096881	0.0143928853033311	0.0206008060935557	4308
hcp	global_slope	ALZ	EUR	SBayesRC	raw	-0.0188877456058136	0.0145478358558637	0.19425107278024	-0.0363864784318143	0.0143896244970715	0.0114880525331268	4308
hcp	global_slope	ALZ_noAPOE	EUR	CT	raw	-0.0326280907567716	0.0145654484300988	0.201095228879616	-0.0268403482547073	0.0144411244994467	0.505239029308252	4308
hcp	global_slope	ALZ_noAPOE	EUR	PRSCS	raw	-0.0222293530270494	0.0145439668161891	0.126483206735593	-0.0207762370571562	0.0144177939788009	0.149657326757251	4308
hcp	global_slope	ALZ_noAPOE	EUR	SBayesR	raw	-0.0196853066875792	0.0145461376805508	0.176033342503396	-0.0257348730673624	0.0144116974182486	0.0742234066333258	4308
hcp	global_slope	ALZ_noAPOE	EUR	SBayesRC	raw	-0.0085253967930819	0.0145509744203454	0.55797563225197	-0.0153047170203751	0.0144146913258911	0.288415001460009	4308
hcp	global_slope	ALZ_IGAP	EUR	CT	raw	-0.0315696973932252	0.0163461394103922	0.428088907848677	-0.0318953248084957	0.0144355186911042	0.217563441664809	4308
hcp	global_slope	ALZ_IGAP	EUR	PRSCS	raw	-0.025549876072018	0.0152134767941832	0.093145456846261	-0.0355636354889588	0.0150637589721488	0.0182791303299006	4308
hcp	global_slope	ALZ_IGAP	EUR	SBayesR	raw	-0.0132214960832624	0.0145738133066521	0.364349674767376	-0.0327238033501715	0.0144221502152201	0.0233212700592462	4308
hcp	global_slope	ALZ_IGAP	EUR	SBayesRC	raw	-0.0132865221400878	0.0145790868833439	0.362169615301575	-0.033600595224065	0.0144229051032415	0.0198731547604874	4308
hcp	global_slope	ALZ_IGAP_noAPOE	EUR	CT	raw	-0.031032600379121	0.0164271070866677	0.471575423498786	-0.0267571550339283	0.0162826673477803	0.803199093332668	4308
hcp	global_slope	ALZ_IGAP_noAPOE	EUR	PRSCS	raw	-0.0204854986261083	0.0157269759570363	0.192794480758188	-0.0231116901264996	0.0155739936612309	0.137889257946825	4308
hcp	global_slope	ALZ_IGAP_noAPOE	EUR	SBayesR	raw	-0.0116528043321529	0.0150225162268911	0.43797690558631	-0.0208761862325774	0.0148815760953066	0.160746806743903	4308
hcp	global_slope	ALZ_IGAP_noAPOE	EUR	SBayesRC	raw	0.0082812654207364	0.0148445269373939	0.576965785182386	-0.0089148327714835	0.0147067060409115	0.544432748458299	4308
hcp	global_slope	EA	EUR	CT	raw	0.0211438324145252	0.0150371338918412	1.0	0.0373546079960731	0.0147061627165589	0.0889642515208946	4308
hcp	global_slope	EA	EUR	PRSCS	raw	0.0221521927791909	0.014957407780616	0.138678846439493	0.0395049277643151	0.0148024106810436	0.0076424737442841	4308
hcp	global_slope	EA	EUR	SBayesR	raw	0.0204305562965556	0.0149960567008712	0.173149005836186	0.0374444825956765	0.0148327647227508	0.011626797037773	4308
hcp	global_slope	EA	EUR	SBayesRC	raw	0.0208107872336679	0.0149832559200883	0.164928331365936	0.0317308146542713	0.0148264969635199	0.0324038203844161	4308
