GENE	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	AHBA_C3
221895	5.4541	5.2725	4.9875	NA
54438	5.0818	5.2698	5.4093	0.535196
170960	5.4652	5.2684	NA	NA
5603	5.3723	5.2682	5.1098	0.61648
2878	5.3305	5.2623	5.2244	0.340248
221395	5.4561	5.2603	5.0264	0.191493
5087	5.3927	5.26	5.164	0.125724
112611	5.4592	5.26	NA	NA
56917	5.382	5.2575	5.12	0.23462
1123	5.1888	5.2572	5.3244	0.6791
23787	5.7155	5.2552	4.6319	0.175044
9294	5.3036	5.2425	5.1959	NA
11321	5.5593	5.2379	NA	0.296984
27113	5.3422	5.2365	5.1385	0.38825
54495	5.3161	5.233	5.0485	NA
10653	5.3248	5.2325	5.0932	0.271498
27006	5.437	5.2301	4.8948	0.213135
55957	5.4096	5.2224	NA	NA
57497	5.3974	5.2218	5.0557	0.510411
2781	5.3733	5.2209	5.1357	0.26165
10417	5.4806	5.2148	4.8583	0.296023
347902	5.4512	5.2094	4.8028	0.124867
5818	5.545	5.2081	4.9728	0.407129
3995	5.5583	5.2054	4.7254	0.281702
286046	4.5233	5.2038	5.4977	0.271802
79143	5.2707	5.2007	5.2312	0.246782
57657	5.3261	5.1965	5.0918	0.189283
3096	5.4421	5.1956	NA	NA
5575	5.423	5.1857	NA	NA
10618	5.4456	5.1854	4.8202	0.162767
124739	5.3083	5.1826	NA	NA
51441	5.3815	5.1807	4.8245	0.264245
114800	5.3355	5.1794	4.8918	0.497878
10144	5.1712	5.1719	5.1976	0.530221
29118	5.3886	5.1711	4.9	0.398708
51725	5.2781	5.1688	4.9677	0.4552
8581	4.988	5.1646	5.3911	0.496072
80213	5.332	5.1619	4.9351	0.198461
122525	5.3488	5.1589	NA	NA
26034	4.8892	5.153	5.382	0.515179
2029	5.3206	5.1494	5.1455	0.461636
8000	5.4031	5.1404	NA	NA
57181	5.403	5.1386	4.8069	0.410452
284439	5.283	5.1319	NA	NA
64943	5.309	5.1317	4.9566	0.23681
54798	5.262	5.1301	4.8696	0.0370275
398	5.517	5.1201	4.5345	0.252485
7325	5.2804	5.1154	4.8148	NA
9143	5.4284	5.115	4.7159	0.377159
1264	5.2196	5.1126	5.0404	NA
2030	4.974	5.1119	5.2304	NA
54542	5.2829	5.1098	NA	NA
126792	5.0374	5.1066	5.1454	0.0566774
1386	5.1452	5.1058	NA	NA
57120	5.2095	5.0932	5.0696	0.344317
54778	5.0161	5.0907	NA	NA
25888	5.2721	5.0898	NA	NA
9653	5.2623	5.0882	5.0466	0.4594
71	5.2071	5.0851	4.905	0.0670056
10673	5.1981	5.085	5.0534	0.67649
140885	5.2804	5.0836	4.7957	0.446169
5563	5.4541	5.0794	4.5791	0.228312
5500	5.1299	5.0731	5.1179	0.351238
55188	5.1613	5.0684	NA	NA
79740	5.1351	5.0593	5.0564	0.330434
147686	5.1127	5.0569	5.0429	0.0463991
1268	5.2325	5.048	4.8438	0.0655987
10589	5.3877	5.0452	NA	NA
6618	4.8537	5.0394	5.2348	NA
57136	5.2259	5.0287	4.7371	0.328032
