gene	thinning_Z_ds25	U_ds25_thinning	rank_ds25	decile_ds25
HGF	4.6601	0.013329	571	10
C2CD4C	4.6575	0.010376	572	10
CLTC	4.6574	0.020135	573	10
STAT6	4.6565	0.019605	574	10
NAT6	4.6561	0.020592	575	10
EXO5	4.6529	0.016408	576	10
TM7SF2	4.6518	0.013923	577	10
SLC20A1	4.6515	0.017427	578	10
TNNT2	4.6502	0.020752	579	10
STUB1	4.6496	0.018023	580	10
TGFBRAP1	4.6492	0.015613	581	10
ZNF653	4.6469	0.011971	582	10
VSTM2L	4.6437	0.015476	583	10
MAT2B	4.6398	0.010269	584	10
BEND5	4.6383	0.020199	585	10
PI4KA	4.6335	0.020119	586	10
PNLDC1	4.6333	0.014864	587	10
PRSS23	4.6295	0.008839	588	10
IER5L	4.6286	0.017197	589	10
VWCE	4.6265	0.015556	590	10
MAN1A2	4.6244	0.018161	591	10
CARTPT	4.6234	0.018169	592	10
TRUB1	4.6195	0.013491	593	10
CNTN3	4.6194	0.01672	594	10
LINC01361	4.6191	0.020915	595	10
STOML1	4.614	0.0096252	596	10
JMJD1C-AS1	4.6124	0.015635	597	10
TIGD5	4.6105	0.017488	598	10
ZFP62	4.6103	0.0166	599	10
MRPL30	4.6098	0.010115	600	10
CYP4X1	4.605	0.013883	601	10
DDX20	4.6043	0.014879	602	10
PRKCZ	4.6042	0.017861	603	10
IFT122	4.6029	0.016234	604	10
EPOP	4.6027	0.013566	605	10
FAM208A	4.6018	0.016477	606	10
TFPT	4.5983	0.0075726	607	10
GDPGP1	4.5953	0.016111	608	10
NUDT11	4.594	0.0072488	609	10
C9orf129	4.591	0.017066	610	10
IL27RA	4.5858	0.018593	611	10
RGMB	4.5846	0.01049	612	10
PRKDC	4.5814	0.017694	613	10
FAM162B	4.5773	0.017449	614	10
AHSG	4.575	0.021063	615	10
TSC1	4.573	0.015304	616	10
DGKA	4.573	0.015977	617	10
LRRK1	4.5688	0.018909	618	10
SRSF12	4.5672	0.01244	619	10
MPND	4.5609	0.013233	620	10
VAPA	4.5588	0.010435	621	10
TRIM32	4.5584	0.0092128	622	10
NOXA1	4.5577	0.017637	623	10
DMD	4.5544	0.01032	624	10
ANKRD55	4.5543	0.014377	625	10
PCBD1	4.5517	0.0067011	626	10
PLEKHM3	4.5492	0.013845	627	10
CD3G	4.549	0.014833	628	10
LINC01197	4.549	0.0077442	629	10
CHID1	4.5488	0.0092564	630	10
C1orf74	4.5444	0.016607	631	10
ANO3	4.5402	0.0089529	632	10
SLC41A2	4.5388	0.016664	633	10
FZR1	4.5363	0.015218	634	10
PPAT	4.5355	0.01874	635	10
RPGRIP1L	4.5348	0.018704	636	10
MLIP	4.5332	0.01842	637	10
RNF175	4.5325	0.019972	638	10
UBXN6	4.5321	0.013584	639	10
RAB40C	4.5308	0.0099024	640	10
BSN	4.5299	0.014711	641	10
NPAS1	4.5286	0.018006	642	10
SCAMP5	4.5281	0.0092258	643	10
TNFRSF25	4.5262	0.0092558	644	10
LOC105374952	4.5234	0.017265	645	10
ASB6	4.523	0.018886	646	10
PER2	4.5193	0.021779	647	10
ARFIP2	4.5181	0.019666	648	10
SPATA2	4.513	0.011671	649	10
NEDD4L	4.5125	0.0085247	650	10
NOS2	4.51	0.017203	651	10
FAM47E	4.5088	0.014766	652	10
MAST3	4.5075	0.011718	653	10
ZNF416	4.5072	0.017171	654	10
SYNM	4.5072	0.018353	655	10
DCAF6	4.5067	0.015279	656	10
ADCY2	4.5008	0.017317	657	10
C19orf47	4.4977	0.020032	658	10
SERPINI2	4.4913	0.017685	659	10
NRSN1	4.491	0.0191	660	10
TSPYL1	4.4879	0.010954	661	10
SNCA	4.4809	0.010279	662	10
ZBTB44	4.4796	0.011341	663	10
GPAT2	4.4782	0.01828	664	10
DACH1	4.4781	0.018058	665	10
FMN1	4.4741	0.0079471	666	10
SPACA9	4.4723	0.014256	667	10
CBLN2	4.4723	0.020917	668	10
PTPRF	4.471	0.0079748	669	10
METTL13	4.4682	0.016073	670	10
STX12	4.4651	0.0077836	671.5	10
PACSIN1	4.4651	0.0097793	671.5	10
LOC105376360	4.4648	0.018469	673	10
BTBD11	4.4604	0.0077824	674	10
GPR171	4.4523	0.015255	675	10
PIGQ	4.4516	0.018402	676	10
TMEM196	4.4478	0.019239	677	10
TRIM27	4.4409	0.011271	678	10
GPKOW	4.4398	0.010256	679	10
LOC641367	4.438	0.016156	680	10
HACE1	4.4371	0.018557	681	10
ADAMTS8	4.4351	0.012509	682	10
RTN1	4.4343	0.017713	683	10
RAD23B	4.4327	0.016175	684	10
FTO	4.4325	0.015323	685	10
DNAJA1	4.4324	0.012859	686	10
MSANTD1	4.4315	0.010983	687	10
CRLF1	4.431	0.014315	688	10
NAGPA	4.4301	0.0079226	689	10
CLSTN1	4.4244	0.018465	690	10
NETO1	4.4207	0.015602	691	10
ATP4A	4.4207	0.0077522	692	10
