readout	phenotype	arm	method	comparable	value_dk	value_hcp	se_dk	se_hcp	p_dk	p_hcp	n_dk	n_hcp
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	global_slope	EUR	MAGMA	yes	0.013114	0.016301	0.0043002	0.0042338	0.22587	0.12628	6935	6935
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	0.0097387	0.0037044	0.004269	0.0042684	0.36496	0.73035	6935	6935
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	-0.0080244	0.0061607	0.0043003	0.0042691	0.45866	0.56657	6935	6935
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	-0.0079362	0.0054761	0.0042021	0.0042313	0.45324	0.60727	6935	6935
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	yes	-0.0061749	-0.0023365	0.0071954	0.0071932	0.73387	0.89761	6055	6055
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	yes	0.032869	0.024293	0.0071089	0.0070096	0.067027	0.16978	6055	6055
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	-0.0038513	-0.0077139	0.0070893	0.0070678	0.82959	0.66546	6055	6055
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	-0.013016	0.0017224	0.0071016	0.0070732	0.46777	0.92314	6055	6055
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	-0.0048667	-0.00071278	0.0069445	0.0069846	0.78129	0.96775	6055	6055
MAGMA MDD_pool	MDD	EUR	MAGMA	no (atlas-specific PC)	1.2366	1.2366	0.033581	0.033581	4.239e-284	4.239e-284	1880	1880
MAGMA MDD_pool	SCZ	EUR	MAGMA	no (atlas-specific PC)	0.5843	0.5843	0.035588	0.035588	2.4709e-60	2.4709e-60	1884	1884
