cell	stratum	label	beta	se	t	p	n	beta_cond	se_cond	t_cond	p_cond	r_global	score	r_cortexmean_globalslope
SCZ25_EUR_SBayesRC_raw	EUR	rh_FOP4	0.00626323739654756	0.0154047209788618	0.406579087355227	0.684340024233852	4308	0.0178329509884506	0.0147743671574987	1.20701961703988	0.227500707072371	0.289495697118232	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_FOP5	0.0159134381959278	0.0154752486959295	1.0283155061743	0.303866213141543	4308	0.0302003390093076	0.0146377990015517	2.06317486707573	0.0391639094997595	0.325887038245398	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_FST	-0.0471086172260831	0.0153601759382137	-3.06693213772925	0.00217747622624386	4308	-0.0308802219608514	0.0142669723765282	-2.16445515880125	0.0304902833841445	0.397250361180822	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IFJa	-0.00967366856416594	0.0153952452017531	-0.628354302733963	0.529808788722831	4308	0.00596196189823918	0.0144704444464157	0.412009591019574	0.680355407128251	0.355000096113804	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IFJp	0.000560596842165788	0.0154404104465024	0.0363071204685998	0.971039336845197	4308	0.0110058612209042	0.0150059491965863	0.733433192177401	0.463338897707482	0.242382640983008	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IFSa	-0.0135505741338101	0.015426797923705	-0.878378922238172	0.379794034944841	4308	0.00476780295278586	0.014094554692169	0.338272691611525	0.735176549870793	0.412079503367823	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IFSp	-0.0240367127238597	0.0154319740327093	-1.55759157402105	0.119413571726023	4308	-0.00660118528828915	0.0141426458819239	-0.466757447185062	0.640700709977545	0.39464840308711	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IP0	-0.0216509455689394	0.0153969157211179	-1.40618718456994	0.159749186473773	4308	-0.00564082282564039	0.0143742543279364	-0.39242542235234	0.694765652039606	0.381194062359908	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IP1	-0.0513448627978317	0.015279503048854	-3.36037517932775	0.00078616924594009	4308	-0.0329275320131087	0.0139418369269394	-2.36177859385831	0.018238370508141	0.427332855333072	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IP2	-0.0319765849931987	0.0153048592037713	-2.08930932114157	0.03674609676759	4308	-0.015371576787806	0.014237398903231	-1.07966187449574	0.280362283038276	0.394012729622863	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_IPS1	-0.0207873903495567	0.0154069997460112	-1.34921728384778	0.177345511736735	4308	-0.00317982412075814	0.0141483940565266	-0.224748060313693	0.82218725245853	0.406596514735116	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_Ig	0.00665885311964958	0.0153898213151901	0.432679040469243	0.665272731336688	4308	0.0179737969142743	0.0148485543745557	1.21047453246183	0.226174102011756	0.274049165091249	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_LBelt	-0.036776185745228	0.0153499486084643	-2.39585074082586	0.0166293285428699	4308	-0.0232749948652677	0.0146254968632987	-1.59139857488699	0.111602335448089	0.330423301992055	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_LIPd	-0.0275074416169303	0.015415199991566	-1.78443624682003	0.0744320914334573	4308	-0.0127208858501576	0.0145787209431563	-0.872565288803963	0.38295461071049	0.352257367627346	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_LIPv	-0.0221660706946038	0.0153658613506307	-1.44255308497196	0.149229311837167	4308	-0.00749208285673071	0.014547472643421	-0.515009241836861	0.606576449297493	0.339989379886262	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_LO1	-0.0142948490649564	0.0155202494571484	-0.921045058226976	0.357083969007431	4308	0.00119483762438478	0.0145493166405543	0.0821232813817747	0.934552938922023	0.353483876598864	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_LO2	-0.0269939025252142	0.0152936211866739	-1.76504322918206	0.0776396265438347	4308	-0.0143964309816177	0.0146594886553164	-0.982055467289216	0.326137280728932	0.303136542587487	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_LO3	-0.0113298291951097	0.0153712267755211	-0.737080348925214	0.461120625549632	4308	0.0036104670263406	0.0144932915841304	0.249112977916895	0.803287530497961	0.342046022907585	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_MBelt	-0.010304187962804	0.0152722343832569	-0.674700748051679	0.499907174180455	4308	0.00458069974797295	0.0144056319892531	0.317979783975478	0.750517968421042	0.363352387294598	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_MI	0.000556931961380977	0.0154138904288422	0.0361318230431207	0.971179128484978	4308	0.0119415299305858	0.0148898823095521	0.801989544465714	0.422609368507599	0.2709346127178	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_MIP	-0.0276552001395094	0.0153681597655205	-1.79951279538073	0.0720159207396479	4308	-0.00965074718950647	0.0140761728062168	-0.685608746238479	0.493001433061023	0.418005007484287	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_MST	-0.0380781062500175	0.0153672640352632	-2.47787154321289	0.0132599292908882	4308	-0.0224458521569584	0.014440986389375	-1.55431571997554	0.120191975879902	0.368349759329414	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_MT	-0.0340782500205919	0.0153507455588821	-2.21997360909118	0.0264785026271121	4308	-0.0185706569705594	0.014432148101764	-1.2867562638364	0.198256310266903	0.371393106963294	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_OFC	0.010915853989522	0.0155130558777436	0.703655944744119	0.481687978914397	4308	0.0213279329473049	0.0150653590674821	1.41569363543019	0.156943219447275	0.245246826417275	score_SCZ25EUR_sbrc.profile	0.999999948257751
