design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
legacy	MDD	MDD	full	global_slope	8596	8	2000	0.056435998168138116	1.9848963653338632	0.16741629185407297	0.4514879853451049	no
legacy	ASD	ASD	EUR	baseline_thickness	4308	8	2000	0.006923075270468837	2.7649785613267146	0.046476761619190406	0.0553846021637507	yes
legacy	ASD	ASD	EUR	slope_PC1	4308	8	2000	0.16948571484924554	1.42251737992176	0.5702148925537232	1.0	yes
legacy	ASD	ASD	EUR	slope_PC2	4308	8	2000	0.43391206608376165	0.7791787640843566	0.9460269865067467	1.0	yes
legacy	ASD	ASD	EUR	slope_PC3	4308	8	2000	0.5327669842330622	0.6235844513804691	0.9825087456271864	1.0	yes
legacy	ASD	ASD	EUR	global_slope	4308	8	2000	0.0299172057803913	2.2426087767867213	0.1409295352323838	0.2393376462431304	yes
legacy	ASD	ASD	full	baseline_thickness	8596	8	2000	0.0008766340063083465	3.482855382783994	0.0069965017491254375	0.007013072050466772	no
legacy	ASD	ASD	full	slope_PC1	8596	8	2000	0.015606457443208483	2.4711425364278905	0.08945527236381809	0.12485165954566786	no
legacy	ASD	ASD	full	slope_PC2	8596	8	2000	0.05990848061199987	1.9166207222400713	0.2898550724637681	0.47926784489599894	no
legacy	ASD	ASD	full	slope_PC3	8596	8	2000	0.4052487966366064	0.8485225656186004	0.928535732133933	1.0	no
legacy	ASD	ASD	full	global_slope	8596	8	2000	0.0007247478879906655	3.4663797514248844	0.004497751124437781	0.005797983103925324	no
legacy	ALZ	ALZ	EUR	baseline_thickness	4308	8	2000	0.0804711888418863	1.8906978166439896	0.2353823088455772	0.6437695107350904	yes
legacy	ALZ	ALZ	EUR	slope_PC1	4308	8	2000	0.01272909531820189	2.5049556031191162	0.05697151424287856	0.10183276254561512	yes
legacy	ALZ	ALZ	EUR	slope_PC2	4308	8	2000	0.08629447131633497	1.8048582183676865	0.26186906546726635	0.6903557705306798	yes
legacy	ALZ	ALZ	EUR	slope_PC3	4308	8	2000	0.41074427872716096	0.8399814974042245	0.8350824587706147	1.0	yes
