GENE	C1	C2	C3	C1+	C2+	C3+	C1-	C2-	C3-
23284	-0.737807	-0.244744	0.240515	0	0	0.240515	0.737807	0.244744	0
64123	0.508195	0.247757	-0.15676	0.508195	0.247757	0	0	0	0.15676
84059	-0.79616	-0.239886	-0.126697	0	0	0	0.79616	0.239886	0.126697
128	-0.721481	-0.0428855	-0.0142321	0	0	0	0.721481	0.0428855	0.0142321
55256	-0.685683	-0.0601761	-0.293342	0	0	0	0.685683	0.0601761	0.293342
51094	-0.737748	-0.0465474	-0.0788071	0	0	0	0.737748	0.0465474	0.0788071
10974	-0.820681	-0.133749	-0.289053	0	0	0	0.820681	0.133749	0.289053
132	-0.461119	0.456592	0.0146368	0	0.456592	0.0146368	0.461119	0	0
133	0.71602	0.098421	-0.248786	0.71602	0.098421	0	0	0	0.248786
199800	-0.78006	-0.142632	0.246115	0	0	0.246115	0.78006	0.142632	0
23394	-0.298227	-0.153919	0.531446	0	0	0.531446	0.298227	0.153919	0
22850	0.372812	-0.132929	0.196044	0.372812	0	0.196044	0	0.132929	0
84890	0.798408	0.0683936	0.160328	0.798408	0.0683936	0.160328	0	0	0
136	-0.599693	0.00168633	-0.199153	0	0.00168633	0	0.599693	0	0.199153
113622	0.553551	0.630871	0.207226	0.553551	0.630871	0.207226	0	0	0
148	-0.18281	0.0632442	-0.381319	0	0.0632442	0	0.18281	0	0.381319
147	-0.749232	0.329933	0.0617279	0	0.329933	0.0617279	0.749232	0	0
146	0.462747	0.529005	0.366923	0.462747	0.529005	0.366923	0	0	0
150	0.100507	0.303597	0.0149112	0.100507	0.303597	0.0149112	0	0	0
152	-0.740683	-0.0111358	0.00535739	0	0	0.00535739	0.740683	0.0111358	0
153	0.585474	-0.414829	0.379999	0.585474	0	0.379999	0	0.414829	0
154	-0.715454	0.177236	-0.266261	0	0.177236	0	0.715454	0	0.266261
84830	-0.6488	0.506077	0.290633	0	0.506077	0.290633	0.6488	0	0
165	-0.426058	0.247398	-0.313069	0	0.247398	0	0.426058	0	0.313069
121536	0.526159	-0.286835	0.222586	0.526159	0	0.222586	0	0.286835	0
134265	0.504788	0.413934	0.147837	0.504788	0.413934	0.147837	0	0	0
84632	0.100135	0.229369	0.195606	0.100135	0.229369	0.195606	0	0	0
4301	-0.412735	0.0996674	-0.530356	0	0.0996674	0	0.412735	0	0.530356
4299	0.624139	-0.18308	-0.381911	0.624139	0	0	0	0.18308	0.381911
2334	-0.492382	-0.148341	-0.0410934	0	0	0	0.492382	0.148341	0.0410934
54812	0.737661	-0.0123056	0.202639	0.737661	0	0.202639	0	0.0123056	0
175	-0.557012	0.285392	-0.381225	0	0.285392	0	0.557012	0	0.381225
116987	-0.150597	-0.722523	-0.0674328	0	0	0	0.150597	0.722523	0.0674328
116986	-0.738333	-0.190098	0.0545471	0	0	0.0545471	0.738333	0.190098	0
116988	-0.555546	0.0346508	0.0999883	0	0.0346508	0.0999883	0.555546	0	0
3268	-0.312469	0.117959	-0.309244	0	0.117959	0	0.312469	0	0.309244
55750	0.232386	-0.236276	0.335367	0.232386	0	0.335367	0	0.236276	0
79814	-0.0895216	0.766294	0.00570623	0	0.766294	0.00570623	0.0895216	0	0
26523	0.929031	-0.149945	0.024454	0.929031	0	0.024454	0	0.149945	0
192669	0.467771	-0.3372	-0.358382	0.467771	0	0	0	0.3372	0.358382
192670	0.303354	-0.709754	0.17865	0.303354	0	0.17865	0	0.709754	0
10555	-0.604241	0.274642	0.353191	0	0.274642	0.353191	0.604241	0	0
56894	0.729551	0.314592	0.0643142	0.729551	0.314592	0.0643142	0	0	0
191	-0.621673	0.107366	-0.0170414	0	0.107366	0	0.621673	0	0.0170414
54806	0.839257	-0.358079	0.11743	0.839257	0	0.11743	0	0.358079	0
79026	-0.839231	-0.130951	-0.199723	0	0	0	0.839231	0.130951	0.199723
113146	-0.0938377	0.890384	0.1262	0	0.890384	0.1262	0.0938377	0	0
196	-0.488146	-0.372175	0.0359114	0	0	0.0359114	0.488146	0.372175	0
57491	-0.844312	-0.185435	0.153513	0	0	0.153513	0.844312	0.185435	0
197	-0.297004	0.00513999	0.352333	0	0.00513999	0.352333	0.297004	0	0
199	-0.717447	0.104822	-0.182358	0	0.104822	0	0.717447	0	0.182358
84883	-0.580932	-0.0221199	0.23537	0	0	0.23537	0.580932	0.0221199	0
150209	0.793417	0.0676481	-0.198786	0.793417	0.0676481	0	0	0	0.198786
51390	-0.430827	0.132618	-0.0397723	0	0.132618	0	0.430827	0	0.0397723
9447	-0.296418	-0.427834	-0.278604	0	0	0	0.296418	0.427834	0.278604
9049	0.413721	0.139268	0.0985757	0.413721	0.139268	0.0985757	0	0	0
326	0.0443398	0.666956	-0.335388	0.0443398	0.666956	0	0	0	0.335388
55966	-0.488595	-0.489202	0.153687	0	0	0.153687	0.488595	0.489202	0
203	0.542917	0.296253	-0.127999	0.542917	0.296253	0	0	0	0.127999
204	0.708993	0.373488	-0.303985	0.708993	0.373488	0	0	0	0.303985
205	-0.84871	-0.126914	-0.0869587	0	0	0	0.84871	0.126914	0.0869587
26289	-0.602879	-0.0376449	0.229762	0	0	0.229762	0.602879	0.0376449	0
221264	0.488096	0.429263	-0.104404	0.488096	0.429263	0	0	0	0.104404
642597	0.698078	0.293599	-0.0150688	0.698078	0.293599	0	0	0	0.0150688
8165	0.274563	-0.27256	-0.123807	0.274563	0	0	0	0.27256	0.123807
11216	0.332773	-0.144322	0.379003	0.332773	0	0.379003	0	0.144322	0
9590	0.419957	0.714818	0.0514967	0.419957	0.714818	0.0514967	0	0	0
11214	0.322857	-0.444608	0.219441	0.322857	0	0.219441	0	0.444608	0
158798	-0.865651	-0.225036	-0.0358035	0	0	0	0.865651	0.225036	0.0358035
9495	-0.698586	-0.337713	0.3096	0	0	0.3096	0.698586	0.337713	0
9465	0.1569	-0.693243	-0.167028	0.1569	0	0	0	0.693243	0.167028
10270	-0.468718	0.651473	0.325915	0	0.651473	0.325915	0.468718	0	0
55122	-0.87636	-0.0356065	0.254235	0	0	0.254235	0.87636	0.0356065	0
1645	-0.210721	0.686606	-0.20712	0	0.686606	0	0.210721	0	0.20712
8644	-0.377122	0.660826	-0.123657	0	0.660826	0	0.377122	0	0.123657
1109	-0.18918	0.718139	-0.186256	0	0.718139	0	0.18918	0	0.186256
8574	-0.692687	0.180675	-0.244596	0	0.180675	0	0.692687	0	0.244596
22977	-0.694538	0.231178	-0.195876	0	0.231178	0	0.694538	0	0.195876
84335	0.531974	0.282409	-0.331913	0.531974	0.282409	0	0	0	0.331913
10000	0.703083	-0.0979078	0.0892405	0.703083	0	0.0892405	0	0.0979078	0
214	-0.657369	-0.166056	-0.327435	0	0	0	0.657369	0.166056	0.327435
216	0.562508	0.18023	0.0375563	0.562508	0.18023	0.0375563	0	0	0
220	0.918084	-0.00588576	0.0597401	0.918084	0	0.0597401	0	0.00588576	0
219	0.583444	0.545497	-0.10888	0.583444	0.545497	0	0	0	0.10888
10840	-0.467787	-0.102837	-0.108813	0	0	0	0.467787	0.102837	0.108813
217	-0.690232	0.0416169	-0.155941	0	0.0416169	0	0.690232	0	0.155941
224	-0.41406	-0.0470231	0.401558	0	0	0.401558	0.41406	0.0470231	0
8659	-0.475379	-0.104589	-0.133752	0	0	0	0.475379	0.104589	0.133752
4329	-0.466107	0.0608044	-0.299169	0	0.0608044	0	0.466107	0	0.299169
501	-0.608584	-0.137456	-0.232547	0	0	0	0.608584	0.137456	0.232547
223	-0.735741	0.0233913	-0.296128	0	0.0233913	0	0.735741	0	0.296128
230	0.44353	0.577244	-0.145576	0.44353	0.577244	0	0	0	0.145576
84920	0.00845838	-0.484998	0.0945414	0.00845838	0	0.0945414	0	0.484998	0
144245	0.159625	-0.416099	0.258315	0.159625	0	0.258315	0	0.416099	0
85365	0.53521	-0.211153	-0.192379	0.53521	0	0	0	0.211153	0.192379
10195	0.455028	0.208987	-0.0526651	0.455028	0.208987	0	0	0	0.0526651
29880	-0.364872	0.24728	-0.389578	0	0.24728	0	0.364872	0	0.389578
79053	-0.645232	-0.0752671	-0.196981	0	0	0	0.645232	0.0752671	0.196981
238	-0.511257	0.063651	-0.275989	0	0.063651	0	0.511257	0	0.275989
285016	-0.902123	0.0384343	-0.171009	0	0.0384343	0	0.902123	0	0.171009
121642	0.459854	0.186964	0.104709	0.459854	0.186964	0.104709	0	0	0
84266	-0.535787	0.453811	-0.102944	0	0.453811	0	0.535787	0	0.102944
91801	0.578039	-0.340843	0.124611	0.578039	0	0.124611	0	0.340843	0
240	-0.677425	0.0577341	-0.264248	0	0.0577341	0	0.677425	0	0.264248
241	-0.551257	0.13709	-0.261236	0	0.13709	0	0.551257	0	0.261236
80216	-0.024583	-0.000573651	-0.373127	0	0	0	0.024583	0.000573651	0.373127
249	-0.627067	0.322915	0.313377	0	0.322915	0.313377	0.627067	0	0
57679	0.459665	-0.317942	0.291746	0.459665	0	0.291746	0	0.317942	0
259173	0.299319	0.274055	0.444439	0.299319	0.274055	0.444439	0	0	0
257	0.757813	-0.140383	-0.163222	0.757813	0	0	0	0.140383	0.163222
10189	-0.75907	-0.0502199	-0.0885435	0	0	0	0.75907	0.0502199	0.0885435
262	0.646305	-0.416493	-0.0842477	0.646305	0	0	0	0.416493	0.0842477
144193	-0.0357811	0.716919	0.0046631	0	0.716919	0.0046631	0.0357811	0	0
139285	0.654106	0.326256	0.0738989	0.654106	0.326256	0.0738989	0	0	0
268	0.547075	-0.0922615	0.11079	0.547075	0	0.11079	0	0.0922615	0
347902	-0.884532	0.25169	0.124867	0	0.25169	0.124867	0.884532	0	0
9949	0.732492	-0.366892	-0.069065	0.732492	0	0	0	0.366892	0.069065
196394	-0.660143	0.26796	0.159617	0	0.26796	0.159617	0.660143	0	0
272	0.511665	0.183995	-0.333184	0.511665	0.183995	0	0	0	0.333184
275	0.406496	-0.571069	0.0400236	0.406496	0	0.0400236	0	0.571069	0
279	0.0733496	-0.667139	0.0216691	0.0733496	0	0.0216691	0	0.667139	0
155185	-0.718181	-0.181052	-0.260802	0	0	0	0.718181	0.181052	0.260802
64682	0.462656	-0.268583	0.112846	0.462656	0	0.112846	0	0.268583	0
10393	0.454638	-0.2843	-0.0324624	0.454638	0	0	0	0.2843	0.0324624
51529	-0.592111	0.30909	0.0698991	0	0.30909	0.0698991	0.592111	0	0
29945	0.251376	-0.625483	-0.0126403	0.251376	0	0	0	0.625483	0.0126403
283	-0.439029	0.147216	-0.308869	0	0.147216	0	0.439029	0	0.308869
23357	0.113537	0.577889	-0.156629	0.113537	0.577889	0	0	0	0.156629
90806	0.128377	-0.520066	0.0386017	0.128377	0	0.0386017	0	0.520066	0
284	-0.447225	0.216799	-0.496409	0	0.216799	0	0.447225	0	0.496409
